Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Adams Katherine L.,"SVP, GC and Secretary",2022-05-04,Sale,161.72,"25,000","4,042,888","452,334",May 06 06:30 PM
O'BRIEN DEIRDRE,Senior Vice President,2022-04-18,Sale,164.91,"8,000","1,319,305","136,290",Apr 19 06:31 PM
WILLIAMS JEFFREY E,COO,2022-04-04,Sale,177.75,"105,901","18,824,389","489,662",Apr 05 06:33 PM
O'BRIEN DEIRDRE,Senior Vice President,2022-04-04,Sale,177.77,"29,198","5,190,427","136,290",Apr 05 06:32 PM
Adams Katherine L.,"SVP, GC and Secretary",2022-02-03,Sale,174.78,"25,000","4,369,548","419,715",Feb 07 06:30 PM
LEVINSON ARTHUR D,Director,2022-02-01,Sale,173.29,"1,986","344,154","4,532,724",Feb 03 06:35 PM
KONDO CHRIS,Principal Accounting Officer,2021-11-12,Sale,150.0,"9,005","1,350,750","37,197",Nov 16 06:30 PM
Adams Katherine L.,"SVP, GC and Secretary",2021-11-01,Sale,148.68,"25,000","3,716,895","447,993",Nov 03 06:31 PM
Maestri Luca,"Senior Vice President, CFO",2021-10-19,Sale,148.62,"165,829","24,645,506","110,501",Oct 21 06:30 PM
O'BRIEN DEIRDRE,Senior Vice President,2021-10-18,Sale,146.35,"18,247","2,670,391","136,118",Oct 19 06:31 PM
WILLIAMS JEFFREY E,COO,2021-10-04,Sale,138.83,"165,829","23,022,040","489,490",Oct 05 06:44 PM
O'BRIEN DEIRDRE,Senior Vice President,2021-10-04,Sale,138.83,"89,437","12,416,539","136,118",Oct 05 06:43 PM
COOK TIMOTHY D,Chief Executive Officer,2021-08-25,Sale,148.58,"2,386,440","354,568,479","3,279,726",Aug 26 06:30 PM
O'BRIEN DEIRDRE,Senior Vice President,2021-08-06,Sale,145.99,"14,877","2,171,893","136,118",Aug 09 06:30 PM
Adams Katherine L.,"SVP, GC and Secretary",2021-08-02,Sale,145.89,"17,000","2,480,048","307,164",Aug 04 06:30 PM
