Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
COLLIS STEVEN H,"Chairman, President & CEO",2022-07-12,Option Exercise,75.61,"11,480","868,003","216,658",Jul 14 04:04 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-07-12,Sale,142.35,"11,480","1,634,178","205,178",Jul 14 04:04 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-06-14,Option Exercise,75.61,"11,480","868,003","216,658",Jun 16 04:20 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-06-14,Sale,141.22,"11,480","1,621,206","205,178",Jun 16 04:20 PM
"Walgreens Boots Alliance, Inc.",10% Owner,2022-05-11,Sale,150.0,"6,000,000","900,000,000","52,854,867",May 13 04:59 PM
Krikorian Lazarus,SVP & Chief Accounting Officer,2022-05-11,Sale,160.0,"4,895","783,200","14,079",May 13 04:04 PM
Krikorian Lazarus,SVP & Chief Accounting Officer,2022-05-10,Option Exercise,89.58,"6,654","596,065","25,733",May 12 04:40 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-05-10,Option Exercise,75.61,"11,480","868,003","216,658",May 12 04:44 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-05-10,Sale,159.47,"11,480","1,830,716","205,178",May 12 04:44 PM
Krikorian Lazarus,SVP & Chief Accounting Officer,2022-05-10,Sale,158.63,"6,759","1,072,191","18,974",May 12 04:40 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-04-12,Option Exercise,75.61,"11,480","868,003","216,658",Apr 13 04:22 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-04-12,Sale,162.11,"11,480","1,861,023","205,178",Apr 13 04:22 PM
Clark Gina,Executive Vice President,2022-03-28,Option Exercise,75.61,"29,520","2,232,007","59,518",Mar 30 04:00 PM
Clark Gina,Executive Vice President,2022-03-28,Sale,153.71,"43,704","6,717,742","15,814",Mar 30 04:00 PM
Battaglia Silvana,Executive Vice President,2022-03-15,Sale,149.96,"6,820","1,022,727","1,277",Mar 16 03:59 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-03-08,Option Exercise,75.61,"11,480","868,003","216,658",Mar 09 05:38 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-03-08,Sale,144.97,"11,480","1,664,256","205,178",Mar 09 05:38 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-02-08,Option Exercise,87.53,"24,263","2,123,805","229,441",Feb 09 04:36 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-02-08,Sale,141.22,"24,263","3,426,421","205,178",Feb 09 04:36 PM
Krikorian Lazarus,SVP & Chief Accounting Officer,2022-02-03,Option Exercise,77.53,"11,653","903,457","30,732",Feb 04 04:01 PM
Campbell Elizabeth S,Executive Vice President,2022-02-03,Option Exercise,81.46,"14,034","1,143,244","21,916",Feb 04 04:03 PM
Campbell Elizabeth S,Executive Vice President,2022-02-03,Sale,137.89,"14,034","1,935,148","7,882",Feb 04 04:03 PM
Krikorian Lazarus,SVP & Chief Accounting Officer,2022-02-03,Sale,138.14,"11,653","1,609,745","19,079",Feb 04 04:01 PM
Mauch Robert P.,Executive Vice President,2022-02-01,Option Exercise,77.53,"44,492","3,449,465","86,491",Feb 02 04:39 PM
Mauch Robert P.,Executive Vice President,2022-02-01,Sale,137.04,"44,492","6,097,184","41,999",Feb 02 04:39 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-01-11,Option Exercise,87.53,"24,264","2,123,903","229,442",Jan 13 04:22 PM
COLLIS STEVEN H,"Chairman, President & CEO",2022-01-11,Sale,136.07,"24,264","3,301,602","205,178",Jan 13 04:22 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-12-15,Sale,123.45,"17,168","2,119,390","206,337",Dec 16 04:29 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-12-14,Option Exercise,87.53,"24,264","2,123,903","247,769",Dec 15 04:07 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-12-14,Sale,123.95,"24,264","3,007,523","223,505",Dec 15 04:07 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-11-24,Sale,123.66,"17,168","2,122,995","223,505",Nov 29 04:01 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-11-16,Sale,124.66,"11,664","1,454,034","240,673",Nov 18 04:01 PM
Clark Gina,Executive Vice President,2021-11-12,Option Exercise,98.24,"16,027","1,574,492","35,218",Nov 15 08:28 PM
Clark Gina,Executive Vice President,2021-11-12,Sale,125.83,"16,027","2,016,679","28,358",Nov 15 08:28 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-11-09,Option Exercise,87.53,"24,264","2,123,903","208,843",Nov 12 04:42 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-11-09,Sale,125.33,"24,264","3,041,007","184,579",Nov 12 04:42 PM
Mauch Robert P.,Executive Vice President,2021-11-02,Option Exercise,98.24,"41,214","4,048,863","63,016",Nov 03 04:36 PM
Mauch Robert P.,Executive Vice President,2021-11-02,Sale,125.34,"41,214","5,165,763","21,802",Nov 03 04:36 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-10-12,Option Exercise,87.53,"24,265","2,123,979","208,844",Oct 14 04:16 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-10-12,Sale,119.79,"24,265","2,906,704","184,579",Oct 14 04:16 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-09-20,Option Exercise,87.53,"24,265","2,123,979","208,844",Sep 22 04:11 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-09-20,Sale,121.9,"24,265","2,957,904","184,579",Sep 22 04:11 PM
Krikorian Lazarus,SVP & Chief Accounting Officer,2021-09-02,Option Exercise,98.24,"17,673","1,736,196","32,488",Sep 03 04:12 PM
Krikorian Lazarus,SVP & Chief Accounting Officer,2021-09-02,Sale,124.51,"17,673","2,200,465","14,815",Sep 03 04:12 PM
Chou John G.,Executive Vice President,2021-08-19,Option Exercise,88.71,"6,081","539,446","73,182",Aug 23 04:04 PM
Chou John G.,Executive Vice President,2021-08-19,Sale,117.94,"6,081","717,193","67,101",Aug 23 04:04 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-08-17,Option Exercise,98.24,"12,784","1,255,900","197,363",Aug 19 04:31 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-08-17,Sale,120.53,"12,784","1,540,856","184,579",Aug 19 04:31 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-08-10,Option Exercise,88.71,"18,666","1,655,861","205,491",Aug 12 04:13 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-08-10,Sale,118.66,"20,912","2,481,418","184,579",Aug 12 04:13 PM
Battaglia Silvana,Executive Vice President,2021-08-06,Option Exercise,86.09,"4,515","388,696","5,020",Aug 09 04:06 PM
Battaglia Silvana,Executive Vice President,2021-08-06,Sale,121.95,"4,655","567,677",365,Aug 09 04:06 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-07-20,Option Exercise,98.24,"12,784","1,255,900","199,609",Jul 21 04:04 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-07-20,Sale,117.66,"12,784","1,504,165","186,825",Jul 21 04:04 PM
Chou John G.,Executive Vice President,2021-07-19,Option Exercise,88.71,"6,082","539,534","73,183",Jul 20 04:08 PM
Chou John G.,Executive Vice President,2021-07-19,Sale,112.09,"6,082","681,731","67,101",Jul 20 04:08 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-07-13,Option Exercise,88.71,"18,666","1,655,861","207,737",Jul 14 04:09 PM
COLLIS STEVEN H,"Chairman, President & CEO",2021-07-13,Sale,114.9,"20,912","2,402,789","186,825",Jul 14 04:09 PM
