Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
STARKS DANIEL J,Director,2022-07-26,Sale,109.14,"50,000","5,456,994","6,923,500",Jul 28 05:20 PM
Mateus Fernando,SENIOR VICE PRESIDENT,2022-07-26,Sale,109.05,"2,457","267,943","14,503",Jul 27 05:45 PM
Tyler Julie L.,SENIOR VICE PRESIDENT,2022-07-25,Sale,109.09,253,"27,600","33,868",Jul 27 05:43 PM
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2022-05-04,Option Exercise,44.4,"24,000","1,065,600","71,854",May 05 06:12 PM
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2022-05-04,Sale,113.0,"24,000","2,712,103","47,854",May 05 06:12 PM
STARKS DANIEL J,Director,2022-05-03,Sale,113.22,"50,000","5,661,048","6,973,500",May 05 05:15 PM
DALE MICHAEL D,SENIOR VICE PRESIDENT,2022-03-08,Sale,117.0,"4,000","468,001","41,780",Mar 10 05:25 PM
Earnhardt Lisa D,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.15,943,"111,416","90,630",Mar 02 07:38 PM
DALE MICHAEL D,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.15,"1,053","124,412","45,780",Mar 02 07:36 PM
Calamari Christopher J.,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.15,706,"83,414","25,658",Mar 02 07:33 PM
ALLEN HUBERT L,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.17,"1,450","171,348","167,095",Mar 02 07:29 PM
Ahlberg Gregory A,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.15,"1,099","129,847","33,274",Mar 02 07:27 PM
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.1,964,"113,849","49,223",Mar 02 08:07 PM
Watkin Jared,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.1,"1,038","122,589","66,545",Mar 02 08:02 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.13,456,"53,866","62,172",Mar 02 08:00 PM
Salvadori Daniel Gesua Sive,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.17,"1,550","183,165","112,248",Mar 02 07:58 PM
Morrone Louis H.,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.16,656,"77,513","47,278",Mar 02 07:54 PM
MANNING JOSEPH J,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.16,779,"92,047","60,873",Mar 02 07:51 PM
McKinstry Nancy,Director,2022-02-24,Option Exercise,29.84,"6,280","187,394","33,419",Feb 25 05:23 PM
McKinstry Nancy,Director,2022-02-24,Sale,116.42,"1,614","187,910","31,805",Feb 25 05:23 PM
Tyler Julie L.,SENIOR VICE PRESIDENT,2022-02-22,Sale,119.29,462,"55,114","34,703",Feb 23 08:31 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-12-27,Option Exercise,47.0,"3,000","141,000","52,782",Dec 28 05:41 PM
