Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Shook Ellyn,Chief Leadership & HR Officer,2022-07-28,Sale,300.00,750,"225,000","21,400",Jul 29 04:54 PM
Unruch Joel,General Counsel/Corp Secretary,2022-07-28,Sale,300.00,555,"166,500","25,601",Jul 29 04:55 PM
Unruch Joel,General Counsel/Corp Secretary,2022-07-25,Sale,287.51,556,"159,858","26,156",Jul 26 04:07 PM
Sweet Julie Spellman,Chair & CEO,2022-07-15,Sale,270.93,"3,278","888,110","16,978",Jul 18 04:17 PM
Ollagnier Jean-Marc,Chief Executive - Europe,2022-07-15,Sale,270.93,"6,250","1,693,333","159,630",Jul 18 04:17 PM
Shook Ellyn,Chief Leadership & HR Officer,2022-04-25,Sale,310.55,750,"232,914","21,846",Apr 26 08:26 AM
Ollagnier Jean-Marc,Chief Executive - Europe,2022-04-18,Sale,315.13,"6,250","1,969,573","165,866",Apr 20 04:07 PM
Sweet Julie Spellman,Chair & CEO,2022-04-18,Sale,315.22,"3,287","1,036,141","19,836",Apr 20 04:07 PM
Unruch Joel,General Counsel/Corp Secretary,2022-04-18,Sale,315.06,470,"148,079","26,427",Apr 20 04:07 PM
Casati Gianfranco,CEO-Growth Markets,2022-04-18,Sale,315.14,"3,146","991,419","26,134",Apr 20 04:06 PM
McClure Kathleen R,Chief Financial Officer,2022-02-09,Sale,352.79,"1,646","580,692","19,212",Feb 10 04:16 PM
Sweet Julie Spellman,Chair & CEO,2022-02-03,Sale,348.72,"3,742","1,304,913","22,746",Feb 04 05:04 PM
CLARK RICHARD P,Chief Accounting Officer,2022-02-03,Sale,348.66,"2,902","1,011,804","7,391",Feb 04 05:01 PM
Etheredge James O,Chief Exec-North America,2022-02-03,Sale,348.64,"1,952","680,542","2,832",Feb 04 05:01 PM
Shook Ellyn,Chief Leadership & HR Officer,2022-01-31,Sale,350.0,"1,500","525,000","23,994",Jan 31 05:03 PM
Shook Ellyn,Chief Leadership & HR Officer,2022-01-21,Sale,340.0,"1,500","509,996","25,494",Jan 24 05:40 PM
Ollagnier Jean-Marc,Chief Executive - Europe,2022-01-14,Sale,353.42,"6,250","2,208,848","172,103",Jan 18 04:29 PM
Sweet Julie Spellman,Chair & CEO,2022-01-14,Sale,353.4,"5,027","1,776,562","29,982",Jan 18 04:29 PM
Unruch Joel,General Counsel/Corp Secretary,2022-01-14,Sale,353.62,416,"147,107","26,410",Jan 18 04:30 PM
CLARK RICHARD P,Chief Accounting Officer,2022-01-14,Sale,353.53,"2,111","746,304","11,792",Jan 18 04:28 PM
Deblaere Johan,Chief Operating Officer,2022-01-14,Sale,353.3,"3,000","1,059,890","49,659",Jan 18 04:28 PM
Etheredge James O,Chief Exec-North America,2022-01-14,Sale,353.55,"3,397","1,201,006","5,968",Jan 18 04:28 PM
Sweet Julie Spellman,Chair & CEO,2021-11-01,Sale,354.33,"5,602","1,984,943","20,396",Nov 02 07:58 AM
CLARK RICHARD P,Chief Accounting Officer,2021-10-25,Sale,356.08,"2,131","758,811","11,830",Oct 26 04:36 PM
Etheredge James O,Chief Exec-North America,2021-10-25,Sale,356.11,"1,966","700,119","3,437",Oct 26 04:36 PM
McClure Kathleen R,Chief Financial Officer,2021-10-25,Sale,356.47,"1,797","640,582","16,754",Oct 26 04:36 PM
Sweet Julie Spellman,Chair & CEO,2021-10-25,Sale,356.11,"5,000","1,780,559","25,998",Oct 26 04:37 PM
Casati Gianfranco,CEO-Growth Markets,2021-10-25,Sale,355.41,"20,516","7,291,534","26,080",Oct 26 04:35 PM
Ollagnier Jean-Marc,Chief Executive - Europe,2021-10-15,Sale,340.81,"5,233","1,783,454","161,156",Oct 19 04:17 PM
Unruch Joel,General Counsel/Corp Secretary,2021-10-15,Sale,340.79,"1,328","452,573","22,023",Oct 19 04:17 PM
Deblaere Johan,Chief Operating Officer,2021-10-15,Sale,340.84,"3,000","1,022,527","43,579",Oct 19 04:16 PM
Ollagnier Jean-Marc,Chief Executive - Europe,2021-09-27,Sale,334.78,581,"194,507","166,389",Sep 28 04:34 PM
Shook Ellyn,Chief Leadership & HR Officer,2021-07-23,Sale,317.47,"2,600","825,426","17,436",Jul 26 04:32 PM
McClure Kathleen R,Chief Financial Officer,2021-07-16,Sale,314.2,"4,500","1,413,919","13,059",Jul 19 04:07 PM
Ollagnier Jean-Marc,Chief Executive - Europe,2021-07-16,Sale,314.2,"5,233","1,644,199","166,956",Jul 19 04:08 PM
Deblaere Johan,Chief Operating Officer,2021-07-16,Sale,314.21,"3,000","942,645","46,579",Jul 19 04:07 PM
