Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BIRK MARK C,Chmn & President of Subsidiary,2022-06-02,Sale,93.9,"4,000","375,600","80,541",Jun 06 04:36 PM
MOEHN MICHAEL L,Executive VP & CFO,2022-06-01,Sale,95.32,"2,630","250,692","148,060",Jun 03 05:04 PM
MARK RICHARD J,Chmn & President of Subsidiary,2022-03-31,Sale,93.67,"6,000","562,020","144,165",Apr 04 07:12 PM
Schukar Shawn E,Chmn & President of Subsidiary,2022-03-31,Sale,94.48,574,"54,232","50,862",Apr 04 07:11 PM
LYONS MARTIN J,President & CEO,2022-03-31,Sale,94.02,163,"15,325","209,862",Apr 04 07:10 PM
Lindgren Mark C,SVP & Chief HR Officer of Sub,2022-03-31,Sale,94.44,999,"94,346","42,126",Apr 04 07:08 PM
MARK RICHARD J,Chmn & President of Subsidiary,2022-03-10,Sale,87.37,"3,500","305,795","150,091",Mar 14 05:00 PM
Nwamu Chonda J,"SVP, GC & Secretary",2022-03-10,Sale,87.41,"1,677","146,587","22,527",Mar 14 04:56 PM
BAXTER WARNER L,Executive Chairman,2022-03-08,Sale,88.1,"21,789","1,919,611","326,759",Mar 10 04:36 PM
Schukar Shawn E,Chmn & President of Subsidiary,2022-03-01,Sale,85.4,"1,600","136,640","52,941",Mar 02 07:39 PM
MOEHN MICHAEL L,Executive VP & CFO,2022-03-01,Sale,85.69,"2,925","250,654","150,394",Mar 02 07:37 PM
LYONS MARTIN J,President & CEO,2022-03-01,Sale,85.44,"8,164","697,520","209,675",Mar 02 07:36 PM
Lindgren Mark C,SVP & Chief HR Officer of Sub,2022-03-01,Sale,85.89,"1,175","100,921","43,067",Mar 02 07:34 PM
BAXTER WARNER L,Executive Chairman,2022-03-01,Sale,85.21,"27,345","2,329,990","348,548",Mar 02 07:32 PM
Schukar Shawn E,Chmn & President of Subsidiary,2022-02-28,Sale,85.96,"1,562","134,270","51,379",Mar 02 07:39 PM
BAXTER WARNER L,"Chairman, President & CEO",2021-12-14,Sale,87.31,"57,000","4,976,670","344,666",Dec 16 04:38 PM
Lindgren Mark C,SVP & Chief HR Officer of Sub,2021-11-22,Sale,85.71,"2,700","231,417","39,413",Nov 24 03:11 PM
MARK RICHARD J,Chmn & President of Subsidiary,2021-09-30,Sale,82.18,"6,000","493,080","160,791",Mar 02 04:53 PM
MOEHN MICHAEL L,Executive VP & CFO,2021-08-19,Sale,89.89,"10,000","898,900","137,233",Aug 20 04:18 PM
