Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
FITZSIMONS SHANE,EVP & Chief Financial Officer,2022-02-22,Option Exercise,0.0,"6,043",0,"14,938",Feb 24 04:19 PM
McElroy David,EVP & CEO General Insurance,2022-02-22,Option Exercise,0.0,"12,590",0,"57,923",Feb 24 04:19 PM
Repko John P,EVP and Chief Info. Officer,2022-02-22,Option Exercise,0.0,"14,821",0,"22,467",Feb 24 04:19 PM
Glazer Rose Marie E.,"EVP, CHRO & Corp Secretary",2022-02-22,Option Exercise,0.0,"4,356",0,"9,873",Feb 24 04:19 PM
Mouri Naohiro,EVP and Chief Auditor,2022-02-22,Option Exercise,0.0,"8,279",0,"16,169",Feb 24 04:19 PM
Purtill Sabra R.,EVP and Chief Risk Officer,2022-02-22,Option Exercise,0.0,"4,259",0,"9,406",Feb 24 04:19 PM
Zaffino Peter,Chairman & CEO,2022-02-22,Option Exercise,0.0,"97,267",0,"186,806",Feb 24 04:19 PM
Habayeb Elias F.,"SVP, CFO L&R and CAO",2022-02-22,Option Exercise,0.0,"13,268",0,"47,336",Feb 24 04:18 PM
Fato Luciana,"EVP, GC, Comms & Govt Affairs",2022-02-22,Option Exercise,0.0,"45,159",0,"87,417",Feb 24 04:18 PM
Hogan Kevin T.,EVP - Life & Retirement,2022-02-22,Option Exercise,0.0,"46,317",0,"185,229",Feb 24 04:18 PM
Lyons Mark Donald,"EVP, Actuary & Portfolio Mgmt",2022-02-22,Option Exercise,0.0,"42,843",0,"60,946",Feb 24 04:19 PM
Repko John P,EVP and Chief Info. Officer,2022-02-18,Sale,61.88,"7,646","473,108","7,646",Feb 23 04:19 PM
Habayeb Elias F.,"SVP, CFO L&R and CAO",2022-01-01,Option Exercise,0.0,"14,954",0,"39,526",Jan 04 04:26 PM
McElroy David,EVP & CEO General Insurance,2022-01-01,Option Exercise,0.0,"45,762",0,"65,084",Jan 04 04:26 PM
Mouri Naohiro,EVP and Chief Auditor,2022-01-01,Option Exercise,0.0,"4,455",0,"10,430",Jan 04 04:27 PM
Hogan Kevin T.,EVP - Life & Retirement,2022-01-01,Option Exercise,0.0,"24,924",0,"149,031",Jan 04 04:27 PM
Zaffino Peter,Chairman & CEO,2022-01-01,Option Exercise,0.0,"52,340",0,"112,800",Jan 04 04:27 PM
Lyons Mark Donald,"EVP, Actuary & Portfolio Mgmt",2022-01-01,Option Exercise,0.0,"23,054",0,"25,531",Jan 04 04:27 PM
Purtill Sabra R.,EVP and Chief Risk Officer,2022-01-01,Option Exercise,0.0,"6,127",0,"7,393",Jan 04 04:27 PM
Repko John P,EVP and Chief Info. Officer,2022-01-01,Option Exercise,0.0,"7,975",0,"18,047",Jan 04 04:27 PM
Glazer Rose Marie E.,"EVP, CHRO & Corp Secretary",2022-01-01,Option Exercise,0.0,"8,648",0,"8,648",Jan 04 04:27 PM
Fato Luciana,"EVP, GC, Comms & Govt Affairs",2021-11-16,Sale,58.17,"7,000","407,191","29,077",Nov 18 04:16 PM
Fato Luciana,"EVP, GC, Comms & Govt Affairs",2021-09-10,Option Exercise,0.0,"17,561",0,"46,154",Sep 14 04:20 PM
Hogan Kevin T.,EVP - Life & Retirement,2021-08-11,Sale,53.61,"41,400","2,219,458","124,107",Aug 13 04:18 PM
