Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
HARRISON ANDREW R,EVP AND CCO,2022-07-29,Sale,44.13,"2,267","100,037","14,152",Aug 01 06:13 PM
TACKETT SHANE R,EVP AND CFO,2022-06-09,Sale,46.97,"2,000","93,940","9,966",Jun 10 05:01 PM
SCHNEIDER ANDREA L,SVP PEOPLE,2022-06-03,Option Exercise,0.0,700,0,"15,155",Jun 07 05:45 PM
VON MUEHLEN CONSTANCE E,EVP AND COO,2022-03-09,Option Exercise,0.0,167,0,402,Mar 11 04:00 PM
TILDEN BRADLEY D,EXEC BOARD CHAIR,2022-02-25,Option Exercise,0.0,"1,830",0,"111,519",Mar 01 09:16 PM
TACKETT SHANE R,EVP AND CFO,2022-02-18,Sale,58.84,"2,000","117,690","11,856",Feb 23 05:28 PM
LEVINE KYLE B,SVP LEGAL & GEN COUNSEL,2022-02-14,Option Exercise,0.0,"1,230",0,"10,324",Feb 16 05:01 PM
HARRISON ANDREW R,EVP AND CCO,2022-02-14,Option Exercise,0.0,"5,290",0,"20,957",Feb 16 04:51 PM
BERRY CHRISTOPHER MICHAEL,VP FIN AND CONTROLLER,2022-02-14,Option Exercise,0.0,"1,000",0,"6,987",Feb 16 04:31 PM
MINICUCCI BENITO,CEO AND PRESIDENT,2022-02-14,Option Exercise,0.0,"7,490",0,"107,613",Feb 16 05:55 PM
VON MUEHLEN CONSTANCE E,EVP AND COO,2022-02-14,Option Exercise,0.0,"1,490",0,"6,264",Feb 16 05:48 PM
TILDEN BRADLEY D,CHAIRMAN,2022-02-14,Option Exercise,0.0,"11,000",0,"112,856",Feb 16 05:41 PM
TACKETT SHANE R,EVP AND CFO,2022-02-14,Option Exercise,0.0,"3,960",0,"14,821",Feb 16 05:27 PM
SCHNEIDER ANDREA L,SVP PEOPLE,2022-02-14,Option Exercise,0.0,"1,300",0,"14,741",Feb 16 05:17 PM
BIRKETT RAKOW DIANA,SVP PUB AFFAIRS/SUSTAINABILITY,2022-02-14,Option Exercise,0.0,"1,230",0,"4,633",Feb 16 05:08 PM
VON MUEHLEN CONSTANCE E,EVP and COO,2022-01-21,Option Exercise,0.0,20,0,"4,104",Jan 24 01:31 PM
TILDEN BRADLEY D,CHAIRMAN,2022-01-04,Sale,55.16,750,"41,372","96,886",Feb 04 05:37 PM
TACKETT SHANE R,EVP FINANCE/CFO,2021-11-11,Sale,56.88,"1,700","96,703","9,062",Nov 12 08:35 PM
HARRISON ANDREW R,EVP & CCO,2021-11-09,Sale,58.47,"1,725","100,852","13,266",Nov 09 07:56 PM
SPRAGUE JOSEPH A,"PRESIDENT, HORIZON AIR",2021-11-07,Option Exercise,0.0,"1,130",0,"15,983",Nov 08 05:42 PM
TILDEN BRADLEY D,CHAIRMAN,2021-11-05,Option Exercise,0.0,"6,570",0,"100,222",Nov 08 05:49 PM
TACKETT SHANE R,EVP FINANCE/CFO,2021-11-05,Option Exercise,0.0,"3,286",0,"12,056",Nov 08 05:49 PM
VON MUEHLEN CONSTANCE E,EVP AND COO,2021-11-05,Option Exercise,0.0,986,0,"4,325",Nov 08 05:49 PM
SCHNEIDER ANDREA L,SR VP PEOPLE,2021-11-05,Option Exercise,0.0,986,0,"13,125",Nov 08 05:42 PM
LEVINE KYLE B,SR VP LEGAL,2021-11-05,Option Exercise,0.0,986,0,"8,779",Nov 08 05:42 PM
MINICUCCI BENITO,"PRES AND CEO, AIR GROUP",2021-11-05,Option Exercise,0.0,"8,872",0,"100,890",Nov 08 05:42 PM
SPRAGUE JOSEPH A,"PRESIDENT, HORIZON AIR",2021-11-05,Option Exercise,0.0,986,0,"15,094",Nov 08 05:42 PM
BIRKETT RAKOW DIANA,VP PUB AFFRS & SUSTAINABILITY,2021-11-05,Option Exercise,0.0,986,0,"3,088",Nov 08 05:35 PM
HARRISON ANDREW R,EVP & CCO,2021-11-05,Option Exercise,0.0,"3,286",0,"16,285",Nov 08 05:35 PM
BERRY CHRISTOPHER MICHAEL,VP & CONTROLLER,2021-11-05,Option Exercise,0.0,656,0,"5,694",Nov 08 05:35 PM
TILDEN BRADLEY D,CHAIRMAN,2021-11-03,Sale,55.05,"4,875","268,363","93,652",Nov 05 05:00 PM
MINICUCCI BENITO,"PRES AND CEO, AIR GROUP",2021-10-02,Option Exercise,0.0,180,0,"92,089",Oct 04 05:28 PM
TILDEN BRADLEY D,CHAIRMAN,2021-10-01,Sale,60.74,"4,875","296,098","98,527",Oct 04 05:07 PM
TACKETT SHANE R,EVP FINANCE/CFO,2021-09-10,Option Exercise,0.0,"1,020",0,"9,034",Sep 13 08:14 PM
VON MUEHLEN CONSTANCE E,EVP AND COO,2021-09-09,Option Exercise,0.0,168,0,285,Nov 08 05:49 PM
TILDEN BRADLEY D,CHAIRMAN,2021-09-01,Sale,57.08,"4,875","278,268","103,402",Sep 01 06:35 PM
TILDEN BRADLEY D,CHAIRMAN,2021-08-02,Sale,58.72,"4,875","286,236","108,277",Aug 03 05:49 PM
SCHNEIDER ANDREA L,SR VP PEOPLE,2021-07-26,Option Exercise,14.64,40,586,"12,179",Jul 26 06:21 PM
SCHNEIDER ANDREA L,SR VP PEOPLE,2021-07-26,Sale,59.36,40,"2,374","12,139",Jul 26 06:21 PM
TILDEN BRADLEY D,CHAIRMAN,2021-07-01,Sale,60.6,"4,875","295,428","113,152",Jul 02 05:56 PM
