Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Zeidel Darren,General Counsel,2022-07-28,Sale,290.00,111,"32,190","15,129",Aug 01 04:32 PM
KNIGHT LESTER B,Director,2022-05-05,Buy,286.58,"14,000","4,012,124","109,000",May 09 08:15 PM
Zeidel Darren,General Counsel,2022-03-16,Sale,308.31,82,"25,281","15,129",Mar 17 06:53 PM
Andersen Eric,President,2022-02-23,Sale,282.57,"7,500","2,119,282","123,744",Feb 25 06:19 PM
Neller Michael,Principal Accounting Officer,2022-02-22,Sale,285.0,"1,250","356,250","1,928",Feb 24 05:45 PM
Davies Christa,Chief Financial Officer,2022-02-18,Sale,282.51,"32,942","9,306,480","199,571",Feb 22 07:26 PM
Davies Christa,Chief Financial Officer,2022-02-15,Sale,283.95,666,"189,111","199,571",Feb 17 05:55 PM
Davies Christa,Chief Financial Officer,2022-02-14,Sale,283.72,616,"174,772","199,571",Feb 15 07:36 PM
Zeidel Darren,General Counsel,2021-12-23,Sale,295.0,197,"58,115","12,430",Dec 28 04:17 PM
Spruell Byron,Director,2021-11-23,Buy,296.32,200,"59,264","1,572",Nov 24 04:31 PM
Neller Michael,Principal Accounting Officer,2021-11-09,Sale,298.13,"2,500","745,338",90,Nov 12 05:25 PM
LOSH J MICHAEL,Director,2021-08-17,Sale,279.62,"9,000","2,516,558","11,604",Aug 19 04:14 PM
KNIGHT LESTER B,Director,2021-08-04,Buy,263.95,"10,000","2,639,545","105,000",Aug 09 11:45 AM
