Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Freire Maria C,Director,2022-07-29,Sale,164.59,289,"47,567","2,711",Aug 01 05:09 PM
Freire Maria C,Director,2022-07-28,Sale,163.04,"2,311","376,785","3,000",Aug 01 05:09 PM
Clem Jackie B.,General Counsel & Secretary,2022-07-27,Sale,156.60,794,"124,340","22,824",Jul 29 04:33 PM
ALEXANDRIA REAL ESTATE EQUITIE,10% Owner,2022-06-27,Buy,1.0,"3,500,000","3,500,000","4,555,077",Jun 29 04:37 PM
Richardson Stephen,Co-Chief Executive Officer,2022-05-09,Sale,171.47,"5,000","857,350","175,602",May 11 04:32 PM
Clem Jackie B.,General Counsel & Secretary,2022-04-27,Sale,189.55,"1,865","353,511","24,039",Apr 29 04:49 PM
Cain James P,Director,2022-03-16,Sale,193.26,425,"82,136","4,883",Mar 18 04:29 PM
Binda Marc E,EVP - Finance & Treasurer,2022-02-25,Sale,191.09,"3,234","617,985","55,935",Mar 01 04:23 PM
Diamond Lawrence J,Co-Chief Operating Officer,2022-02-24,Sale,190.21,"3,950","751,330","91,717",Feb 28 04:21 PM
Hakman Joseph,Co-Chief Operating Officer,2022-02-18,Sale,186.0,"2,435","452,910","36,883",Feb 23 04:54 PM
CIRUZZI VINCENT,Chief Development Officer,2022-02-18,Sale,185.68,"3,593","667,148","52,002",Feb 23 04:39 PM
Moglia Peter M,Co-Chief Executive Officer,2022-02-17,Sale,186.26,"2,750","512,210","174,988",Feb 18 05:11 PM
Moglia Peter M,Co-Chief Executive Officer,2022-02-16,Sale,185.47,"2,750","510,040","177,738",Feb 18 05:11 PM
Kass Hunter,EVP - Regional Market Director,2022-02-16,Sale,184.96,"5,544","1,025,418","41,105",Feb 18 05:02 PM
Nemeth Terezia C,EVP - Regional Market Director,2022-02-09,Sale,189.84,"2,500","474,600","31,515",Feb 11 04:19 PM
Cunningham John H,EVP - Regional Market Director,2022-02-08,Sale,185.77,"4,059","754,040","54,372",Feb 10 04:29 PM
Kass Hunter,EVP - Regional Market Director,2022-02-07,Sale,188.89,"5,544","1,047,206","46,649",Feb 09 04:43 PM
Gavinet Andres,Chief Accounting Officer,2022-02-07,Sale,189.0,"6,487","1,226,043","58,475",Feb 09 04:39 PM
Ryan Daniel J,Co-Chief Investment Officer,2021-08-23,Sale,206.9,"10,000","2,068,966","119,814",Aug 25 05:05 PM
MARCUS JOEL S,Executive Chairman,2021-08-09,Sale,207.61,"7,500","1,557,075","302,097",Aug 11 05:22 PM
Moglia Peter M,Co-Chief Executive Officer,2021-08-09,Sale,209.02,"12,500","2,612,750","168,291",Aug 10 05:25 PM
Moglia Peter M,Co-Chief Executive Officer,2021-08-06,Sale,208.26,"12,500","2,603,250","180,791",Aug 10 05:25 PM
MARCUS JOEL S,Executive Chairman,2021-08-02,Sale,202.63,"5,000","1,013,150","309,597",Aug 04 05:02 PM
Clem Jackie B.,General Counsel & Secretary,2021-07-30,Sale,201.58,"2,450","493,871","16,489",Aug 03 04:41 PM
CIRUZZI VINCENT,Chief Development Officer,2021-07-30,Sale,202.13,"6,016","1,216,014","42,248",Aug 03 04:39 PM
Richardson Stephen,Co-Chief Executive Officer,2021-07-30,Sale,201.83,"15,000","3,027,450","171,599",Aug 03 04:37 PM
Nemeth Terezia C,EVP - Regional Market Director,2021-07-29,Sale,199.94,"1,400","279,916","21,881",Aug 02 04:46 PM
Shigenaga Dean A,President and CFO,2021-07-29,Sale,200.07,"27,000","5,401,890","121,461",Aug 02 04:47 PM
Diamond Lawrence J,Co-Chief Operating Officer,2021-07-29,Sale,200.58,"1,500","300,870","82,320",Aug 02 04:45 PM
Hakman Joseph,Co-Chief Operating Officer,2021-07-29,Sale,199.96,"2,808","561,488","29,125",Aug 02 04:46 PM
MARCUS JOEL S,Executive Chairman,2021-07-29,Sale,200.0,"15,000","3,000,000","314,597",Jul 30 04:42 PM
MARCUS JOEL S,Executive Chairman,2021-07-28,Sale,200.02,"5,000","1,000,100","329,597",Jul 30 04:42 PM
Binda Marc E,EVP - Finance & Treasurer,2021-07-28,Sale,200.0,"5,230","1,046,000","45,822",Jul 30 04:41 PM
Cunningham John H,EVP - Regional Market Director,2021-07-28,Sale,198.75,"8,000","1,590,000","45,084",Jul 30 04:42 PM
