Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Alford Bradley A,Director,2022-05-01,Option Exercise,182.8,792,"144,778","22,443",May 03 08:20 PM
STEWART JULIA A,Director,2022-05-01,Option Exercise,182.8,792,"144,778","15,962",May 03 08:04 PM
HICKS KEN C,Director,2022-05-01,Option Exercise,182.8,792,"144,778","29,002",May 03 08:00 PM
Sullivan Martha N.,Director,2022-05-01,Option Exercise,182.8,792,"144,778","16,660",May 03 07:57 PM
Anderson Anthony,Director,2022-05-01,Option Exercise,182.8,792,"144,778","4,174",May 03 07:54 PM
Lopez Andres Alberto,Director,2022-05-01,Option Exercise,182.8,792,"144,778","7,115",May 03 07:49 PM
Siewert Patrick,Director,2022-05-01,Option Exercise,182.8,792,"144,778","16,842",May 04 10:16 AM
Barrenechea Mark J,Director,2022-04-28,Option Exercise,181.55,792,"143,788","4,536",Apr 29 03:19 PM
Butier Mitchell R,Chairman & CEO,2022-03-01,Option Exercise,170.6,"83,660","14,272,396","288,162",Mar 03 07:38 PM
Bondar Lori J,"VP, Ctrlr, Treasurer & CAO",2022-03-01,Option Exercise,170.6,"7,141","1,218,255","28,987",Mar 03 08:36 PM
Baker-Nel Deena,VP & Chief HR Officer,2022-03-01,Option Exercise,170.6,"5,844","996,986","5,772",Mar 03 08:31 PM
Colisto Nicholas,VP & Chief Information Officer,2022-03-01,Option Exercise,170.6,"6,170","1,052,602","9,130",Mar 03 08:27 PM
Lovins Gregory,SVP and CFO,2022-03-01,Option Exercise,170.6,"22,169","3,782,031","56,137",Mar 03 08:22 PM
STANDER DEON,President & COO,2022-03-01,Option Exercise,170.6,"11,650","1,987,490","40,432",Mar 03 08:18 PM
Walker Ignacio J,VP and Chief Legal Officer,2022-03-01,Option Exercise,170.6,"5,749","980,779","7,919",Mar 03 08:04 PM
Alford Bradley A,Director,2021-11-05,Option Exercise,31.87,"6,318","201,355","27,813",Nov 08 05:35 PM
Alford Bradley A,Director,2021-11-05,Sale,225.58,"6,318","1,425,245","21,495",Nov 08 05:35 PM
Baker-Nel Deena,VP & Chief HR Officer,2021-10-29,Sale,217.0,"1,400","303,800","1,150",Nov 01 05:32 PM
Walker Ignacio J,VP and Chief Legal Officer,2021-09-03,Sale,226.66,477,"108,117","2,984",Sep 03 05:14 PM
Lovins Gregory,SVP and CFO,2021-09-01,Option Exercise,225.2,"1,453","327,216","38,514",Sep 03 05:20 PM
Walker Ignacio J,VP and Chief Legal Officer,2021-09-01,Option Exercise,225.2,866,"195,023","3,850",Sep 03 05:14 PM
