Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Barry Corie S,CEO,2022-07-11,Sale,71.22,56,"3,988","316,631",Jul 12 04:43 PM
Barry Corie S,CEO,2022-06-14,Sale,70.0,"4,388","307,173","315,313",Jun 15 04:23 PM
Harmon Damien,"Pres., Omnichannel Ops & Serv",2022-06-01,Sale,80.68,"1,318","106,340","45,862",Jun 02 05:42 PM
Irvin Mark A,Chief Supply Chain Officer,2022-06-01,Sale,80.68,"1,068","86,169","25,993",Jun 02 05:42 PM
Tilzer Brian A,Chief Digital & Tech Officer,2022-06-01,Sale,80.68,"3,746","302,239","35,363",Jun 02 05:42 PM
Hartman Todd G.,"GC, Chief Risk Officer",2022-06-01,Sale,80.68,"1,905","153,701","36,323",Jun 02 05:42 PM
Watson Mathew,"SVP, Finance-Controller & CAO",2022-06-01,Sale,80.68,"1,646","132,804","19,939",Jun 02 05:42 PM
Peterson Allison,Chief Customer Officer,2022-06-01,Sale,80.68,"1,646","132,804","39,030",Jun 02 05:42 PM
Scarlett Kathleen,"EVP, HR and Best Buy Canada",2022-06-01,Sale,80.68,"6,237","503,220","69,538",Jun 02 05:42 PM
Barry Corie S,CEO,2022-06-01,Sale,80.68,"44,619","3,599,995","319,701",Jun 02 05:41 PM
Bilunas Matthew M,Chief Financial Officer,2022-06-01,Sale,80.68,"6,065","489,342","60,024",Jun 02 05:41 PM
Bonfig Jason J,Chief Merchandising Officer,2022-06-01,Sale,80.68,"2,472","199,448","55,828",Jun 02 05:41 PM
SCHULZE RICHARD M,Chairman Emeritus,2022-05-25,Buy,79.6,"250,000","19,900,738","20,464,051",May 27 05:32 PM
Hartman Todd G.,"GC, Chief Risk Officer",2022-04-21,Sale,95.72,"1,188","113,717","34,513",Apr 22 04:37 PM
Marte Mario Jesus,Director,2022-04-04,Sale,94.34,8,755,0,Apr 06 04:39 PM
Scarlett Kathleen,"EVP, HR and Best Buy Canada",2022-03-23,Sale,97.64,"10,108","986,975","63,447",Mar 23 06:14 PM
Tilzer Brian A,Chief Digital & Tech Officer,2022-03-22,Sale,99.06,"4,259","421,905","31,621",Mar 23 06:15 PM
Watson Mathew,"SVP, Finance-Controller & CAO",2022-03-22,Sale,99.06,"2,331","230,914","18,269",Mar 23 06:15 PM
Scarlett Kathleen,"EVP, HR and Best Buy Canada",2022-03-22,Sale,99.06,"3,338","330,669","73,555",Mar 23 06:14 PM
Barry Corie S,CEO,2022-03-22,Sale,99.06,"17,741","1,757,459","276,193",Mar 23 06:14 PM
Bilunas Matthew M,Chief Financial Officer,2022-03-22,Sale,99.06,"6,090","603,288","53,974",Mar 23 06:15 PM
Bonfig Jason J,Chief Merchandising Officer,2022-03-22,Sale,99.06,"10,904","1,080,172","53,159",Mar 23 06:15 PM
Eldracher Deborah DiSanzo,"President, Best Buy Health",2022-03-22,Sale,99.06,799,"79,151","22,606",Mar 23 06:15 PM
Furman Matthew M,Chief Comm & Publ. Affairs Ofc,2022-03-22,Sale,99.06,"4,275","423,490","70,058",Mar 23 06:15 PM
Harmon Damien,"Pres., Omnichannel Ops & Serv",2022-03-22,Sale,99.06,"5,337","528,694","43,703",Mar 23 06:15 PM
Hartman Todd G.,"GC, Chief Risk Officer",2022-03-22,Sale,99.06,"3,280","324,923","35,543",Mar 23 06:15 PM
Irvin Mark A,Chief Supply Chain Officer,2022-03-22,Sale,99.06,"2,954","292,629","24,304",Mar 23 06:15 PM
Peterson Allison,Chief Customer Officer,2022-03-22,Sale,99.06,"3,098","306,894","37,343",Mar 23 06:15 PM
Marte Mario Jesus,Director,2022-03-17,Buy,99.29,8,794,8,Apr 06 04:39 PM
Hartman Todd G.,"GC, Chief Risk Officer",2022-03-09,Sale,101.73,"2,000","203,460","31,458",Mar 11 04:38 PM
Marte Mario Jesus,Director,2022-01-21,Sale,96.45,2,193,0,Apr 06 04:39 PM
Marte Mario Jesus,Director,2022-01-12,Buy,102.69,2,205,2,Apr 06 04:39 PM
Harmon Damien,"Pres., Omnichannel Ops & Serv",2022-01-10,Sale,101.72,365,"37,126","41,675",Jan 12 04:27 PM
DOYLE J PATRICK,Director,2021-12-03,Buy,104.47,"20,000","2,089,400","51,856",Dec 03 05:07 PM
Bass Robert L,Chief SC & Global Prop Officer,2021-10-13,Sale,110.51,"5,823","643,471","104,802",Oct 15 04:29 PM
Eldracher Deborah DiSanzo,"President, Best Buy Health",2021-10-07,Sale,107.65,14,"1,507","10,344",Oct 12 04:34 PM
Eldracher Deborah DiSanzo,"President, Best Buy Health",2021-09-21,Sale,107.18,"1,776","190,346","10,278",Sep 22 04:58 PM
Peterson Allison,Chief Customer Officer,2021-09-21,Sale,107.18,120,"12,861","29,870",Sep 22 04:58 PM
Bilunas Matthew M,Chief Financial Officer,2021-08-23,Sale,113.16,819,"92,677","38,886",Aug 25 04:42 PM
Bass Robert L,Chief SC & Global Prop Officer,2021-07-27,Sale,114.37,"4,697","537,201","109,937",Jul 28 05:21 PM
