Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Spoerel Thomas J,VP Controller & Chief Acct Off,2022-06-07,Option Exercise,147.68,"1,026","151,520","2,070",Jun 09 10:32 AM
Spoerel Thomas J,VP Controller & Chief Acct Off,2022-06-07,Sale,260.0,443,"115,180","1,058",Jun 09 10:32 AM
Hickey David,"EVP & President, Life Sciences",2022-05-06,Sale,256.0,475,"121,600","3,806",May 10 03:16 PM
Larson Betty D,EVP HR & CHRO,2022-02-25,Option Exercise,188.11,"46,658","8,776,834","16,117",Feb 28 03:58 PM
Larson Betty D,EVP HR & CHRO,2022-02-25,Sale,271.9,"14,374","3,908,291","5,872",Feb 28 03:58 PM
Fraser Claire,Director,2022-02-08,Sale,271.7,841,"228,500","21,556",Feb 10 10:17 AM
Conroy Alexandre,EVP of Integrated Supply Chain,2022-02-03,Option Exercise,134.73,"12,787","1,722,793","34,047",Feb 07 10:42 AM
Conroy Alexandre,EVP of Integrated Supply Chain,2022-02-03,Sale,270.16,"6,410","1,731,726","21,260",Feb 07 10:42 AM
Larson Betty D,EVP HR & CHRO,2021-12-16,Option Exercise,97.14,893,"86,746","9,554",Dec 17 09:41 AM
Larson Betty D,EVP HR & CHRO,2021-12-16,Sale,255.0,"3,341","851,955","5,872",Dec 17 09:41 AM
Spoerel Thomas J,VP Controller & Chief Acct Off,2021-12-07,Sale,250.0,233,"58,250","1,079",Dec 09 08:09 AM
Goette Roland,"EVP and President, EMEA",2021-11-16,Option Exercise,72.12,"3,055","220,327","11,287",Nov 18 08:58 AM
Hickey David,"EVP & President, Life Sciences",2021-09-08,Sale,260.0,500,"130,000","3,586",Sep 08 05:40 PM
RIMEL REBECCA W,Director,2021-09-08,Sale,260.0,500,"130,000","10,618",Sep 08 10:47 AM
Spoerel Thomas J,VP Controller & Chief Acct Off,2021-09-08,Sale,260.0,267,"69,420","1,018",Sep 08 05:52 PM
Lim James C,Executive Vice President,2021-09-03,Option Exercise,134.73,"14,584","1,964,902","34,352",Sep 07 09:46 AM
Lim James C,Executive Vice President,2021-09-03,Sale,257.44,"6,956","1,790,753","19,768",Sep 07 09:46 AM
RIMEL REBECCA W,Director,2021-09-03,Sale,257.1,500,"128,550","11,118",Sep 03 10:01 AM
RIMEL REBECCA W,Director,2021-09-02,Sale,254.0,244,"61,976","11,618",Sep 03 08:36 AM
RIMEL REBECCA W,Director,2021-08-30,Sale,252.0,207,"52,164","11,862",Aug 31 08:54 AM
Fraser Claire,Director,2021-08-18,Sale,251.58,387,"97,361","20,220",Aug 18 12:29 PM
RIMEL REBECCA W,Director,2021-08-17,Sale,252.0,207,"52,164","12,069",Aug 18 12:23 PM
Spoerel Thomas J,VP Controller & Chief Acct Off,2021-08-06,Sale,242.3,266,"64,452","1,285",Aug 09 01:23 PM
