Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kramer Robin,Chief Accounting Officer,2022-07-01,Option Exercise,0.00,252,0,"2,092",Jul 06 07:33 PM
Izzar Rachid,Head of Alzheimer's Disease,2022-07-01,Option Exercise,0.00,504,0,"2,258",Jul 06 07:28 PM
Vounatsos Michel,Chief Executive Officer,2022-02-18,Option Exercise,0.0,"6,191",0,"70,007",Feb 23 04:21 PM
MCDONNELL MICHAEL R,"EVP, Chief Financial Officer",2022-02-18,Option Exercise,0.0,"1,981",0,"5,404",Feb 23 04:19 PM
Izzar Rachid,Head of Alzheimer's Disease,2022-02-18,Option Exercise,0.0,594,0,"1,929",Feb 23 04:16 PM
Kramer Robin,Chief Accounting Officer,2022-02-18,Option Exercise,0.0,396,0,"1,854",Feb 23 04:18 PM
Murphy Nicole,Head of Pharm Ops and Tech,2022-02-18,Option Exercise,0.0,371,0,"1,768",Feb 23 04:20 PM
Guindo Chirfi,Head of Glob Prod Strat & Com,2022-02-18,Option Exercise,0.0,"1,981",0,"8,243",Feb 23 04:15 PM
Gregory Ginger,"EVP, Human Resources",2022-02-18,Option Exercise,0.0,"1,387",0,"11,835",Feb 23 04:15 PM
ALEXANDER SUSAN H,EVP Chief Legal Off & Corp Sec,2022-02-18,Option Exercise,0.0,"1,485",0,"45,587",Feb 23 04:14 PM
ALEXANDER SUSAN H,EVP Chief Legal Off & Corp Sec,2022-02-12,Option Exercise,0.0,"2,280",0,"45,646",Feb 15 04:17 PM
Guindo Chirfi,Head of Glob Prod Strat & Com,2022-02-12,Option Exercise,0.0,"2,597",0,"8,044",Feb 15 04:15 PM
Gregory Ginger,"EVP, Human Resources",2022-02-12,Option Exercise,0.0,"1,672",0,"11,422",Feb 15 04:16 PM
Kramer Robin,Chief Accounting Officer,2022-02-12,Option Exercise,0.0,275,0,"1,594",Feb 15 04:13 PM
Izzar Rachid,Head of Alzheimer's Disease,2022-02-12,Option Exercise,0.0,351,0,"1,457",Feb 15 04:14 PM
Murphy Nicole,Head of Pharm Ops and Tech,2022-02-12,Option Exercise,0.0,263,0,"1,489",Feb 15 04:11 PM
Vounatsos Michel,Chief Executive Officer,2022-02-12,Option Exercise,0.0,"8,716",0,"70,465",Feb 15 04:12 PM
Kramer Robin,Chief Accounting Officer,2021-12-03,Option Exercise,223.92,339,"75,909","1,210",Dec 07 04:09 PM
Izzar Rachid,Head of Alzheimer's Disease,2021-12-02,Option Exercise,228.52,372,"85,009","1,271",Dec 06 04:14 PM
MCDONNELL MICHAEL R,"EVP, Chief Financial Officer",2021-09-01,Option Exercise,338.24,"6,005","2,031,131","4,864",Sep 03 04:08 PM
