Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
CHIRICO EMANUEL,Director,2022-07-25,Buy,34.06,"30,000","1,021,800","40,788",Jul 26 04:28 PM
Connolly Sean,President and CEO,2022-07-17,Option Exercise,0.00,"67,313",0,"823,306",Jul 26 04:38 PM
Serrao Darren,EVP & Co-COO,2022-07-16,Option Exercise,0.00,"14,424",0,"126,402",Jul 26 04:37 PM
Bartell Carey,"EVP, GC and Corp. Secretary",2022-07-16,Option Exercise,0.00,"5,680",0,"8,918",Jul 26 04:35 PM
McGough Thomas M,EVP & Co-COO,2022-07-16,Option Exercise,0.00,"14,424",0,"110,924",Jul 26 04:34 PM
MARBERGER DAVID S,EVP and CFO,2022-07-16,Option Exercise,0.00,"14,424",0,"143,739",Jul 26 04:42 PM
Brock Charisse,"EVP, Chief HR Officer",2022-07-16,Option Exercise,0.00,"7,212",0,"97,872",Jul 26 04:41 PM
Wise Robert G,"SVP, Corporate Controller",2022-07-16,Option Exercise,0.00,"5,409",0,"75,116",Jul 26 04:40 PM
McGough Thomas M,EVP & Co-COO,2022-04-21,Option Exercise,27.46,"25,400","697,484","121,950",Apr 22 04:20 PM
McGough Thomas M,EVP & Co-COO,2022-04-21,Sale,36.95,"25,400","938,530","96,550",Apr 22 04:20 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2022-04-19,Option Exercise,31.06,"72,480","2,251,229","232,424",Apr 21 04:41 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2022-04-19,Sale,36.02,"72,480","2,610,730","159,944",Apr 21 04:41 PM
Serrao Darren,EVP & Co-COO,2022-04-08,Sale,34.49,"11,700","403,533","111,978",Apr 08 04:46 PM
McGough Thomas M,EVP & Co-COO,2022-01-20,Option Exercise,27.46,"40,802","1,120,423","137,352",Jan 21 05:33 PM
McGough Thomas M,EVP & Co-COO,2022-01-20,Sale,35.96,"40,802","1,467,240","96,550",Jan 21 05:33 PM
McGough Thomas M,EVP & Co-COO,2022-01-10,Option Exercise,27.46,"49,800","1,367,508","146,350",Jan 10 05:18 PM
McGough Thomas M,EVP & Co-COO,2022-01-10,Sale,35.0,"49,800","1,743,000","96,550",Jan 10 05:18 PM
McGough Thomas M,EVP & Co-COO,2022-01-07,Option Exercise,27.46,200,"5,492","96,750",Jan 10 05:18 PM
McGough Thomas M,EVP & Co-COO,2022-01-07,Sale,35.0,200,"7,000","96,550",Jan 10 05:18 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2021-07-27,Sale,34.2,"33,803","1,156,063","159,944",Jul 27 08:00 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2021-07-21,Sale,34.96,"6,210","217,102","159,943",Jul 21 05:09 PM
Connolly Sean,President and CEO,2021-07-18,Option Exercise,0.0,"52,109",0,"592,516",Jul 20 06:04 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2021-07-17,Option Exercise,0.0,"11,150",0,"171,093",Jul 20 06:06 PM
Brock Charisse,"EVP, Chief HR Officer",2021-07-17,Option Exercise,0.0,"5,575",0,"76,132",Jul 20 06:05 PM
Wise Robert G,"SVP, Corporate Controller",2021-07-17,Option Exercise,0.0,"4,181",0,"58,897",Jul 20 06:01 PM
MARBERGER DAVID S,EVP and CFO,2021-07-17,Option Exercise,0.0,"11,150",0,"100,451",Jul 20 06:02 PM
Serrao Darren,EVP & Co-COO,2021-07-17,Option Exercise,0.0,"8,363",0,"102,030",Jul 20 05:59 PM
McGough Thomas M,EVP & Co-COO,2021-07-17,Option Exercise,0.0,"11,150",0,"67,491",Jul 20 05:57 PM
LENNY RICHARD H,Director,2021-07-15,Buy,34.14,"10,000","341,400","128,261",Jul 16 08:00 AM
