Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Nelson Christopher John,"President, HVAC",2022-06-14,Option Exercise,0.0,"74,489",0,"108,193",Jun 16 04:27 PM
Villeneuve Nadia,Senior VP & CHRO,2022-06-14,Option Exercise,0.0,"24,850",0,"58,695",Jun 16 04:27 PM
Timperman Jurgen,"President, Fire & Security",2022-06-14,Option Exercise,0.0,"74,489",0,"74,489",Jun 16 04:28 PM
Crockett Kyle,"Vice President, Controller",2022-02-10,Option Exercise,0.0,16,0,28,Feb 14 04:30 PM
Agrawal Ajay,"Senior VP, Strategy & Services",2022-02-10,Option Exercise,0.0,25,0,"58,335",Feb 14 04:31 PM
Timperman Jurgen,"President, Fire & Security",2022-02-05,Option Exercise,0.0,"34,301",0,"44,296",Feb 08 06:42 PM
Nelson Christopher John,"President, HVAC",2022-02-05,Option Exercise,0.0,"50,403",0,"52,033",Feb 08 06:42 PM
Villeneuve Nadia,Senior VP & CHRO,2022-02-05,Option Exercise,0.0,"19,259",0,"38,606",Feb 08 06:31 PM
Gitlin David L.,Chairman and CEO,2022-02-05,Option Exercise,0.0,"133,556",0,"136,471",Feb 08 06:32 PM
Agrawal Ajay,"Senior VP, Strategy & Services",2022-02-05,Option Exercise,0.0,"22,250",0,"63,489",Feb 08 06:31 PM
Crockett Kyle,"Vice President, Controller",2022-02-04,Sale,45.73,"3,682","168,360",12,Feb 04 08:19 PM
Crockett Kyle,"Vice President, Controller",2022-02-03,Option Exercise,0.0,"5,028",0,"5,040",Feb 04 08:19 PM
Nelson Christopher John,"President, HVAC",2021-12-01,Option Exercise,0.0,"1,396",0,"3,026",Dec 03 04:17 PM
Goris Patrick P.,Senior Vice President & CFO,2021-12-01,Option Exercise,0.0,"17,908",0,"17,908",Dec 03 04:17 PM
Agrawal Ajay,"Senior VP, Strategy & Services",2021-12-01,Option Exercise,0.0,522,0,"41,761",Dec 03 04:18 PM
Gitlin David L.,Chairman and CEO,2021-12-01,Option Exercise,0.0,"7,243",0,"10,158",Dec 03 04:18 PM
Timperman Jurgen,"President, Fire & Security",2021-11-12,Option Exercise,21.22,"37,121","787,603","57,110",Nov 16 04:19 PM
Timperman Jurgen,"President, Fire & Security",2021-11-12,Sale,56.05,"33,036","1,851,813","9,995",Nov 16 04:19 PM
Timperman Jurgen,"President, Fire & Security",2021-10-02,Option Exercise,0.0,"27,244",0,"30,710",Oct 05 04:48 PM
Timperman Jurgen,"President, Fire & Security",2021-10-01,Option Exercise,0.0,"5,715",0,"5,715",Oct 05 04:48 PM
Agrawal Ajay,"Senior VP, Strategy & Services",2021-08-19,Option Exercise,16.98,"27,409","465,310","68,648",Aug 20 05:19 PM
Agrawal Ajay,"Senior VP, Strategy & Services",2021-08-19,Sale,55.13,"18,969","1,045,825","41,239",Aug 20 05:19 PM
Nelson Christopher John,"President, HVAC",2021-08-17,Sale,55.08,"96,583","5,319,589","1,630",Aug 18 04:22 PM
Appel David,"President, Refrigeration",2021-08-04,Option Exercise,17.78,"49,592","881,775","90,663",Aug 06 07:20 AM
Appel David,"President, Refrigeration",2021-08-04,Sale,57.38,"34,259","1,965,709","41,071",Aug 06 07:20 AM
