Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Subramanian Rakesh,"EVP, Chief Revenue Officer",2022-05-09,Sale,53.0,"4,315","228,689","59,441",May 10 04:28 PM
McDonald William Everett,"EVP, GC & Corporate Secretary",2022-05-09,Sale,53.0,487,"25,811","38,048",May 10 04:21 PM
Jacobs Jeffrey Scott,Head of Acct & Fin Reporting,2022-05-09,Sale,53.0,163,"8,639","9,699",May 10 04:14 PM
Armstrong Christopher R,"EVP, Chief Operating Officer",2022-05-09,Sale,52.99,"1,811","95,965","112,977",May 10 04:07 PM
Heuland Noemie Clemence,"EVP, CFO",2022-05-05,Sale,57.69,"3,500","201,915","57,075",May 06 04:40 PM
Turner Leagh Erin,Co-Chief Executive Officer,2022-03-17,Option Exercise,38.63,"6,000","231,780","182,643",Mar 18 04:22 PM
Turner Leagh Erin,Co-Chief Executive Officer,2022-03-17,Sale,65.0,"6,000","390,000","176,643",Mar 18 04:22 PM
McDonald William Everett,"EVP, GC & Corporate Secretary",2022-03-09,Sale,62.49,"1,225","76,550","36,859",Mar 10 04:19 PM
Korngiebel Joseph B,"EVP, CPTO",2022-03-09,Sale,62.49,"5,237","327,265","105,458",Mar 10 04:17 PM
Jacobs Jeffrey Scott,Head of Acct & Fin Reporting,2022-03-09,Sale,62.49,784,"48,989","8,834",Mar 10 04:13 PM
Holdridge Stephen H.,"EVP, Chief Customer Officer",2022-03-09,Sale,62.49,"2,565","160,289","40,636",Mar 10 04:11 PM
Heuland Noemie Clemence,"EVP, CFO",2022-03-09,Sale,62.49,592,"36,997","60,575",Mar 10 04:09 PM
Armstrong Christopher R,"EVP, Chief Operating Officer",2022-03-09,Sale,62.49,"6,861","428,744","110,178",Mar 10 04:07 PM
McDonald William Everett,"EVP, GC & Corporate Secretary",2022-03-01,Sale,72.85,51,"3,715","37,403",Mar 02 04:13 PM
Armstrong Christopher R,"EVP, Chief Operating Officer",2022-03-01,Sale,72.85,165,"12,020","113,045",Mar 02 04:10 PM
Jacobs Jeffrey Scott,Head of Acct & Fin Reporting,2022-03-01,Sale,72.85,27,"1,967","9,135",Mar 02 04:11 PM
Turner Leagh Erin,Co-Chief Executive Officer,2022-02-15,Option Exercise,38.63,"6,000","231,780","119,111",Feb 17 04:08 PM
Turner Leagh Erin,Co-Chief Executive Officer,2022-02-15,Sale,70.86,"6,000","425,177","113,111",Feb 17 04:08 PM
Armstrong Christopher R,"EVP, Chief Customer Officer",2022-02-09,Sale,79.48,"3,891","309,257","81,445",Feb 11 04:09 PM
Turner Leagh Erin,President and COO,2022-01-18,Option Exercise,49.93,"6,084","303,774","119,195",Jan 20 04:16 PM
Turner Leagh Erin,President and COO,2022-01-18,Sale,81.15,"6,084","493,716","113,111",Jan 20 04:16 PM
Turner Leagh Erin,President and COO,2021-12-15,Option Exercise,49.93,"6,500","324,545","119,611",Dec 17 04:09 PM
Turner Leagh Erin,President and COO,2021-12-15,Sale,102.37,"6,500","665,378","113,111",Dec 17 04:09 PM
Ossip David D,Chairman and CEO,2021-12-08,Option Exercise,22.0,"500,000","11,000,000","1,059,873",Dec 10 04:08 PM
Ossip David D,Chairman and CEO,2021-12-08,Sale,105.37,"500,000","52,685,000","559,873",Dec 10 04:08 PM
Turner Leagh Erin,President and COO,2021-11-15,Option Exercise,49.93,"6,500","324,545","119,611",Nov 17 04:12 PM
Turner Leagh Erin,President and COO,2021-11-15,Sale,119.15,"6,500","774,491","113,111",Nov 17 04:12 PM
Heuland Noemie Clemence,"EVP, CFO",2021-11-10,Sale,120.77,"3,237","390,932","30,708",Nov 12 04:09 PM
HAGERTY THOMAS M,Director,2021-11-09,Sale,122.13,"9,023","1,101,961","84,235",Nov 10 09:10 PM
HAGERTY THOMAS M,Director,2021-11-09,Sale,122.13,"9,022","1,101,840","84,256",Nov 10 09:10 PM
HAGERTY THOMAS M,Director,2021-11-08,Sale,124.24,"20,977","2,606,099","93,258",Nov 10 09:10 PM
HAGERTY THOMAS M,Director,2021-11-08,Sale,124.24,"20,978","2,606,223","93,278",Nov 10 09:10 PM
McDonald William Everett,"EVP, GC & Corporate Secretary",2021-11-05,Option Exercise,20.73,"8,750","181,400","21,498",Nov 08 04:07 PM
McDonald William Everett,"EVP, GC & Corporate Secretary",2021-11-05,Sale,122.22,"8,750","1,069,421","12,748",Nov 08 04:07 PM
Turner Leagh Erin,President and COO,2021-10-15,Option Exercise,38.63,"7,000","270,410","120,111",Oct 19 04:24 PM
Turner Leagh Erin,President and COO,2021-10-15,Sale,122.64,"7,000","858,473","113,111",Oct 19 04:24 PM
Turner Leagh Erin,President and COO,2021-09-15,Option Exercise,38.63,"6,000","231,780","119,111",Sep 17 04:06 PM
Turner Leagh Erin,President and COO,2021-09-15,Sale,106.26,"6,000","637,560","113,111",Sep 17 04:06 PM
Throop Gerald C,Director,2021-09-09,Sale,112.7,"8,736","984,547","14,638",Sep 10 04:05 PM
Jacobs Jeffrey Scott,Head of Acct & Fin Reporting,2021-09-03,Option Exercise,16.82,"1,000","16,820","5,840",Sep 07 04:08 PM
Jacobs Jeffrey Scott,Head of Acct & Fin Reporting,2021-09-03,Sale,115.0,"1,000","115,000","4,840",Sep 07 04:08 PM
Korngiebel Joseph B,"EVP, CPTO",2021-08-23,Sale,106.41,"10,006","1,064,738","75,908",Aug 24 04:14 PM
Jacobs Jeffrey Scott,Head of Acct & Fin Reporting,2021-08-16,Option Exercise,16.82,"2,000","33,640","6,840",Aug 18 04:09 PM
