Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Bridges Wendy,EVP,2022-03-03,Sale,93.78,"1,100","103,158","16,666",Mar 04 05:32 PM
CHAUSSE MELINDA A.,EVP,2022-02-18,Sale,100.67,"3,647","367,143","41,876",Feb 23 04:17 PM
Moore Christine M,EVP and General Auditor,2022-02-01,Option Exercise,33.79,"2,750","92,922","23,309",Feb 03 04:17 PM
Moore Christine M,EVP and General Auditor,2022-02-01,Sale,93.9,"2,750","258,225","20,559",Feb 03 04:17 PM
CHAUSSE MELINDA A.,EVP,2021-11-24,Option Exercise,45.84,"3,429","157,187","47,532",Nov 29 04:16 PM
CHAUSSE MELINDA A.,EVP,2021-11-24,Sale,90.98,"3,429","311,958","44,103",Nov 29 04:16 PM
Ortiz Mauricio A,SVP & Chief Accounting Officer,2021-11-12,Option Exercise,32.97,567,"18,694","9,870",Nov 16 04:24 PM
Ortiz Mauricio A,SVP & Chief Accounting Officer,2021-11-12,Sale,88.48,567,"50,170","9,303",Nov 16 04:24 PM
Buchanan John D,EVP & Corporate Secretary,2021-10-28,Option Exercise,32.97,"3,688","121,593","48,335",Oct 29 04:24 PM
Buchanan John D,EVP & Corporate Secretary,2021-10-28,Sale,85.11,"5,688","484,106","42,647",Oct 29 04:24 PM
Burkhart Megan D,EVP - Chief HR Officer,2021-10-27,Option Exercise,40.74,"9,926","404,429","46,034",Oct 29 04:19 PM
Burkhart Megan D,EVP - Chief HR Officer,2021-10-27,Sale,86.9,"9,926","862,605","36,108",Oct 29 04:19 PM
OBERG JAY K.,EVP - Chief Risk Officer,2021-10-25,Option Exercise,40.44,"5,200","210,292","43,553",Oct 27 04:15 PM
OBERG JAY K.,EVP - Chief Risk Officer,2021-10-25,Sale,88.66,"5,200","461,055","38,353",Oct 27 04:15 PM
WEBER JAMES HARRY,Executive Vice President,2021-10-22,Option Exercise,43.53,"2,454","106,814","19,045",Oct 26 04:18 PM
WEBER JAMES HARRY,Executive Vice President,2021-10-22,Sale,88.5,"2,454","217,170","16,591",Oct 26 04:18 PM
Humrichouse Ximena G,Director,2021-10-22,Sale,88.4,728,"64,358","32,316",Oct 26 04:16 PM
CHAUSSE MELINDA A.,EVP,2021-08-13,Option Exercise,33.79,"3,250","109,818","47,311",Aug 17 04:17 PM
CHAUSSE MELINDA A.,EVP,2021-08-13,Sale,75.12,"3,250","244,140","44,061",Aug 17 04:17 PM
