Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Brunner Heather J.,Director,2022-02-25,Sale,164.75,883,"145,474","9,224",Feb 28 05:17 PM
ODEN D KEITH,Executive Vice Chairman,2022-01-04,Option Exercise,10.51,"72,267","759,707","330,340",Jan 05 05:54 PM
WESTBROOK KELVIN R,Director,2022-01-04,Sale,176.87,"2,617","462,856","25,225",Jan 05 06:02 PM
ODEN D KEITH,Executive Vice Chairman,2022-01-04,Sale,176.99,"72,267","12,790,536","258,073",Jan 05 05:54 PM
Gallagher Michael P,Chief Accounting Officer,2022-01-04,Sale,176.87,"3,362","594,620","27,016",Jan 05 05:50 PM
ODEN D KEITH,Executive Vice Chairman,2021-12-23,Option Exercise,10.51,"29,607","311,244","29,607",Dec 23 03:00 PM
ODEN D KEITH,Executive Vice Chairman,2021-12-23,Sale,173.84,"29,607","5,146,970",0,Dec 23 03:00 PM
ODEN D KEITH,Executive Vice Chairman,2021-12-17,Option Exercise,10.51,"27,393","287,969","27,393",Dec 21 05:32 PM
ODEN D KEITH,Executive Vice Chairman,2021-12-17,Sale,173.83,"27,393","4,761,725",0,Dec 21 05:32 PM
CAMPO RICHARD J,Chairman and CEO,2021-12-17,Sale,173.93,"34,422","5,987,018","158,660",Dec 21 05:28 PM
Baker Laurie,"EVP, Operations",2021-12-13,Sale,173.5,"1,752","303,972","46,602",Dec 14 04:27 PM
STEWART H MALCOLM,President & COO,2021-12-08,Sale,171.73,"35,203","6,045,237","55,932",Dec 09 06:11 PM
INGRAHAM SCOTT S,Director,2021-12-02,Sale,169.0,"7,463","1,261,247","65,250",Dec 03 04:12 PM
Gallagher Michael P,Chief Accounting Officer,2021-11-03,Sale,163.37,907,"148,175","30,378",Nov 05 04:37 PM
STEWART H MALCOLM,President & COO,2021-11-02,Sale,160.76,"37,500","6,028,575","91,135",Nov 03 06:03 PM
Sevilla-Sacasa Frances Aldrich,Director,2021-09-15,Sale,151.83,"2,681","407,057","18,390",Sep 15 05:08 PM
ODEN D KEITH,Executive Vice Chairman,2021-08-05,Option Exercise,10.51,"21,344","224,379","21,344",Aug 05 05:18 PM
ODEN D KEITH,Executive Vice Chairman,2021-08-05,Sale,148.8,"21,344","3,175,987",0,Aug 05 05:18 PM
ODEN D KEITH,Executive Vice Chairman,2021-08-04,Option Exercise,10.51,"36,838","387,259","36,838",Aug 05 05:18 PM
CAMPO RICHARD J,Chairman and CEO,2021-08-04,Sale,148.17,"16,260","2,409,228","193,082",Aug 05 05:13 PM
ODEN D KEITH,Executive Vice Chairman,2021-08-04,Sale,148.23,"36,838","5,460,497",0,Aug 05 05:18 PM
ODEN D KEITH,Executive Vice Chairman,2021-08-03,Option Exercise,10.51,"14,424","151,632","14,424",Aug 05 05:18 PM
CAMPO RICHARD J,Chairman and CEO,2021-08-03,Sale,148.62,"14,409","2,141,480","209,342",Aug 05 05:13 PM
STEWART H MALCOLM,President & COO,2021-08-03,Sale,148.68,"33,350","4,958,445","128,635",Aug 05 05:29 PM
ODEN D KEITH,Executive Vice Chairman,2021-08-03,Sale,148.62,"14,424","2,143,709",0,Aug 05 05:18 PM
