Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
HENSHALL DAVID J,CEO & PRESIDENT,2021-10-01,Sale,107.96,"5,450","588,382","338,567",Oct 04 11:24 AM
Mullapudi Sridhar,"EVP, Product Management",2021-09-07,Sale,102.69,690,"70,856","20,711",Sep 08 09:32 AM
Shenkman Arlen,EVP & CFO,2021-09-01,Sale,103.22,935,"96,511","68,086",Sep 02 10:31 AM
HENSHALL DAVID J,CEO & PRESIDENT,2021-09-01,Sale,103.22,"6,154","635,216","343,612",Sep 02 10:29 AM
Shenkman Arlen,EVP & CFO,2021-08-02,Sale,100.28,935,"93,762","69,021",Aug 04 09:31 AM
FERRER MARK J,"EVP, Chief Revenue Officer",2021-08-02,Sale,100.28,"1,175","117,829","46,445",Aug 04 09:29 AM
HENSHALL DAVID J,CEO & PRESIDENT,2021-08-02,Sale,100.28,"6,155","617,223","349,766",Aug 04 09:27 AM
Shenkman Arlen,EVP & CFO,2021-07-01,Sale,117.15,935,"109,535","69,772",Jul 02 12:38 PM
HENSHALL DAVID J,CEO & PRESIDENT,2021-07-01,Sale,117.15,"5,859","686,382","355,921",Jul 02 12:36 PM
FERRER MARK J,"EVP, Chief Revenue Officer",2021-07-01,Sale,117.15,"2,445","286,432","47,578",Jul 02 12:33 PM
