Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Austin Wanda M,Director,2022-05-27,Option Exercise,93.9,"12,039","1,130,462","15,582",Jun 01 04:59 PM
Austin Wanda M,Director,2022-05-27,Sale,177.29,"12,039","2,134,446","3,543",Jun 01 04:59 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-05-26,Option Exercise,83.29,"270,000","22,488,300","270,000",May 31 05:24 PM
Geagea Joseph C,Executive Vice President,2022-05-26,Option Exercise,103.71,"10,000","1,037,100","11,243",May 27 04:56 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-05-26,Sale,176.44,"270,000","47,637,852",0,May 31 05:24 PM
Geagea Joseph C,Executive Vice President,2022-05-26,Sale,177.5,"10,000","1,775,000","1,243",May 27 04:56 PM
HERNANDEZ ENRIQUE JR,Director,2022-05-25,Option Exercise,123.98,"11,799","1,462,887","36,080",May 27 04:30 PM
Geagea Joseph C,Executive Vice President,2022-05-25,Option Exercise,113.54,"50,000","5,677,100","51,243",May 27 04:56 PM
HERNANDEZ ENRIQUE JR,Director,2022-05-25,Sale,175.0,"11,799","2,064,825","24,281",May 27 04:30 PM
Geagea Joseph C,Executive Vice President,2022-05-25,Sale,173.7,"50,000","8,685,000","1,243",May 27 04:56 PM
Pate R. Hewitt,VP and General Counsel,2022-05-24,Option Exercise,83.29,"91,300","7,604,377","91,300",May 26 06:17 PM
Pate R. Hewitt,VP and General Counsel,2022-05-24,Sale,172.34,"91,300","15,734,222",0,May 26 06:17 PM
HERNANDEZ ENRIQUE JR,Director,2022-05-17,Option Exercise,120.63,"21,813","2,631,382","44,791",May 18 05:02 PM
HERNANDEZ ENRIQUE JR,Director,2022-05-17,Sale,175.0,"21,813","3,817,275","22,978",May 18 05:02 PM
Geagea Joseph C,Executive Vice President,2022-05-16,Option Exercise,101.0,"30,000","3,030,000","31,243",May 17 04:36 PM
HERNANDEZ ENRIQUE JR,Director,2022-05-16,Option Exercise,102.74,"39,773","4,086,469","62,751",May 18 05:02 PM
Geagea Joseph C,Executive Vice President,2022-05-16,Sale,174.01,"30,000","5,220,369","1,243",May 17 04:36 PM
HERNANDEZ ENRIQUE JR,Director,2022-05-16,Sale,173.99,"39,773","6,919,989","22,978",May 18 05:02 PM
Geagea Joseph C,Executive Vice President,2022-05-13,Option Exercise,101.0,"30,000","3,030,000","31,243",May 17 04:36 PM
MORRIS RHONDA J,Vice President,2022-05-13,Option Exercise,101.22,"59,700","6,042,588","60,530",May 17 04:42 PM
Geagea Joseph C,Executive Vice President,2022-05-13,Sale,168.04,"30,000","5,041,152","1,243",May 17 04:36 PM
MORRIS RHONDA J,Vice President,2022-05-13,Sale,167.19,"59,700","9,981,452",830,May 17 04:42 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-11,Option Exercise,116.45,"5,600","652,120","5,600",May 13 04:31 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-11,Sale,164.85,"5,600","923,143",0,May 13 04:31 PM
NELSON MARK A,Executive Vice President,2022-05-10,Option Exercise,91.59,"117,400","10,752,280","118,188",May 12 06:51 PM
NELSON MARK A,Executive Vice President,2022-05-10,Sale,159.47,"117,400","18,722,342",788,May 12 06:51 PM
PARFITT COLIN E,Vice President,2022-05-06,Option Exercise,103.71,"47,700","4,946,967","48,373",May 10 07:10 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-06,Option Exercise,103.71,"9,500","985,245","9,500",May 10 07:14 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-06,Option Exercise,103.71,"5,000","518,550","5,000",May 10 07:14 PM
Geagea Joseph C,Executive Vice President,2022-05-06,Option Exercise,101.0,"30,000","3,030,000","31,243",May 10 07:37 PM
BONNER EIMEAR P,Vice President,2022-05-06,Sale,169.21,478,"80,883",358,May 10 07:02 PM
PARFITT COLIN E,Vice President,2022-05-06,Sale,168.58,"47,700","8,041,485",673,May 10 07:10 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-06,Sale,170.0,"9,500","1,615,000",0,May 10 07:14 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-06,Sale,170.0,"5,000","850,000",0,May 10 07:14 PM
Geagea Joseph C,Executive Vice President,2022-05-06,Sale,168.63,"30,000","5,058,888","1,243",May 10 07:37 PM
Geagea Joseph C,Executive Vice President,2022-05-04,Option Exercise,101.0,"30,000","3,030,000","31,243",May 06 07:06 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-05-04,Option Exercise,103.71,"55,600","5,766,276","55,600",May 05 06:16 PM
BONNER EIMEAR P,Vice President,2022-05-04,Option Exercise,109.67,"68,032","7,460,931","68,032",May 06 05:01 PM
Geagea Joseph C,Executive Vice President,2022-05-04,Sale,164.5,"30,000","4,935,000","1,243",May 06 07:06 PM
HERNANDEZ ENRIQUE JR,Director,2022-05-04,Sale,164.4,"7,923","1,302,502","10,196",May 05 06:06 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-05-04,Sale,165.94,"55,600","9,226,264",0,May 05 06:16 PM
BONNER EIMEAR P,Vice President,2022-05-04,Sale,165.0,"68,032","11,225,280",0,May 06 05:01 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-03,Option Exercise,116.0,"4,700","545,200","4,700",May 05 05:20 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-03,Option Exercise,116.42,"7,000","814,928","7,000",May 05 05:20 PM
HERNANDEZ ENRIQUE JR,Director,2022-05-03,Option Exercise,97.63,"5,805","566,742","28,783",May 05 06:06 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-05-03,Option Exercise,102.41,"119,000","12,186,390","119,000",May 05 06:16 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-03,Sale,161.09,"4,700","757,123",0,May 05 05:20 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-05-03,Sale,161.01,"7,000","1,127,048",0,May 05 05:20 PM
HERNANDEZ ENRIQUE JR,Director,2022-05-03,Sale,160.0,"5,805","928,800","22,978",May 05 06:06 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-05-03,Sale,160.48,"119,000","19,096,811",0,May 05 06:16 PM
PARFITT COLIN E,Vice President,2022-03-01,Option Exercise,116.0,"9,000","1,044,000","9,667",Mar 02 04:38 PM
PARFITT COLIN E,Vice President,2022-03-01,Sale,145.02,"9,000","1,305,197",667,Mar 02 04:38 PM
Wirth Michael K,Chairman and CEO,2022-02-25,Option Exercise,120.19,"3,000","360,570","3,000",Mar 01 05:29 PM
PARFITT COLIN E,Vice President,2022-02-25,Option Exercise,92.79,"31,000","2,876,380","31,667",Mar 01 06:55 PM
Wirth Michael K,Chairman and CEO,2022-02-25,Sale,139.55,"3,000","418,650",0,Mar 01 05:29 PM
PARFITT COLIN E,Vice President,2022-02-25,Sale,140.0,"31,000","4,340,000",667,Mar 01 06:55 PM
Breber Pierre R,VP & Chief Financial Officer,2022-02-22,Option Exercise,116.45,"18,500","2,154,325","18,507",Feb 24 06:27 PM
MORRIS RHONDA J,Vice President,2022-02-22,Option Exercise,116.25,"11,300","1,313,680","40,515",Feb 24 06:32 PM
MORRIS RHONDA J,Vice President,2022-02-22,Option Exercise,116.25,"17,300","2,011,120","18,127",Feb 24 06:32 PM
PARFITT COLIN E,Vice President,2022-02-22,Option Exercise,116.45,"15,500","1,804,975","16,167",Feb 24 06:35 PM
PARFITT COLIN E,Vice President,2022-02-22,Sale,132.91,"15,500","2,060,156",667,Feb 24 06:35 PM
MORRIS RHONDA J,Vice President,2022-02-22,Sale,132.94,"11,300","1,502,176","29,215",Feb 24 06:32 PM
MORRIS RHONDA J,Vice President,2022-02-22,Sale,132.91,"17,300","2,299,345",827,Feb 24 06:32 PM
Breber Pierre R,VP & Chief Financial Officer,2022-02-22,Sale,132.9,"18,500","2,458,630",7,Feb 24 06:27 PM
Wirth Michael K,Chairman and CEO,2022-02-14,Option Exercise,116.45,"90,000","10,480,500","90,000",Feb 16 05:15 PM
Wirth Michael K,Chairman and CEO,2022-02-14,Sale,136.81,"90,000","12,313,096",0,Feb 16 05:15 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-02-11,Option Exercise,88.2,"25,433","2,243,191","25,433",Feb 15 04:36 PM
Geagea Joseph C,Executive Vice President,2022-02-11,Option Exercise,99.01,"48,500","4,801,937","49,743",Feb 15 04:30 PM
Geagea Joseph C,Executive Vice President,2022-02-11,Sale,138.36,"48,500","6,710,251","1,243",Feb 15 04:30 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-02-11,Sale,139.43,"25,433","3,546,123",0,Feb 15 04:36 PM
Breber Pierre R,VP & Chief Financial Officer,2022-02-09,Option Exercise,116.45,"18,500","2,154,325","18,507",Feb 10 05:57 PM
Breber Pierre R,VP & Chief Financial Officer,2022-02-09,Sale,138.0,"18,500","2,553,000",7,Feb 10 05:57 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-02-07,Option Exercise,83.29,"41,700","3,473,193","41,700",Feb 09 04:34 PM
NELSON MARK A,Executive Vice President,2022-02-07,Option Exercise,116.24,"54,500","6,335,275","55,282",Feb 09 04:42 PM
Pate R. Hewitt,VP and General Counsel,2022-02-07,Option Exercise,103.71,"125,300","12,994,863","125,300",Feb 09 04:48 PM
Pate R. Hewitt,VP and General Counsel,2022-02-07,Sale,137.59,"125,300","17,240,340",0,Feb 09 04:48 PM
NELSON MARK A,Executive Vice President,2022-02-07,Sale,137.33,"54,500","7,484,409",782,Feb 09 04:42 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-02-07,Sale,138.5,"41,700","5,775,579",0,Feb 09 04:34 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-01-31,Option Exercise,0.0,180,0,180,Feb 02 05:13 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-01-31,Option Exercise,62.12,"9,653","599,688","7,200",Feb 02 05:13 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-01-31,Option Exercise,0.0,"12,598",0,"12,598",Feb 02 05:10 PM
Geagea Joseph C,Executive Vice President,2022-01-31,Option Exercise,0.0,"9,687",0,"10,930",Feb 02 05:08 PM
