Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
RING TIMOTHY M,Director,2022-08-01,Option Exercise,60.85,"2,000","121,709","25,933",Aug 02 04:25 PM
RING TIMOTHY M,Director,2022-08-01,Sale,136.04,"2,000","272,080","23,933",Aug 02 04:25 PM
RING TIMOTHY M,Director,2022-07-01,Option Exercise,57.46,"2,000","114,911","25,933",Jul 05 04:35 PM
RING TIMOTHY M,Director,2022-07-01,Sale,133.47,"2,000","266,940","23,933",Jul 05 04:35 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-24,Option Exercise,94.2,"282,408","26,601,579","491,115",May 25 04:31 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-24,Sale,140.12,"282,408","39,571,322","334,833",May 25 04:31 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-23,Option Exercise,94.26,"77,466","7,302,052","377,401",May 25 04:31 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-23,Sale,140.17,"77,466","10,858,220","334,833",May 25 04:31 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-05-17,Option Exercise,66.51,"50,604","3,365,672","89,828",May 19 04:40 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-05-17,Sale,139.97,"50,604","7,082,991","39,224",May 19 04:40 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-03-08,Sale,135.21,"6,228","842,088","39,224",Mar 09 04:50 PM
Doherty Catherine T.,"SVP, Group Exec. Clin. Fran.",2022-03-08,Sale,135.21,"7,032","950,797","67,733",Mar 09 04:40 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-02-28,Sale,130.0,661,"85,930","39,224",Mar 02 04:44 PM
Doherty Catherine T.,"SVP, Group Exec. Clin. Fran.",2022-02-24,Sale,126.26,"2,750","347,215","64,405",Feb 28 07:50 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-02-24,Sale,126.26,"1,669","210,728","37,144",Feb 28 07:35 PM
Doherty Catherine T.,"SVP, Group Exec. Clin. Fran.",2021-11-29,Option Exercise,95.8,"37,565","3,598,539","106,294",Dec 01 04:34 PM
Doherty Catherine T.,"SVP, Group Exec. Clin. Fran.",2021-11-29,Sale,156.81,"37,565","5,890,575","68,729",Dec 01 04:34 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-29,Option Exercise,95.8,"9,493","909,382","289,727",Jul 30 04:16 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-29,Sale,140.87,"9,493","1,337,251","284,427",Jul 30 04:16 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-28,Option Exercise,95.8,"139,751","13,387,447","424,178",Jul 30 04:16 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-28,Sale,140.14,"139,751","19,584,845","284,427",Jul 30 04:16 PM
WILENSKY GAIL R,Director,2021-07-27,Option Exercise,59.39,"12,222","725,926","23,956",Jul 28 04:18 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-27,Option Exercise,95.8,"32,788","3,140,926","317,215",Jul 28 04:21 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-27,Sale,140.01,"32,788","4,590,550","284,427",Jul 28 04:21 PM
WILENSKY GAIL R,Director,2021-07-27,Sale,139.3,"12,222","1,702,470","17,845",Jul 28 04:18 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-26,Option Exercise,95.8,"5,813","556,856","290,240",Jul 28 04:21 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-26,Sale,140.03,"5,813","813,994","284,427",Jul 28 04:21 PM
