Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
WOODFORD BRENT,"EVP, Control, Fin Plan & Tax",2022-03-10,Sale,132.5,226,"29,945","27,003",Mar 10 08:28 PM
McCarthy Christine M,SEVP & Chief Financial Officer,2022-01-18,Option Exercise,38.75,"15,342","594,502","181,049",Jan 18 07:51 PM
McCarthy Christine M,SEVP & Chief Financial Officer,2022-01-18,Sale,151.54,"15,342","2,324,927","165,707",Jan 18 07:51 PM
McCarthy Christine M,SEVP & Chief Financial Officer,2022-01-14,Option Exercise,38.75,"10,000","387,500","175,707",Jan 14 08:00 PM
McCarthy Christine M,SEVP & Chief Financial Officer,2022-01-14,Sale,152.06,"10,000","1,520,600","165,707",Jan 14 08:00 PM
McCarthy Christine M,SEVP & Chief Financial Officer,2022-01-13,Option Exercise,38.75,"10,000","387,500","175,707",Jan 14 08:00 PM
McCarthy Christine M,SEVP & Chief Financial Officer,2022-01-13,Sale,158.0,"10,000","1,580,000","165,707",Jan 14 08:00 PM
McCarthy Christine M,SEVP & Chief Financial Officer,2022-01-12,Option Exercise,38.75,"10,000","387,500","175,707",Jan 14 08:00 PM
McCarthy Christine M,SEVP & Chief Financial Officer,2022-01-12,Sale,158.6,"10,000","1,586,000","165,707",Jan 14 08:00 PM
WOODFORD BRENT,"EVP, Control, Fin Plan & Tax",2022-01-04,Sale,158.89,"2,868","455,697","26,777",Jan 06 08:28 PM
Chapek Robert A,Chief Executive Officer,2021-08-31,Sale,182.0,"10,587","1,926,834",0,Sep 02 07:00 PM
WOODFORD BRENT,"EVP, Control, Fin Plan & Tax",2021-08-13,Option Exercise,51.29,"8,000","410,320","42,620",Aug 13 08:01 PM
WOODFORD BRENT,"EVP, Control, Fin Plan & Tax",2021-08-13,Sale,186.57,"8,000","1,492,600","34,620",Aug 13 08:01 PM
