Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Muschong Lisa A.,"VP, Corp Sec & Chief of Staff",2022-05-27,Sale,134.28,600,"80,568","3,485",May 31 09:30 AM
Chavez JoAnn,Sr VP & Chief Legal Officer,2022-05-23,Sale,130.31,"1,938","252,541","11,006",May 24 03:45 PM
Muschong Lisa A.,"VP, Corp Sec & Chief of Staff",2022-03-04,Sale,127.86,"1,600","204,576","4,085",Mar 07 10:14 AM
Myrick Tracy J,Chief Accounting Officer,2022-03-04,Sale,124.99,600,"74,994",764,Mar 04 12:41 PM
Harris Joi M.,Pres. & COO - DTE Gas Company,2022-03-02,Sale,120.97,"1,650","199,600","9,811",Mar 02 12:39 PM
Chavez JoAnn,Sr VP & Chief Legal Officer,2022-02-16,Sale,116.58,500,"58,290","12,944",Feb 17 10:00 AM
Williams Valerie,Director,2022-01-02,Option Exercise,0.0,"1,560",0,"2,560",Jan 03 05:00 PM
Thomas David A,Director,2022-01-02,Option Exercise,0.0,"1,560",0,"2,560",Jan 03 04:59 PM
SHAW RUTH G,Director,2022-01-02,Option Exercise,0.0,"1,560",0,"2,560",Jan 03 04:59 PM
VANDENBERGHE JAMES H,Director,2022-01-02,Option Exercise,0.0,"1,560",0,"2,560",Jan 03 04:58 PM
MURRAY MARK A,Director,2022-01-02,Option Exercise,0.0,"1,560",0,"2,560",Jan 03 04:58 PM
MCCLURE CHARLES G,Director,2022-01-02,Option Exercise,0.0,"1,560",0,"2,560",Jan 03 04:59 PM
BRANDON DAVID,Director,2022-01-02,Option Exercise,0.0,"1,560",0,"2,560",Jan 03 04:57 PM
Chavez JoAnn,Sr VP & Chief Legal Officer,2021-12-02,Sale,110.78,500,"55,390","8,248",Dec 03 12:04 PM
ANDERSON GERARD M,Executive Chairman,2021-08-11,Sale,120.53,"10,000","1,205,300","580,715",Aug 12 10:36 AM
Lauer Trevor F,President and COO-DTE Electric,2021-08-11,Sale,120.41,"15,000","1,806,150","24,479",Sep 03 10:34 AM
