Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
CAMERON DENNIS C,EVP and General Counsel,2022-07-05,Sale,53.55,"4,537","242,956","270,269",Jul 06 04:30 PM
Williams Valerie,Director,2022-06-14,Sale,69.67,"7,000","487,690","29,649",Jun 14 06:18 PM
Fox Ann G,Director,2022-06-13,Sale,70.27,"2,150","151,080","26,858",Jun 14 04:30 PM
Gaspar Clay M,EVP and COO,2022-05-16,Sale,71.25,"30,000","2,137,500","735,202",May 17 04:31 PM
KINDICK KELT,Director,2022-05-06,Sale,68.03,"9,049","615,603","42,590",May 09 04:32 PM
CAMERON DENNIS C,EVP and General Counsel,2022-05-05,Option Exercise,33.83,"9,580","324,091","284,386",May 09 04:31 PM
CAMERON DENNIS C,EVP and General Counsel,2022-05-05,Sale,68.22,"19,580","1,335,699","274,806",May 09 04:31 PM
Gaspar Clay M,EVP and COO,2022-04-13,Sale,63.75,"30,000","1,912,500","765,202",Apr 14 04:30 PM
CAMERON DENNIS C,EVP and General Counsel,2022-04-04,Sale,61.45,"4,143","254,587","284,806",Apr 06 04:15 PM
Ritenour Jeffrey L,EVP & CHIEF FINANCIAL OFFICER,2022-03-11,Sale,58.35,"55,000","3,209,250","286,017",Mar 11 06:39 PM
Humphers Jeremy D.,SVP-Chief Accounting Officer,2022-03-07,Sale,62.4,"21,000","1,310,400","31,941",Mar 07 05:09 PM
Fox Ann G,Director,2022-03-04,Sale,58.67,"9,027","529,614","26,056",Mar 07 05:14 PM
Humphers Jeremy D.,SVP-Chief Accounting Officer,2022-03-04,Sale,59.42,"19,000","1,128,980","52,941",Mar 07 05:09 PM
Cashion Tana K,EVP Human Resources and Admin,2022-03-01,Sale,58.41,"17,455","1,019,547","65,000",Mar 02 05:03 PM
CAMERON DENNIS C,EVP and General Counsel,2022-02-22,Option Exercise,31.76,"8,626","274,003","331,309",Feb 23 06:15 PM
CAMERON DENNIS C,EVP and General Counsel,2022-02-22,Sale,53.68,"8,626","463,070","322,683",Feb 23 06:15 PM
Humphers Jeremy D.,SVP Chief Accounting Officer,2021-12-14,Sale,40.64,"2,000","81,280","71,941",Dec 15 04:30 PM
Cashion Tana K,SVP Human Resources and Admin,2021-12-14,Sale,40.13,"41,883","1,680,765","55,257",Dec 15 04:30 PM
CAMERON DENNIS C,EVP and General Counsel,2021-12-10,Sale,42.05,"5,942","249,861","310,716",Dec 10 04:30 PM
CAMERON DENNIS C,EVP and General Counsel,2021-12-09,Sale,42.53,929,"39,510",0,Dec 10 04:30 PM
Gaspar Clay M,EVP and COO,2021-11-08,Sale,44.28,"61,053","2,703,427","861,347",Nov 10 04:49 PM
