Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Priest Stephen J,"SVP, Chief Financial Officer",2022-07-15,Option Exercise,0.00,"31,746",0,"34,227",Jul 19 05:52 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2022-07-15,Option Exercise,0.00,"2,462",0,"130,848",Jul 19 05:47 PM
Huber Marie Oh,"SVP, General Counsel & Secreta",2022-06-15,Option Exercise,0.0,"9,659",0,"133,346",Jun 17 05:32 PM
Boone Cornelius,"SVP, Chief People Officer",2022-06-15,Option Exercise,0.0,"5,063",0,"19,026",Jun 17 05:26 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-06-15,Option Exercise,0.0,"8,286",0,"23,215",Jun 17 05:22 PM
Priest Stephen J,"SVP, Chief Financial Officer",2022-06-15,Option Exercise,0.0,"3,386",0,"4,041",Jun 17 05:16 PM
Loeger Julie A,"SVP, Chief Growth Officer",2022-06-15,Option Exercise,0.0,"3,612",0,"17,394",Jun 17 05:13 PM
IANNONE JAMIE,President and CEO,2022-06-15,Option Exercise,0.0,"14,068",0,"159,467",Jun 17 05:08 PM
TRAQUINA PERRY M,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"61,209",Jun 10 05:50 PM
SWAN ROBERT HOLMES,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"179,619",Jun 10 05:44 PM
SHROFF MOHAK,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"7,689",Jun 10 05:39 PM
PRESSLER PAUL S,Director,2022-06-08,Option Exercise,0.0,"5,307",0,"64,567",Jun 10 05:35 PM
Mitic Kathleen C.,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"20,120",Jun 10 05:30 PM
HAYLES CAROL,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"7,762",Jun 10 05:24 PM
Green Logan,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"30,123",Jun 10 05:13 PM
Brown Adriane M,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"24,401",Jun 10 05:04 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-06-06,Sale,47.95,"3,633","174,217","14,929",Jun 08 04:23 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-05-23,Sale,45.16,"7,942","358,669","18,562",May 24 04:49 PM
Loeger Julie A,"SVP, Chief Growth Officer",2022-05-15,Option Exercise,0.0,"4,705",0,"15,815",May 17 06:28 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-05-15,Option Exercise,0.0,"4,741",0,"28,837",May 17 05:15 PM
IANNONE JAMIE,President and CEO,2022-05-07,Option Exercise,0.0,"138,674",0,"145,339",May 10 05:15 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2022-04-15,Option Exercise,0.0,"2,462",0,"124,947",Apr 19 03:33 PM
Thompson Pete,"SVP, Chief Product Officer",2022-03-17,Sale,54.45,"49,523","2,696,537","104,538",Mar 21 04:03 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-03-15,Option Exercise,0.0,"9,041",0,"27,949",Mar 17 03:50 PM
Boone Cornelius,"SVP, Chief People Officer",2022-03-15,Option Exercise,0.0,"21,653",0,"21,653",Mar 17 03:48 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2022-03-15,Option Exercise,0.0,"236,133",0,"243,268",Mar 17 03:46 PM
Thompson Pete,"SVP, Chief Product Officer",2022-03-15,Option Exercise,0.0,"203,092",0,"206,950",Mar 17 03:44 PM
IANNONE JAMIE,President and CEO,2022-03-15,Option Exercise,0.0,"5,942",0,"80,417",Mar 17 03:42 PM
Thompson Pete,"SVP, Chief Product Officer",2022-02-17,Sale,57.58,"2,755","158,633","55,016",Feb 22 05:24 PM
Thompson Pete,"SVP, Chief Product Officer",2022-02-15,Option Exercise,0.0,"8,711",0,"60,973",Feb 17 04:23 PM
Loeger Julie A,"SVP, Chief Growth Officer",2022-02-15,Option Exercise,0.0,"18,825",0,"18,825",Feb 17 04:22 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-02-15,Option Exercise,0.0,"4,740",0,"20,624",Feb 17 04:18 PM
IANNONE JAMIE,President and CEO,2022-02-07,Option Exercise,0.0,"7,591",0,"77,318",Feb 09 04:05 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2022-01-15,Option Exercise,0.0,"2,462",0,"8,144",Jan 19 04:12 PM
Thompson Pete,"SVP, Chief Product Officer",2021-12-17,Sale,63.6,"1,400","89,040","52,262",Dec 21 08:23 PM
Thompson Pete,"SVP, Chief Product Officer",2021-12-15,Option Exercise,0.0,"5,831",0,"56,693",Dec 17 04:32 PM
IANNONE JAMIE,President and CEO,2021-12-15,Option Exercise,0.0,"5,942",0,"72,833",Dec 17 04:22 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2021-12-15,Option Exercise,0.0,"8,647",0,"10,150",Dec 17 04:15 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-12-15,Option Exercise,0.0,"9,041",0,"20,355",Dec 17 04:13 PM
Mitic Kathleen C.,Director,2021-11-22,Sale,74.19,"4,171","309,446","16,329",Nov 24 07:25 PM
Thompson Pete,"SVP, Chief Product Officer",2021-11-17,Sale,75.8,"2,103","159,407","50,862",Nov 19 04:53 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-11-15,Option Exercise,0.0,"4,741",0,"13,680",Nov 17 04:01 PM
Thompson Pete,"SVP, Chief Product Officer",2021-11-15,Option Exercise,0.0,"8,710",0,"57,471",Nov 17 04:01 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-11-15,Sale,76.02,"3,632","276,090","8,939",Nov 17 04:01 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2021-11-08,Sale,75.49,"33,621","2,538,131","1,503",Nov 10 04:40 PM
IANNONE JAMIE,President and CEO,2021-11-07,Option Exercise,0.0,"7,592",0,"70,848",Nov 09 04:18 PM
Mitic Kathleen C.,Director,2021-11-03,Sale,75.79,"15,830","1,199,762","20,500",Nov 05 04:04 PM
SWAN ROBERT HOLMES,Director,2021-10-22,Sale,80.0,"20,000","1,600,000","174,322",Oct 26 05:20 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2021-10-15,Option Exercise,0.0,"2,462",0,"36,400",Oct 19 05:18 PM
Green Logan,Director,2021-10-13,Sale,74.86,343,"25,677","25,874",Nov 05 05:05 PM
SWAN ROBERT HOLMES,Director,2021-10-07,Sale,75.0,"20,000","1,500,000","194,322",Oct 12 04:02 PM
Green Logan,Director,2021-10-06,Sale,71.54,65,"4,650","26,217",Nov 05 05:05 PM
Green Logan,Director,2021-09-29,Sale,69.97,8,560,"26,282",Nov 05 05:05 PM
Thompson Pete,"SVP, Chief Product Officer",2021-09-17,Sale,74.89,"1,394","104,397","48,761",Sep 21 04:12 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2021-09-15,Option Exercise,0.0,"8,648",0,"38,426",Sep 17 05:56 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-09-15,Option Exercise,0.0,"9,042",0,"17,073",Sep 17 05:54 PM
Thompson Pete,"SVP, Chief Product Officer",2021-09-15,Option Exercise,0.0,"5,831",0,"53,197",Sep 17 05:08 PM
IANNONE JAMIE,President and CEO,2021-09-15,Option Exercise,0.0,"5,942",0,"66,371",Sep 17 04:53 PM
Green Logan,Director,2021-09-15,Sale,73.99,463,"34,257","26,290",Nov 05 05:05 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-08-30,Sale,77.69,"2,862","222,350","8,031",Sep 01 05:04 PM
Bates Anthony John,Director,2021-08-25,Sale,74.12,"19,060","1,412,739","20,360",Aug 27 05:50 PM
SWAN ROBERT HOLMES,Director,2021-08-19,Sale,73.15,"40,000","2,925,884","214,322",Aug 23 05:03 PM
Thompson Pete,"SVP, Chief Product Officer",2021-08-17,Sale,73.96,"2,098","155,168","47,366",Aug 19 04:02 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-08-16,Sale,74.87,"12,616","944,501","10,893",Aug 18 04:19 PM
Thompson Pete,"SVP, Chief Product Officer",2021-08-15,Option Exercise,0.0,"8,710",0,"53,979",Aug 17 05:27 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-08-15,Option Exercise,0.0,"4,740",0,"25,899",Aug 17 05:11 PM
Green Logan,Director,2021-08-13,Buy,74.02,536,"39,675","26,753",Nov 05 05:05 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2021-08-13,Sale,73.49,"14,584","1,071,788","21,159",Aug 17 05:11 PM
Green Logan,Director,2021-08-12,Buy,68.89,16,"1,102","26,217",Nov 05 05:05 PM
IANNONE JAMIE,President and CEO,2021-08-07,Option Exercise,0.0,"7,591",0,"64,389",Aug 10 04:05 PM
Thompson Pete,"SVP, Chief Product Officer",2021-08-02,Sale,68.81,536,"36,882","45,269",Aug 04 04:38 PM
Green Logan,Director,2021-07-21,Buy,69.86,7,489,"26,201",Nov 05 05:05 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2021-07-15,Option Exercise,0.0,"2,462",0,"31,055",Jul 19 04:34 PM
Green Logan,Director,2021-07-14,Buy,68.03,19,"1,293","26,194",Nov 05 05:05 PM
