Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Haney Carl P.,EVP Research Prod & Innovation,2022-06-03,Sale,263.88,548,"144,606","3,296",Jun 06 01:47 PM
Haney Carl P.,EVP Research Prod & Innovation,2022-05-27,Sale,253.55,671,"170,132","3,844",May 27 02:26 PM
Haney Carl P.,EVP Research Prod & Innovation,2022-05-26,Sale,237.92,"1,965","467,513","4,515",May 26 04:39 PM
Webster Meridith,EVP Global Comm/Public Affairs,2022-05-17,Option Exercise,0.0,786,0,786,May 18 12:30 PM
BARSHEFSKY CHARLENE,Director,2022-05-11,Option Exercise,57.49,"4,736","272,273","47,986",May 12 01:22 PM
Hertzmark Hudis Jane,Executive Group President,2022-05-11,Sale,230.69,"8,256","1,904,577","31,152",May 12 04:35 PM
BARSHEFSKY CHARLENE,Director,2022-05-11,Sale,238.34,"1,158","275,998","46,828",May 12 01:22 PM
LAUDER JANE,"EVP, Enterprise Mkg & CDataO",2022-05-04,Option Exercise,59.78,"20,032","1,197,513","73,605",May 06 04:07 PM
LAUDER JANE,"EVP, Enterprise Mkg & CDataO",2022-05-04,Sale,245.34,"20,032","4,914,745","53,573",May 06 04:07 PM
Canevari Roberto,Executive Vice President,2022-04-19,Option Exercise,0.0,"1,994",0,"1,994",Apr 20 02:35 PM
Freda Fabrizio,President and CEO,2022-03-11,Option Exercise,76.23,"127,919","9,751,265","203,593",Mar 14 04:32 PM
Freda Fabrizio,President and CEO,2022-03-11,Sale,266.84,"127,919","34,133,912","75,674",Mar 14 04:32 PM
Haney Carl P.,EVP Research Prod & Innovation,2022-02-15,Sale,307.94,"1,152","354,747","6,480",Feb 16 03:03 PM
LAUDER RONALD S,"Chairman, Clinique Labs, LLC",2022-02-10,Sale,307.08,"700,000","214,956,000",0,Feb 11 03:35 PM
Demsey John,Group President,2022-02-09,Option Exercise,218.06,"10,027","2,186,488","16,634",Feb 10 01:53 PM
Demsey John,Group President,2022-02-09,Sale,319.68,"10,027","3,205,431","6,607",Feb 10 01:53 PM
O'HARE MICHAEL,EVP-Global Human Resources,2022-02-04,Option Exercise,183.08,"16,389","3,000,516","16,389",Feb 07 12:52 PM
Demsey John,Group President,2022-02-04,Option Exercise,163.79,"23,248","3,807,875","29,855",Feb 07 12:51 PM
O'HARE MICHAEL,EVP-Global Human Resources,2022-02-04,Sale,309.88,"16,389","5,078,623",0,Feb 07 12:52 PM
Demsey John,Group President,2022-02-04,Sale,314.1,"23,248","7,302,267","6,607",Feb 07 12:51 PM
