Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
GOMO STEVEN J,Director,2022-07-28,Sale,279.21,"35,822","10,001,854","41,456",Jul 29 05:43 PM
Kortlang Benjamin John,Director,2022-07-28,Sale,268.59,"50,000","13,429,419","202,828",Jul 29 05:39 PM
GOMO STEVEN J,Director,2022-07-20,Option Exercise,11.17,"35,822","400,149","77,278",Jul 22 06:10 PM
Kothandaraman Badrinarayanan,President & CEO,2022-06-23,Sale,200.0,"38,650","7,730,000","1,059,051",Jun 27 06:09 PM
Malchow Joseph Ian,Director,2022-06-15,Sale,188.0,"12,500","2,350,001","67,590",Jun 17 06:53 PM
Kothandaraman Badrinarayanan,President & CEO,2022-06-10,Option Exercise,1.31,"155,000","203,050","1,175,401",Jun 14 05:53 PM
Kothandaraman Badrinarayanan,President & CEO,2022-06-10,Sale,196.42,"77,700","15,262,180","1,097,701",Jun 14 05:53 PM
MORA RICHARD,Director,2022-06-02,Option Exercise,0.7,"6,000","4,200","10,425",Jun 03 05:05 PM
Kortlang Benjamin John,Director,2022-06-02,Sale,197.89,"25,000","4,947,164","249,289",Jun 03 05:06 PM
MORA RICHARD,Director,2022-06-02,Sale,198.5,"6,000","1,191,016","4,425",Jun 03 05:05 PM
Kothandaraman Badrinarayanan,President & CEO,2022-03-28,Sale,200.01,"37,500","7,500,356","988,302",Mar 30 04:26 PM
Malchow Joseph Ian,Director,2022-03-14,Sale,156.05,"4,460","695,983","78,490",Mar 15 08:01 PM
Kothandaraman Badrinarayanan,President & CEO,2022-03-10,Option Exercise,1.31,"155,000","203,050","1,105,802",Mar 11 09:23 PM
Kothandaraman Badrinarayanan,President & CEO,2022-03-10,Sale,175.65,"80,000","14,052,297","1,025,802",Mar 11 09:23 PM
McNeil Jeff,EVP & Chief Operating Officer,2022-03-03,Sale,162.86,"19,216","3,129,531","47,412",Mar 03 09:08 PM
McNeil Jeff,EVP & Chief Operating Officer,2022-03-02,Sale,162.81,"20,784","3,383,914","66,628",Mar 03 09:08 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2022-03-02,Sale,162.81,"15,376","2,503,407","85,471",Mar 03 09:06 PM
Yang Mandy,Chief Financial Officer,2022-03-02,Sale,162.81,"12,117","1,972,827","67,524",Mar 03 09:06 PM
Kothandaraman Badrinarayanan,President & CEO,2022-03-02,Sale,162.81,"35,502","5,780,127","950,802",Mar 03 09:05 PM
McNeil Jeff,EVP & Chief Operating Officer,2022-02-17,Sale,151.06,"19,271","2,911,114","66,527",Feb 18 08:41 PM
McNeil Jeff,EVP & Chief Operating Officer,2022-02-16,Sale,149.49,"18,229","2,724,978","85,798",Feb 18 08:41 PM
GOMO STEVEN J,Director,2022-02-10,Sale,163.48,"31,609","5,167,341","39,728",Feb 14 04:58 PM
GOMO STEVEN J,Director,2022-02-04,Option Exercise,5.53,"31,609","174,798","71,337",Feb 04 08:06 PM
Kothandaraman Badrinarayanan,President & CEO,2021-12-30,Sale,184.71,"30,000","5,541,265","956,304",Dec 30 08:25 PM
Branderiz Eric,EVP & Chief Financial Officer,2021-12-17,Sale,183.9,"21,908","4,028,981","90,691",Dec 17 05:41 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2021-12-01,Sale,250.65,"20,299","5,087,936","84,847",Dec 03 06:47 PM
GOMO STEVEN J,Director,2021-11-23,Option Exercise,12.57,"12,932","162,555","39,728",Nov 24 05:04 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2021-11-17,Sale,254.28,"20,299","5,161,637","84,847",Nov 18 06:48 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2021-11-16,Sale,244.1,"66,272","16,177,048","108,646",Nov 18 06:48 PM
Yang Mandy,Chief Accounting Officer,2021-11-04,Sale,236.69,"3,373","798,355","64,390",Nov 05 05:00 PM
Yang Mandy,Chief Accounting Officer,2021-11-03,Sale,233.5,"9,453","2,207,293","67,763",Nov 05 05:00 PM
MORA RICHARD,Director,2021-10-29,Option Exercise,0.7,"19,000","13,300","21,825",Oct 29 07:44 PM
McNeil Jeff,EVP & Chief Operating Officer,2021-10-29,Sale,225.8,"30,000","6,774,101","103,819",Oct 29 07:46 PM
MORA RICHARD,Director,2021-10-29,Sale,229.17,"19,000","4,354,242","2,825",Oct 29 07:44 PM
Kothandaraman Badrinarayanan,President & CEO,2021-09-30,Sale,150.49,"30,000","4,514,573","986,304",Oct 01 06:25 PM
McNeil Jeff,EVP & Chief Operating Officer,2021-08-17,Sale,164.04,"18,334","3,007,566","133,819",Aug 17 06:06 PM
McNeil Jeff,EVP & Chief Operating Officer,2021-08-16,Sale,169.79,"19,166","3,254,140","152,153",Aug 17 06:06 PM
McNeil Jeff,EVP & Chief Operating Officer,2021-08-02,Sale,183.16,"7,529","1,379,012","178,319",Aug 03 07:21 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2021-07-12,Sale,183.87,"28,031","5,154,137","174,918",Jul 12 08:32 PM
