Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Lin Jonathan,"EVP, GM, Data Center Services",2022-06-02,Sale,676.0,76,"51,376","5,084",Jun 02 07:13 PM
Lin Jonathan,"EVP, GM, Data Center Services",2022-06-01,Option Exercise,0.0,175,0,"5,160",Jun 02 07:13 PM
Rivera Sandra L,Director,2022-05-26,Option Exercise,0.0,339,0,988,May 26 06:03 PM
PAISLEY CHRISTOPHER B,Director,2022-05-26,Option Exercise,0.0,339,0,"17,902",May 26 05:43 PM
HROMADKO GARY,Director,2022-05-26,Option Exercise,0.0,339,0,"143,232",May 26 05:41 PM
Guerrier Ron,Director,2022-05-26,Option Exercise,0.0,209,0,209,May 26 05:39 PM
CALDWELL NANCI,Director,2022-05-26,Option Exercise,0.0,339,0,"1,599",May 26 05:37 PM
TAYLOR KEITH D,Chief Financial Officer,2022-05-23,Sale,658.39,"1,000","658,390","21,120",May 24 06:01 PM
PAISLEY CHRISTOPHER B,Director,2022-05-17,Sale,651.91,50,"32,596","17,563",May 18 07:59 PM
Meyers Charles J,CEO and President,2022-05-05,Sale,711.91,"12,244","8,716,618","7,439",May 06 04:26 PM
MORANDI BRANDI GALVIN,Chief Legal and HR Officer,2022-04-29,Sale,752.58,"1,000","752,578","20,640",May 03 04:08 PM
Campbell Michael Earl,Chief Sales Officer,2022-03-11,Sale,701.64,671,"470,803","12,044",Mar 14 04:20 PM
MORANDI BRANDI GALVIN,Chief Legal and HR Officer,2022-03-11,Sale,700.99,877,"614,771","21,640",Mar 14 04:21 PM
Miller Simon,Chief Accounting Officer,2022-03-11,Sale,702.36,318,"223,352","3,645",Mar 14 04:31 PM
Lin Jonathan,"EVP, GM, Data Center Services",2022-03-11,Sale,702.25,123,"86,377","4,985",Mar 14 04:23 PM
Meyers Charles J,CEO and President,2022-03-11,Sale,701.19,"2,229","1,562,959","19,683",Mar 14 04:25 PM
STROHMEYER KARL,Chief Customer & Rev Officer,2022-03-11,Sale,700.96,898,"629,458","17,246",Mar 14 04:32 PM
TAYLOR KEITH D,Chief Financial Officer,2022-03-11,Sale,701.78,"1,058","742,486","22,120",Mar 14 04:34 PM
