Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SHAPIRO MARK S,Director,2022-06-17,Option Exercise,50.68,"6,665","337,782","19,162",Jun 21 04:34 PM
SHAPIRO MARK S,Director,2022-06-17,Sale,70.1,"6,665","467,216","12,497",Jun 21 04:34 PM
Manelis Michael L,Executive Vice President & COO,2022-02-04,Sale,90.13,"3,629","327,082","22,130",Feb 07 04:49 PM
Garechana Robert,EVP & Chief Financial Officer,2022-02-04,Sale,90.13,"2,770","249,660","25,236",Feb 07 04:43 PM
Kaufman Ian,Chief Accounting Officer,2022-02-04,Sale,90.13,870,"78,413","17,161",Feb 07 04:46 PM
Fenster Scott,EVP & General Counsel,2022-02-04,Sale,90.13,"1,102","99,323","24,927",Feb 07 04:36 PM
Carraway Catherine,Executive Vice President,2022-02-04,Sale,90.13,160,"14,421","6,409",Feb 07 04:33 PM
Brackenridge Alexander,Executive Vice President & CIO,2022-02-04,Sale,90.13,"1,600","144,208","36,456",Feb 07 04:26 PM
NEITHERCUT DAVID J,Director,2022-02-03,Option Exercise,46.72,"100,000","4,672,000","100,000",Feb 07 04:20 PM
NEITHERCUT DAVID J,Director,2022-02-03,Sale,92.01,"100,000","9,201,000",0,Feb 07 04:20 PM
NEITHERCUT DAVID J,Director,2021-11-24,Option Exercise,51.34,"67,941","3,488,091","70,815",Nov 29 04:05 PM
NEITHERCUT DAVID J,Director,2021-11-24,Sale,88.0,"67,941","5,978,808","2,874",Nov 29 04:05 PM
NEITHERCUT DAVID J,Director,2021-11-18,Option Exercise,51.34,"10,026","514,735","12,900",Nov 19 04:21 PM
NEITHERCUT DAVID J,Director,2021-11-18,Sale,88.01,"10,026","882,388","2,874",Nov 19 04:21 PM
NEITHERCUT DAVID J,Director,2021-11-15,Option Exercise,51.34,"39,674","2,036,863","42,548",Nov 17 04:14 PM
NEITHERCUT DAVID J,Director,2021-11-15,Sale,88.0,"39,674","3,491,312","2,874",Nov 17 04:14 PM
Garechana Robert,EVP & Chief Financial Officer,2021-11-01,Option Exercise,60.33,"9,146","551,778","28,222",Nov 03 04:16 PM
Garechana Robert,EVP & Chief Financial Officer,2021-11-01,Sale,86.21,"9,146","788,477","19,076",Nov 03 04:16 PM
NEITHERCUT DAVID J,Director,2021-10-29,Option Exercise,51.34,300,"15,402","3,174",Nov 01 04:12 PM
NEITHERCUT DAVID J,Director,2021-10-29,Sale,88.0,300,"26,400","2,874",Nov 01 04:12 PM
NEITHERCUT DAVID J,Director,2021-10-28,Option Exercise,51.34,"50,000","2,567,000","52,874",Nov 01 04:12 PM
NEITHERCUT DAVID J,Director,2021-10-28,Sale,87.53,"50,000","4,376,500","2,874",Nov 01 04:12 PM
HABEN MARY KAY,Director,2021-09-23,Option Exercise,50.68,"6,665","337,782","14,165",Sep 24 04:24 PM
HABEN MARY KAY,Director,2021-09-23,Sale,82.94,"6,665","552,795","7,500",Sep 24 04:24 PM
ZELL SAMUEL,Chairman of the Board,2021-09-22,Option Exercise,51.34,"223,331","11,465,814","600,833",Sep 24 04:21 PM
NEITHERCUT DAVID J,Director,2021-09-02,Option Exercise,51.34,"24,757","1,271,024","27,631",Sep 07 04:12 PM
NEITHERCUT DAVID J,Director,2021-09-02,Sale,86.0,"24,757","2,129,102","2,874",Sep 07 04:12 PM
NEITHERCUT DAVID J,Director,2021-09-01,Option Exercise,50.34,"100,000","5,033,568","86,301",Sep 02 04:13 PM
NEITHERCUT DAVID J,Director,2021-09-01,Sale,85.02,"100,000","8,501,669","2,874",Sep 02 04:13 PM
NEITHERCUT DAVID J,Director,2021-08-06,Option Exercise,45.28,"11,709","530,184","14,583",Aug 10 04:13 PM
NEITHERCUT DAVID J,Director,2021-08-06,Sale,85.02,"11,709","995,499","2,874",Aug 10 04:13 PM
NEITHERCUT DAVID J,Director,2021-08-02,Option Exercise,45.28,"10,459","473,584","13,333",Aug 03 04:13 PM
NEITHERCUT DAVID J,Director,2021-08-02,Sale,85.24,"10,459","891,525","2,874",Aug 03 04:13 PM
NEITHERCUT DAVID J,Director,2021-07-30,Option Exercise,45.28,"70,171","3,177,343","73,045",Aug 03 04:13 PM
Carraway Catherine,Executive Vice President,2021-07-30,Sale,84.61,891,"75,388","5,841",Aug 03 04:16 PM
NEITHERCUT DAVID J,Director,2021-07-30,Sale,85.11,"70,171","5,972,254","2,874",Aug 03 04:13 PM
NEITHERCUT DAVID J,Director,2021-07-29,Option Exercise,45.28,"1,721","77,927","4,595",Aug 02 04:22 PM
NEITHERCUT DAVID J,Director,2021-07-29,Sale,85.0,"1,721","146,285","2,874",Aug 02 04:22 PM
