Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SCOTT RYAN M.,Chief Marketing Officer,2022-07-22,Sale,100.00,712,"71,200",0,Jul 25 05:14 PM
Glaser Rachel C,Chief Financial Officer,2022-07-21,Option Exercise,69.89,"6,080","424,931","48,789",Jul 22 05:11 PM
Glaser Rachel C,Chief Financial Officer,2022-07-21,Sale,95.00,"6,080","577,600","42,709",Jul 22 05:11 PM
Silverman Josh,President & CEO,2022-07-20,Option Exercise,10.62,"20,850","221,427","123,557",Jul 22 04:57 PM
Silverman Josh,President & CEO,2022-07-20,Sale,90.73,"20,850","1,891,792","102,707",Jul 22 04:57 PM
Silverman Josh,President & CEO,2022-07-06,Option Exercise,10.62,"20,850","221,427","123,557",Jul 08 04:50 PM
Silverman Josh,President & CEO,2022-07-06,Sale,86.66,"20,850","1,806,887","102,707",Jul 08 04:50 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-07-06,Sale,86.85,238,"20,670",712,Jul 06 05:35 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-07-01,Option Exercise,0.0,"1,941",0,"1,941",Jul 06 05:35 PM
Silverman Josh,President & CEO,2022-06-22,Option Exercise,10.62,"20,850","221,427","123,557",Jun 24 04:26 PM
Silverman Josh,President & CEO,2022-06-22,Sale,74.14,"20,850","1,545,768","102,707",Jun 24 04:26 PM
Blow Marla J,Director,2022-06-15,Option Exercise,0.0,296,0,296,Jun 17 04:03 PM
BALLARD ANDY,Director,2022-06-15,Option Exercise,0.0,466,0,466,Jun 17 04:02 PM
WILSON FREDERICK R,Director,2022-06-15,Option Exercise,0.0,"1,329",0,"518,829",Jun 17 04:00 PM
BRIGGS GARY S,Director,2022-06-15,Option Exercise,0.0,932,0,"8,577",Jun 17 04:04 PM
BURNS M MICHELE,Director,2022-06-15,Option Exercise,0.0,939,0,"15,574",Jun 17 04:06 PM
REIFF MELISSA,Director,2022-06-15,Option Exercise,0.0,942,0,"4,097",Jun 17 04:08 PM
KLEIN JONATHAN D,Director,2022-06-15,Option Exercise,0.0,914,0,"39,555",Jun 17 04:07 PM
Smyth Margaret Mary,Director,2022-06-15,Option Exercise,0.0,974,0,"5,100",Jun 17 04:10 PM
Silverman Josh,President & CEO,2022-06-08,Option Exercise,10.62,"20,850","221,427","123,557",Jun 10 04:14 PM
Silverman Josh,President & CEO,2022-06-08,Sale,85.65,"20,850","1,785,864","102,707",Jun 10 04:14 PM
Silverman Josh,President & CEO,2022-05-25,Option Exercise,10.62,"20,850","221,427","123,557",May 26 05:33 PM
Silverman Josh,President & CEO,2022-05-25,Sale,72.45,"20,850","1,510,514","102,707",May 26 05:33 PM
Silverman Josh,President & CEO,2022-05-11,Option Exercise,10.62,"20,850","221,427","123,557",May 13 04:17 PM
Silverman Josh,President & CEO,2022-05-11,Sale,81.34,"20,850","1,695,883","102,707",May 13 04:17 PM
Silverman Josh,President & CEO,2022-04-27,Option Exercise,10.62,"20,850","221,427","123,557",Apr 29 04:26 PM
Silverman Josh,President & CEO,2022-04-27,Sale,98.18,"20,850","2,047,124","102,707",Apr 29 04:26 PM
Silverman Josh,President & CEO,2022-04-13,Option Exercise,10.62,"20,850","221,427","123,557",Apr 15 04:18 PM
Silverman Josh,President & CEO,2022-04-13,Sale,116.54,"20,850","2,429,945","102,707",Apr 15 04:18 PM
Buckley Merilee,Chief Accounting Officer,2022-04-05,Sale,132.54,655,"86,815",171,Apr 05 05:41 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-04-05,Sale,132.6,"2,323","308,019",0,Apr 05 06:16 PM
Buckley Merilee,Chief Accounting Officer,2022-04-01,Option Exercise,0.0,"1,180",0,"1,252",Apr 05 05:41 PM
Fisher Michael T,Chief Technology Officer,2022-04-01,Option Exercise,0.0,"9,365",0,"13,723",Apr 05 05:40 PM
Glaser Rachel C,Chief Financial Officer,2022-04-01,Option Exercise,0.0,"12,831",0,"49,806",Apr 05 05:39 PM
Silverman Josh,President & CEO,2022-04-01,Option Exercise,0.0,"3,101",0,"104,422",Apr 05 05:38 PM
PATEL GOYAL KRUTI,Chief Product Officer,2022-04-01,Option Exercise,0.0,"11,527",0,"31,046",Apr 05 05:36 PM
Simeone Jill,Chief Legal Officer,2022-04-01,Option Exercise,0.0,"9,474",0,"20,340",Apr 05 05:37 PM
MOSKOWITZ RAINA,Chief Operating Officer,2022-04-01,Option Exercise,0.0,"7,891",0,"22,186",Apr 05 05:42 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-04-01,Option Exercise,0.0,"10,896",0,"8,470",Apr 05 06:16 PM
