Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Wall Daniel R,"President, Global Products",2022-05-06,Option Exercise,0.0,"2,303",0,"46,507",May 10 01:18 PM
Rostan Richard H,President - Global Geographies,2022-05-06,Option Exercise,0.0,"2,039",0,"80,042",May 10 01:14 PM
POWELL BRADLEY S,Senior VP - CFO,2022-05-06,Option Exercise,0.0,"2,303",0,"17,861",May 10 01:09 PM
Musser Jeffrey S,President and CEO,2022-05-06,Option Exercise,0.0,"5,699",0,"118,499",May 10 01:04 PM
McClincy Christopher J.,Senior VP - CIO,2022-05-06,Option Exercise,0.0,"1,022",0,"15,404",May 10 01:01 PM
Dickerman Jeffrey F,Senior VP/Gen Counsel/Corp Sec,2022-05-06,Option Exercise,0.0,234,0,"2,632",May 10 12:57 PM
Clark Benjamin G.,SVP - Chief Strategy Officer,2022-05-06,Option Exercise,0.0,"1,022",0,"16,387",May 10 12:54 PM
ALGER EUGENE K,President Global Services,2022-05-06,Option Exercise,0.0,"2,303",0,"33,015",May 10 12:50 PM
Wall Daniel R,"President, Global Products",2022-05-05,Option Exercise,0.0,"2,272",0,"45,045",May 09 12:24 PM
Rostan Richard H,President - Global Geographies,2022-05-05,Option Exercise,0.0,"2,011",0,"78,748",May 09 12:21 PM
POWELL BRADLEY S,Senior VP - CFO,2022-05-05,Option Exercise,0.0,"2,272",0,"16,399",May 09 12:19 PM
Musser Jeffrey S,President and CEO,2022-05-05,Option Exercise,0.0,"5,621",0,"114,880",May 09 12:17 PM
McClincy Christopher J.,Senior VP - CIO,2022-05-05,Option Exercise,0.0,"1,008",0,"14,779",May 09 12:11 PM
Dickerman Jeffrey F,Senior VP/Gen Counsel/Corp Sec,2022-05-05,Option Exercise,0.0,"1,008",0,"2,795",May 09 12:09 PM
Clark Benjamin G.,SVP - Chief Strategy Officer,2022-05-05,Option Exercise,0.0,"1,008",0,"15,762",May 09 12:05 PM
ALGER EUGENE K,President Global Services,2022-05-05,Option Exercise,0.0,"2,272",0,"31,553",May 09 12:02 PM
Wall Daniel R,"President, Global Products",2022-05-04,Option Exercise,0.0,"1,729",0,"43,413",May 06 04:56 PM
Rostan Richard H,President - Global Geographies,2022-05-04,Option Exercise,0.0,"1,530",0,"77,304",May 06 04:52 PM
POWELL BRADLEY S,Senior VP - CFO,2022-05-04,Option Exercise,0.0,"1,729",0,"14,767",May 06 04:49 PM
Musser Jeffrey S,President and CEO,2022-05-04,Option Exercise,0.0,"4,279",0,"110,843",May 06 04:46 PM
McClincy Christopher J.,Senior VP - CIO,2022-05-04,Option Exercise,0.0,766,0,"14,073",May 06 04:41 PM
Dickerman Jeffrey F,Senior VP/Gen Counsel/Corp Sec,2022-05-04,Option Exercise,0.0,766,0,"2,089",May 06 04:37 PM
Clark Benjamin G.,SVP - Chief Strategy Officer,2022-05-04,Option Exercise,0.0,766,0,"15,056",May 06 04:34 PM
ALGER EUGENE K,President Global Services,2022-05-04,Option Exercise,0.0,"1,729",0,"29,921",May 06 04:26 PM
Musser Jeffrey S,President and CEO,2022-03-14,Option Exercise,40.74,"5,000","203,700","106,564",Mar 15 04:39 PM
ALGER EUGENE K,President Global Services,2021-12-08,Sale,128.5,"11,500","1,477,784","7,157",Dec 09 04:10 PM
POWELL BRADLEY S,Senior VP CFO,2021-11-22,Sale,131.62,"13,780","1,813,655","4,731",Nov 24 02:29 PM
Clark Benjamin G.,SVP - Chief Strategy Officer,2021-11-16,Sale,130.69,"7,602","993,467","10,644",Nov 17 04:57 PM
Wright Robert R,Director,2021-11-05,Sale,127.06,"3,420","434,546","4,500",Nov 08 04:38 PM
Dickerman Jeffrey F,Senior VP/Gen Counsel/Corp Sec,2021-09-13,Sale,127.05,276,"35,066","1,323",Sep 14 12:46 PM
Dickerman Jeffrey F,Senior VP/Gen Counsel/Corp Sec,2021-09-10,Sale,126.11,340,"42,877","1,599",Sep 14 12:46 PM
McClincy Christopher J.,Senior VP - CIO,2021-08-30,Sale,126.03,"8,200","1,033,446","9,661",Sep 01 02:54 PM
