Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Snow Frederick Philip,Chief Executive Officer,2022-08-01,Option Exercise,164.90,"2,500","412,250","6,488",Aug 02 04:13 PM
Snow Frederick Philip,Chief Executive Officer,2022-08-01,Sale,424.92,"2,500","1,062,300","3,988",Aug 02 04:13 PM
Reeve Jonathan,"EVP, Head of CTS",2022-07-08,Option Exercise,269.43,335,"90,259",446,Jul 11 04:11 PM
Reeve Jonathan,"EVP, Head of CTS",2022-07-08,Sale,401.55,335,"134,519",111,Jul 11 04:11 PM
Snow Frederick Philip,Chief Executive Officer,2022-07-01,Option Exercise,164.9,"2,500","412,250","6,488",Jul 01 04:08 PM
Snow Frederick Philip,Chief Executive Officer,2022-07-01,Sale,384.54,"2,500","961,350","3,988",Jul 01 04:08 PM
Jordan Sheila B,Director,2022-06-28,Option Exercise,207.88,"2,572","534,667","2,749",Jun 29 05:32 PM
Jordan Sheila B,Director,2022-06-28,Sale,391.15,"2,572","1,006,038",177,Jun 29 05:32 PM
ZIMMEL JOSEPH,Director,2022-06-24,Sale,390.62,"1,000","390,620","1,542",Jun 27 04:16 PM
Snow Frederick Philip,Chief Executive Officer,2022-06-01,Option Exercise,164.9,"2,500","412,250","6,488",Jun 01 05:45 PM
Snow Frederick Philip,Chief Executive Officer,2022-06-01,Sale,370.95,"2,500","927,375","3,988",Jun 01 05:45 PM
Snow Frederick Philip,Chief Executive Officer,2022-05-02,Option Exercise,164.9,"2,500","412,250","6,488",May 02 04:15 PM
Snow Frederick Philip,Chief Executive Officer,2022-05-02,Sale,404.37,"2,500","1,010,925","3,988",May 02 04:15 PM
ABRAMS ROBIN ANN,Director,2022-04-26,Sale,418.98,"1,767","740,338","4,531",Apr 27 04:11 PM
ZIMMEL JOSEPH,Director,2022-04-08,Option Exercise,207.88,"2,572","534,667","3,749",Apr 08 04:22 PM
ZIMMEL JOSEPH,Director,2022-04-08,Sale,443.11,"1,207","534,829","2,542",Apr 08 04:22 PM
Fernandez Gene D.,Chief Tech & Content Officer,2022-04-07,Option Exercise,199.73,"16,517","3,298,919","16,517",Apr 08 04:37 PM
Fernandez Gene D.,Chief Tech & Content Officer,2022-04-07,Sale,442.99,"16,517","7,316,845",0,Apr 08 04:37 PM
SIEGEL LAURIE,Director,2022-04-06,Option Exercise,170.24,"1,286","218,929","1,634",Apr 06 04:18 PM
SIEGEL LAURIE,Director,2022-04-06,Sale,440.0,"1,286","565,840",348,Apr 06 04:18 PM
ZIMMEL JOSEPH,Director,2022-04-06,Sale,444.72,976,"434,047","1,177",Apr 07 05:18 PM
Snow Frederick Philip,Chief Executive Officer,2022-04-01,Option Exercise,164.9,"2,500","412,250","6,488",Apr 01 04:09 PM
Snow Frederick Philip,Chief Executive Officer,2022-04-01,Sale,435.37,"2,500","1,088,425","3,988",Apr 01 04:09 PM
Snow Frederick Philip,Chief Executive Officer,2022-03-01,Option Exercise,164.9,"2,500","412,250","6,488",Mar 01 04:08 PM
Snow Frederick Philip,Chief Executive Officer,2022-03-01,Sale,406.07,"2,500","1,015,175","3,988",Mar 01 04:08 PM
Snow Frederick Philip,Chief Executive Officer,2022-02-01,Option Exercise,164.9,"2,500","412,250","6,488",Feb 01 04:51 PM
Snow Frederick Philip,Chief Executive Officer,2022-02-01,Sale,422.02,"2,500","1,055,050","3,988",Feb 01 04:51 PM
ABRAMS ROBIN ANN,Director,2022-01-07,Option Exercise,138.48,"2,307","319,473","6,050",Jan 11 04:09 PM
MCGONIGLE JAMES J,Director,2022-01-03,Option Exercise,157.72,"6,631","1,045,838","11,397",Jan 05 04:10 PM
Snow Frederick Philip,Chief Executive Officer,2022-01-03,Option Exercise,164.9,"2,500","412,250","6,488",Jan 05 04:04 PM
Snow Frederick Philip,Chief Executive Officer,2022-01-03,Sale,483.87,"2,500","1,209,675","3,988",Jan 05 04:04 PM
MCGONIGLE JAMES J,Director,2022-01-03,Sale,483.87,"6,631","3,208,542","4,766",Jan 05 04:10 PM
Snow Frederick Philip,Chief Executive Officer,2021-12-01,Option Exercise,164.9,"2,500","412,250","6,488",Dec 02 04:47 PM
Snow Frederick Philip,Chief Executive Officer,2021-12-01,Sale,474.52,"2,500","1,186,300","3,988",Dec 02 04:47 PM
Reeve Jonathan,"EVP, Head of CTS",2021-11-10,Option Exercise,316.71,735,"232,782",846,Nov 12 07:58 AM
Reeve Jonathan,"EVP, Head of CTS",2021-11-10,Sale,451.24,735,"331,661",111,Nov 12 07:58 AM
Snow Frederick Philip,Chief Executive Officer,2021-11-01,Option Exercise,164.9,"2,500","412,250","6,488",Nov 03 06:39 PM
Snow Frederick Philip,Chief Executive Officer,2021-11-01,Sale,442.91,"2,500","1,107,275","3,988",Nov 03 06:39 PM
Skoko Goran,"EVP, Research & Advisory",2021-10-15,Option Exercise,131.31,982,"128,946","4,455",Oct 19 05:05 PM
Skoko Goran,"EVP, Research & Advisory",2021-10-15,Sale,415.46,982,"407,982","3,473",Oct 19 05:05 PM
Snow Frederick Philip,Chief Executive Officer,2021-10-01,Option Exercise,164.9,"2,500","412,250","6,488",Oct 01 05:01 PM
Robie Robert J.,"EVP, Head of Trading&Analytics",2021-10-01,Option Exercise,184.11,"3,049","561,347","3,647",Oct 05 05:04 PM
Robie Robert J.,"EVP, Head of Trading&Analytics",2021-10-01,Sale,392.45,"3,049","1,196,584",598,Oct 05 05:04 PM
Snow Frederick Philip,Chief Executive Officer,2021-10-01,Sale,397.59,"2,500","993,975","3,988",Oct 01 05:01 PM
ZIMMEL JOSEPH,Director,2021-09-30,Sale,398.78,"2,024","807,131","1,976",Oct 01 05:00 PM
Snow Frederick Philip,Chief Executive Officer,2021-09-01,Option Exercise,164.9,"2,500","412,250","6,397",Sep 01 05:09 PM
Snow Frederick Philip,Chief Executive Officer,2021-09-01,Sale,380.41,"2,500","951,025","3,897",Sep 01 05:09 PM
Stern Rachel Rebecca,"EVP, Chief Legal Officer",2021-08-12,Option Exercise,141.35,"6,809","962,464","6,809",Aug 13 05:15 PM
Stern Rachel Rebecca,"EVP, Chief Legal Officer",2021-08-12,Sale,363.0,"6,809","2,471,667",0,Aug 13 05:15 PM
SIEGEL LAURIE,Director,2021-08-10,Option Exercise,170.24,"1,800","306,432","1,900",Aug 11 05:06 PM
SIEGEL LAURIE,Director,2021-08-10,Sale,362.1,"1,800","651,780",100,Aug 11 05:06 PM
ZIMMEL JOSEPH,Director,2021-08-10,Sale,364.13,"4,554","1,658,248",0,Aug 10 05:13 PM
Jordan Sheila B,Director,2021-08-05,Option Exercise,197.75,"1,935","382,646","1,935",Aug 06 05:17 PM
Jordan Sheila B,Director,2021-08-05,Sale,357.13,"1,935","691,047",0,Aug 06 05:17 PM
Snow Frederick Philip,Chief Executive Officer,2021-08-02,Option Exercise,164.9,"2,500","412,250","6,397",Aug 03 05:07 PM
Snow Frederick Philip,Chief Executive Officer,2021-08-02,Sale,356.72,"2,500","891,800","3,897",Aug 03 05:07 PM
ZIMMEL JOSEPH,Director,2021-07-16,Option Exercise,163.6,"11,776","1,926,525","14,180",Jul 20 05:07 PM
ZIMMEL JOSEPH,Director,2021-07-16,Sale,342.56,"5,626","1,927,270","8,554",Jul 20 05:07 PM
Frank Malcolm,Director,2021-07-13,Option Exercise,170.24,"3,000","510,720","3,000",Jul 15 05:12 PM
Frank Malcolm,Director,2021-07-13,Sale,335.17,"3,000","1,005,510",0,Jul 15 05:12 PM
