Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
McLaughlin Charles E,SVP - Chief Financial Officer,2022-07-25,Option Exercise,20.73,"21,176","438,978","114,873",Jul 26 06:18 PM
SPOON ALAN G,Director,2022-05-02,Buy,58.25,"17,400","1,013,493","98,861",May 03 07:56 PM
Walker Stacey A.,SVP - Human Resources,2022-02-28,Sale,64.43,"1,080","69,584","41,170",Mar 02 07:36 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-28,Sale,64.43,118,"7,603","2,601",Mar 02 07:35 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-28,Sale,64.43,207,"13,337","17,605",Mar 02 07:35 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-25,Sale,64.13,139,"8,914","1,616",Feb 28 08:40 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-25,Sale,64.13,697,"44,699","12,549",Feb 28 08:40 PM
Walker Stacey A.,SVP - Human Resources,2022-02-24,Sale,61.42,"1,788","109,819","30,400",Feb 28 08:41 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-24,Sale,61.42,130,"7,985","1,800",Feb 28 08:40 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-24,Sale,61.42,201,"12,345","13,471",Feb 28 08:40 PM
Walker Stacey A.,SVP - Human Resources,2022-02-23,Sale,63.87,"1,297","82,839","32,442",Feb 24 08:35 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-23,Sale,63.87,124,"7,920","1,970",Feb 24 08:32 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-23,Sale,63.87,183,"11,688","13,737",Feb 24 08:32 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-22,Sale,63.03,120,"7,564","2,094",Feb 23 09:20 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-22,Sale,63.03,594,"37,440","13,920",Feb 23 09:20 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-09,Option Exercise,20.73,"2,736","56,717","5,026",Feb 11 04:46 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-09,Option Exercise,20.73,"2,736","56,717","17,498",Feb 11 04:46 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-09,Sale,66.38,"2,736","181,616","2,290",Feb 11 04:46 PM
Mulhall Christopher M.,VP - Chief Accounting Officer,2022-02-09,Sale,66.38,"2,736","181,616","14,762",Feb 11 04:46 PM
Hulit Barbara B.,President & CEO of AHS,2021-11-30,Option Exercise,28.85,"16,799","484,631","105,092",Dec 01 04:13 PM
Hulit Barbara B.,President & CEO of AHS,2021-11-30,Sale,76.18,"16,799","1,279,765","88,293",Dec 01 04:13 PM
Schwarz Jonathan L,SVP - Corporate Development,2021-11-16,Option Exercise,21.7,"15,457","335,417","48,577",Nov 17 05:03 PM
Schwarz Jonathan L,SVP - Corporate Development,2021-11-16,Sale,78.72,"15,457","1,216,760","33,120",Nov 17 05:03 PM
LICO JAMES A,President and CEO,2021-11-15,Option Exercise,24.75,"152,851","3,783,062","553,437",Nov 17 05:02 PM
LICO JAMES A,President and CEO,2021-11-15,Sale,78.14,"152,851","11,943,319","400,586",Nov 17 05:02 PM
McLaughlin Charles E,SVP - Chief Financial Officer,2021-11-04,Option Exercise,19.78,"7,863","155,530","77,954",Nov 05 04:34 PM
Underwood Peter C,SVP - General Counsel,2021-11-03,Sale,76.99,"6,575","506,209","36,314",Nov 05 04:40 PM
Underwood Peter C,SVP - General Counsel,2021-08-06,Sale,74.27,"3,522","261,579","42,889",Aug 09 04:23 PM
