Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Gilliland Marguerite Amy,Senior Vice President,2022-04-29,Option Exercise,135.85,"38,330","5,207,130","84,969",May 03 03:50 PM
Gallopoulos Gregory S,"Senior VP, Gen. Counsel, Sec.",2022-04-29,Sale,237.93,"10,644","2,532,527","124,605",May 03 03:54 PM
Deep Danny,Vice President,2022-03-08,Option Exercise,136.78,"5,180","708,520","19,380",Mar 10 02:32 PM
Smith Robert Edward,Executive Vice President,2022-03-04,Option Exercise,136.78,"12,860","1,758,991","49,025",Mar 08 03:52 PM
Moss William A,Vice President and Controller,2022-03-03,Option Exercise,136.78,"3,060","418,547","14,636",Mar 07 04:32 PM
Aiken Jason W,Senior Vice President and CFO,2022-03-03,Option Exercise,136.78,"16,105","2,202,842","121,999",Mar 07 04:28 PM
Moss William A,Vice President and Controller,2022-03-03,Sale,237.17,"2,391","567,073","12,245",Mar 07 04:32 PM
Kuryea Kimberly A,Senior Vice President,2022-03-02,Option Exercise,136.78,"12,630","1,727,531","84,395",Mar 03 04:12 PM
Gallopoulos Gregory S,"Senior VP, Gen. Counsel, Sec.",2022-03-01,Option Exercise,135.85,"49,170","6,679,744","172,331",Mar 03 04:02 PM
NOVAKOVIC PHEBE N,Chairman and CEO,2022-03-01,Option Exercise,136.78,"248,830","34,034,967","963,508",Mar 03 04:18 PM
Roualet Mark C.,Executive Vice President,2022-02-28,Option Exercise,136.78,"23,600","3,228,008","152,290",Mar 02 03:14 PM
Moss William A,Vice President and Controller,2021-12-17,Option Exercise,136.78,"2,500","341,950","12,071",Dec 21 01:19 PM
Moss William A,Vice President and Controller,2021-12-17,Sale,203.7,"2,051","417,789","10,020",Dec 21 01:19 PM
Aiken Jason W,Senior Vice President and CFO,2021-10-29,Option Exercise,136.78,"16,725","2,287,646","113,172",Nov 02 04:34 PM
Gilliland Marguerite Amy,Senior Vice President,2021-09-01,Option Exercise,136.78,"28,840","3,944,735","68,251",Sep 03 12:48 PM
Gallopoulos Gregory S,"Senior VP, Gen. Counsel, Sec.",2021-07-30,Option Exercise,136.78,"38,300","5,238,674","156,639",Aug 03 04:06 PM
