Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
HENRIE MICHAEL SHANE,SVP & Chief Accounting Officer,2022-07-29,Option Exercise,77.26,800,"61,808",800,Aug 01 04:05 PM
HENRIE MICHAEL SHANE,SVP & Chief Accounting Officer,2022-07-29,Sale,100.64,800,"80,516",0,Aug 01 04:05 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2022-05-11,Sale,98.84,"1,000","98,840","8,372",May 11 12:51 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2022-04-28,Sale,100.05,"1,000","100,050","9,372",Apr 28 06:22 PM
ADAIR CHARLES E,Director,2022-04-27,Option Exercise,56.32,"3,000","168,960","10,699",Apr 28 06:08 PM
ADAIR CHARLES E,Director,2022-04-27,Sale,101.6,"3,000","304,790","7,699",Apr 28 06:08 PM
MITCHELL ROBERT BRIAN,"EVP, General Counsel and CRO",2022-04-22,Option Exercise,77.26,"38,000","2,935,880","38,000",Apr 25 03:48 PM
Moore Christopher Todd,"Corp.SVP, Assoc.Counsel & Sec",2022-04-22,Option Exercise,50.69,882,"44,712",882,Apr 25 04:26 PM
MITCHELL ROBERT BRIAN,"EVP, General Counsel and CRO",2022-04-22,Sale,104.22,"38,000","3,960,193",0,Apr 25 03:48 PM
Moore Christopher Todd,"Corp.SVP, Assoc.Counsel & Sec",2022-04-22,Sale,104.22,882,"91,921",0,Apr 25 04:26 PM
HENRIE MICHAEL SHANE,SVP & Chief Accounting Officer,2022-03-29,Option Exercise,77.26,"1,500","115,890","1,500",Mar 30 05:52 PM
HENRIE MICHAEL SHANE,SVP & Chief Accounting Officer,2022-03-29,Sale,102.94,"1,500","154,409",0,Mar 30 05:52 PM
MITCHELL ROBERT BRIAN,"EVP, General Counsel and CRO",2022-03-09,Sale,97.95,"3,000","293,836","51,565",Mar 09 05:07 PM
INGRAM ROBERT W,Director,2022-02-22,Sale,104.84,"4,000","419,360","28,602",Feb 22 07:28 PM
Greer Steven Kelly,Exec. Officer Principal Sub,2022-02-11,Option Exercise,50.64,"17,000","860,880","30,970",Feb 15 05:49 PM
Greer Steven Kelly,Exec. Officer Principal Sub,2022-02-11,Sale,106.53,"17,000","1,810,928","13,970",Feb 15 05:49 PM
ADAIR CHARLES E,Director,2022-02-10,Option Exercise,56.32,"6,231","350,930","13,930",Feb 11 05:12 PM
ADAIR CHARLES E,Director,2022-02-10,Sale,107.33,"6,231","668,762","7,699",Feb 11 05:12 PM
Greer Steven Kelly,Exec. Officer of Principal Sub,2022-02-04,Sale,104.74,"6,226","652,112","13,970",Feb 15 05:43 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-12-30,Sale,94.52,700,"66,164","8,000",Jan 03 12:31 PM
INGRAM ROBERT W,Director,2021-12-23,Sale,92.65,219,"20,290","30,765",Dec 23 05:14 PM
Haworth Jennifer Allison,EVP & Chief Marketing Officer,2021-12-20,Option Exercise,37.96,"12,000","455,571","12,000",Dec 21 11:26 AM
Haworth Jennifer Allison,EVP & Chief Marketing Officer,2021-12-20,Sale,85.68,"7,300","625,493","4,700",Dec 21 11:26 AM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-12-16,Sale,93.0,"1,400","130,200","8,700",Dec 16 05:29 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-12-06,Sale,91.05,873,"79,487","10,100",Dec 06 03:46 PM
ADAIR CHARLES E,Director,2021-11-17,Option Exercise,54.16,"1,667","90,285","9,366",Nov 17 06:04 PM
ADAIR CHARLES E,Director,2021-11-17,Sale,93.98,"1,667","156,667","7,699",Nov 17 06:04 PM
BUCHAN MELISSA JANE,Director,2021-11-02,Sale,92.08,"1,700","156,532","81,170",Nov 04 12:23 PM
INGRAM ROBERT W,Director,2021-08-12,Sale,97.38,"1,350","131,462","30,932",Aug 12 05:24 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-08-02,Sale,93.39,"6,383","596,089","10,973",Aug 04 06:33 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-07-30,Sale,93.96,617,"57,974","17,356",Aug 04 06:24 PM
