Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
STEVERSON LEWIS A,EVP and CLAO,2022-06-15,Option Exercise,0.0,579,0,"12,028",Jun 16 04:03 PM
Capps Cheryl C,SVP & Chief Supply Chain Off.,2022-06-02,Option Exercise,19.65,"1,793","35,232","100,290",Jun 03 04:10 PM
Capps Cheryl C,SVP & Chief Supply Chain Off.,2022-06-02,Sale,35.67,"8,723","311,176","98,497",Jun 03 04:10 PM
Bell Michael Alan,"Senior VP & GM, Optical Comm.",2022-05-18,Sale,34.42,"2,717","93,508",0,May 20 04:09 PM
France Robert P.,"Senior VP, Human Resources",2022-05-18,Sale,34.41,"2,751","94,650","30,000",May 20 04:10 PM
Bell Michael Alan,"Senior VP & GM, Optical Comm.",2022-05-16,Option Exercise,7.6,"7,974","60,581","4,891",May 18 04:07 PM
Bayne John P JR,"SVP &GM, Mobile Consumer Elec.",2022-05-16,Option Exercise,0.0,"4,891",0,"4,891",May 18 04:05 PM
STEVERSON LEWIS A,EVP and CLAO,2022-05-16,Option Exercise,0.0,"10,501",0,"16,811",May 18 04:35 PM
Zhang John Z,"Senior VP & GM, Display",2022-05-16,Option Exercise,0.0,"5,474",0,"13,195",May 18 04:31 PM
WEEKS WENDELL P,Chairman and CEO,2022-05-16,Option Exercise,0.0,"40,606",0,"76,029",May 18 04:29 PM
Verkleeren Ronald L,"Senior VP & GM, Life Sciences",2022-05-16,Option Exercise,0.0,"3,442",0,"16,505",May 18 04:29 PM
Schlesinger Edward A,Exec. Vice President and CFO,2022-05-16,Option Exercise,0.0,"4,373",0,"57,683",May 18 04:25 PM
Nelson Avery H III,"Senior VP & GM, Automotive",2022-05-16,Option Exercise,0.0,"4,659",0,"14,124",May 18 04:24 PM
Mullins Anne,Senior Vice President & CDIO,2022-05-16,Option Exercise,0.0,"6,405",0,"10,633",May 18 04:24 PM
Musser Eric S,President and COO,2022-05-16,Option Exercise,0.0,"13,826",0,"111,452",May 18 04:22 PM
Morse David L,Exec. VP & Chief Tech. Officer,2022-05-16,Option Exercise,0.0,"10,870",0,"19,462",May 18 04:19 PM
Fang Li,"President & GM, International",2022-05-16,Option Exercise,0.0,"4,533",0,"4,533",May 18 04:17 PM
McRae Lawrence D,Vice Chairman & Corp. Dev. Off,2022-05-16,Option Exercise,0.0,"13,123",0,"152,959",May 18 04:18 PM
France Robert P.,"Senior VP, Human Resources",2022-05-16,Option Exercise,0.0,"5,623",0,"35,623",May 18 04:16 PM
Capps Cheryl C,SVP & Chief Supply Chain Off.,2022-05-16,Option Exercise,0.0,"4,517",0,"107,436",May 18 04:12 PM
Evenson Jeffrey W,Exec. VP & Chief Strategy Off,2022-05-16,Option Exercise,0.0,"8,372",0,"57,761",May 18 04:12 PM
Curran Martin J,Exec. VP & Innovation Officer,2022-05-16,Option Exercise,0.0,"9,225",0,"9,225",May 18 04:11 PM
Becker Stefan,Senior VP & Controller,2022-05-16,Option Exercise,0.0,"4,137",0,"12,132",May 18 04:06 PM
Bell Michael Alan,"Senior VP & GM, Optical Comm.",2022-05-16,Sale,35.18,"3,083","108,473",0,May 18 04:07 PM
Tripeny R Tony,Retired Exec. Vice President,2022-05-02,Option Exercise,35.96,"9,821","353,163","18,230",May 04 04:44 PM
France Robert P.,"Senior VP, Human Resources",2022-04-20,Sale,35.03,"2,190","76,706","30,000",Apr 21 04:16 PM
Bell Michael Alan,"Senior VP & GM, Optical Comm.",2022-04-20,Sale,35.03,"3,355","117,521",0,Apr 21 04:15 PM
Zhang John Z,"Senior VP & GM, Display",2022-04-18,Option Exercise,0.0,"6,265",0,"10,920",Apr 20 04:26 PM
WEEKS WENDELL P,Chairman and CEO,2022-04-18,Option Exercise,0.0,"69,052",0,"69,052",Apr 20 04:25 PM
Tripeny R Tony,Executive Vice President,2022-04-18,Option Exercise,0.0,"16,393",0,"16,393",Apr 20 04:23 PM
Verkleeren Ronald L,"Senior VP & GM, Life Sciences",2022-04-18,Option Exercise,0.0,"4,054",0,"15,133",Apr 20 04:23 PM
STEVERSON LEWIS A,EVP and CLAO,2022-04-18,Option Exercise,0.0,"12,301",0,"12,301",Apr 20 04:21 PM
Nelson Avery H III,"Senior VP & GM, Automotive",2022-04-18,Option Exercise,0.0,"5,896",0,"12,475",Apr 20 04:20 PM
Schlesinger Edward A,Exec. Vice President and CFO,2022-04-18,Option Exercise,0.0,"4,422",0,"55,105",Apr 20 04:21 PM
Morse David L,Exec. VP & Chief Tech. Officer,2022-04-18,Option Exercise,0.0,"16,749",0,"16,749",Apr 20 04:18 PM
Musser Eric S,President and COO,2022-04-18,Option Exercise,0.0,"16,393",0,"105,610",Apr 20 04:19 PM
McRae Lawrence D,Vice Chairman & Corp. Dev. Off,2022-04-18,Option Exercise,0.0,"17,816",0,"148,513",Apr 20 04:17 PM
France Robert P.,"Senior VP, Human Resources",2022-04-18,Option Exercise,0.0,"4,270",0,"34,270",Apr 20 04:16 PM
Curran Martin J,Exec. VP & Innovation Officer,2022-04-18,Option Exercise,0.0,"13,546",0,"13,546",Apr 20 04:14 PM
Evenson Jeffrey W,Exec. VP & Chief Strategy Off,2022-04-18,Option Exercise,0.0,"10,745",0,"54,622",Apr 20 04:15 PM
Capps Cheryl C,SVP & Chief Supply Chain Off.,2022-04-18,Option Exercise,0.0,"5,042",0,"105,042",Apr 20 04:13 PM
Bell Michael Alan,"Senior VP & GM, Optical Comm.",2022-04-18,Option Exercise,0.0,"5,795",0,"5,795",Apr 20 04:12 PM
Becker Stefan,Senior VP & Controller,2022-04-18,Option Exercise,0.0,"4,422",0,"9,792",Apr 20 04:11 PM
Bayne John P JR,"SVP &GM, Mobile Consumer Elec.",2022-04-18,Option Exercise,0.0,"6,049",0,"13,473",Apr 20 04:10 PM
Bell Michael Alan,"Senior VP & GM, Optical Comm.",2022-04-01,Option Exercise,33.92,"12,529","424,984","12,529",Apr 05 04:06 PM
Bell Michael Alan,"Senior VP & GM, Optical Comm.",2022-04-01,Sale,36.24,"12,529","454,099",0,Apr 05 04:06 PM
Morse David L,Exec. VP & Chief Tech. Officer,2022-02-18,Option Exercise,19.65,37,727,47,Feb 22 04:04 PM
Morse David L,Exec. VP & Chief Tech. Officer,2022-02-18,Sale,42.0,47,"1,974",0,Feb 22 04:04 PM
WEEKS WENDELL P,Chairman and CEO,2022-02-15,Option Exercise,21.5,"70,567","1,516,848","70,567",Feb 16 04:12 PM
WEEKS WENDELL P,Chairman and CEO,2022-02-15,Sale,41.84,"70,567","2,952,876",0,Feb 16 04:12 PM
WEEKS WENDELL P,Chairman and CEO,2022-02-14,Option Exercise,21.43,"104,229","2,233,156","104,229",Feb 16 04:12 PM
WEEKS WENDELL P,Chairman and CEO,2022-02-14,Sale,41.52,"104,229","4,327,953",0,Feb 16 04:12 PM
Zhang John Z,"Senior VP & GM, Display",2022-02-04,Option Exercise,27.03,"13,320","360,040","17,975",Feb 04 04:24 PM
Zhang John Z,"Senior VP & GM, Display",2022-02-04,Sale,42.01,"13,320","559,593","4,655",Feb 04 04:24 PM
