Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
ARNOLD FRANCES,Director,2022-07-29,Sale,116.44,"1,230","143,219","9,230",Jul 29 05:23 PM
MATHER ANN,Director,2022-07-25,Sale,108.94,300,"32,682","11,360",Jul 26 08:21 PM
HENNESSY JOHN L,Director,2022-07-11,Sale,2337.13,75,"175,285",233,Jul 11 07:25 PM
Schindler Philipp,"SVP, Chief Business Officer",2022-07-05,Sale,2182.62,"3,834","8,368,180","12,676",Jul 06 01:06 PM
RAGHAVAN PRABHAKAR,Senior Vice President,2022-07-01,Sale,2166.74,"1,109","2,402,915","1,608",Jul 01 07:52 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2022-07-01,Sale,2166.74,42,"91,003","1,192",Jul 01 07:02 PM
MATHER ANN,Director,2022-06-27,Sale,2383.32,20,"47,666",565,Jun 29 08:11 PM
HENNESSY JOHN L,Director,2022-06-09,Sale,2348.39,33,"77,497",78,Jun 13 07:05 PM
HENNESSY JOHN L,Director,2022-06-09,Sale,2346.81,42,"98,566","1,927",Jun 13 07:00 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2022-06-01,Sale,2298.63,42,"96,542","1,181",Jun 02 07:02 PM
MATHER ANN,Director,2022-05-25,Sale,2102.84,21,"44,160",565,May 27 06:10 PM
"GV 2021 GP, L.L.C.",Member of 10% Group,2022-05-24,Buy,33.72,"13,528","456,149","593,402",May 25 06:14 PM
"GV 2021 GP, L.L.C.",Member of 10% Group,2022-05-11,Buy,34.71,"76,136","2,642,642","555,831",May 12 06:44 PM
"GV 2021 GP, L.L.C.",Member of 10% Group,2022-05-10,Buy,34.65,"255,647","8,858,075","479,695",May 12 06:44 PM
HENNESSY JOHN L,Director,2022-05-09,Sale,2280.98,31,"70,710",265,May 10 08:36 PM
HENNESSY JOHN L,Director,2022-05-09,Sale,2270.9,44,"99,919","1,969",May 10 08:30 PM
RAGHAVAN PRABHAKAR,Senior Vice President,2022-05-03,Sale,2335.3,490,"1,144,297",497,May 04 05:46 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2022-05-03,Sale,2335.3,42,"98,083","1,170",May 04 05:28 PM
Page Lawrence,Director,2022-04-19,Sale,2611.38,"1,956","5,107,853","19,513,614",Apr 21 08:49 PM
Page Lawrence,Director,2022-04-19,Sale,2590.79,"11,932","30,913,302","19,515,570",Apr 21 08:42 PM
Page Lawrence,Director,2022-04-19,Sale,2602.65,758,"1,972,808",0,Apr 21 08:41 PM
Page Lawrence,Director,2022-04-19,Sale,2582.86,"13,130","33,912,961",758,Apr 21 08:40 PM
Page Lawrence,Director,2022-04-18,Sale,2574.16,100,"257,416","19,527,502",Apr 20 06:01 PM
Page Lawrence,Director,2022-04-18,Sale,2553.5,"13,789","35,210,245","19,527,602",Apr 20 06:00 PM
Page Lawrence,Director,2022-04-18,Sale,2545.46,"13,889","35,353,875",0,Apr 20 05:56 PM
Page Lawrence,Director,2022-04-14,Sale,2583.5,"1,700","4,391,951",0,Apr 18 09:00 PM
Page Lawrence,Director,2022-04-14,Sale,2552.04,"12,189","31,106,850","1,700",Apr 18 08:57 PM
Page Lawrence,Director,2022-04-14,Sale,2593.2,"1,200","3,111,839","19,541,391",Apr 18 08:53 PM
Page Lawrence,Director,2022-04-14,Sale,2560.86,"12,689","32,494,785","19,542,591",Apr 18 08:43 PM
Sergey Brin,Director,2022-04-13,Sale,2600.32,"2,710","7,046,878",0,Apr 15 09:39 PM
Sergey Brin,Director,2022-04-13,Sale,2578.54,"11,178","28,822,950","2,710",Apr 15 09:37 PM
Sergey Brin,Director,2022-04-13,Sale,2609.21,"1,276","3,329,356","18,569,765",Apr 15 09:36 PM
Sergey Brin,Director,2022-04-13,Sale,2590.52,"12,612","32,671,681","18,571,041",Apr 15 09:35 PM
Sergey Brin,Director,2022-04-12,Sale,2601.9,"6,261","16,290,519",0,Apr 14 06:27 PM
Sergey Brin,Director,2022-04-12,Sale,2560.91,"7,628","19,534,643","6,261",Apr 14 06:23 PM
Sergey Brin,Director,2022-04-12,Sale,2623.06,"5,100","13,377,609","18,583,653",Apr 14 04:52 PM
Sergey Brin,Director,2022-04-12,Sale,2581.38,"8,789","22,687,792","18,588,753",Apr 14 04:48 PM
Sergey Brin,Director,2022-04-11,Sale,2632.28,"2,639","6,946,576",0,Apr 12 09:52 PM
Sergey Brin,Director,2022-04-11,Sale,2648.31,"2,300","6,091,104","18,597,542",Apr 12 09:49 PM
Sergey Brin,Director,2022-04-11,Sale,2594.59,"11,250","29,189,085","2,639",Apr 12 09:47 PM
Sergey Brin,Director,2022-04-11,Sale,2612.0,"11,589","30,270,520","18,599,842",Apr 12 09:20 PM
"GV 2016 GP, L.L.C.",10% Owner,2022-04-11,Sale,11.16,"544,249","6,074,458",0,Apr 12 06:12 PM
HENNESSY JOHN L,Director,2022-04-11,Sale,2618.42,31,"81,171",296,Apr 13 08:58 PM
HENNESSY JOHN L,Director,2022-04-11,Sale,2574.94,94,"242,044","2,013",Apr 13 08:56 PM
