Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
GOLDMAN SACHS GROUP INC,Director,2022-06-15,Sale,15.97,"79,485","1,269,375","2,269,526",Jun 16 03:56 PM
GOLDMAN SACHS GROUP INC,Director,2022-06-14,Sale,15.3,"86,068","1,316,840","2,240,454",Jun 16 03:56 PM
GOLDMAN SACHS GROUP INC,Director,2022-06-08,Sale,19.03,"19,898","378,659","1,538,574",Jun 10 03:36 PM
GOLDMAN SACHS GROUP INC,Director,2022-06-07,Sale,19.38,"158,554","3,072,777","1,589,264",Jun 08 08:44 PM
GOLDMAN SACHS GROUP INC,Director,2022-06-06,Sale,19.23,"41,300","794,199","1,846,300",Jun 08 08:44 PM
GOLDMAN SACHS GROUP INC,Director,2022-06-03,Sale,19.49,"64,401","1,255,175","1,929,630",Jun 06 07:04 PM
GOLDMAN SACHS GROUP INC,Director,2022-06-02,Sale,20.48,"451,401","9,244,692","1,996,137",Jun 06 07:04 PM
GOLDMAN SACHS GROUP INC,Director,2022-06-01,Sale,19.41,"90,070","1,748,259","1,950,569",Jun 02 08:16 PM
GOLDMAN SACHS GROUP INC,Director,2022-05-31,Sale,19.34,"76,517","1,479,839","1,846,971",Jun 02 08:16 PM
GOLDMAN SACHS GROUP INC,Director,2022-05-27,Sale,19.99,"467,944","9,354,201","1,907,010",May 31 08:02 PM
GOLDMAN SACHS GROUP INC,Director,2022-05-26,Sale,19.39,"437,248","8,478,239","2,731,973",May 31 08:02 PM
GOLDMAN SACHS GROUP INC,10% Owner,2022-05-24,Sale,12.2,"380,000","4,636,000","22,307,055",May 26 09:55 PM
GOLDMAN SACHS GROUP INC,Director,2022-05-23,Sale,19.18,"13,818","265,029","2,910,205",May 24 06:42 PM
GOLDMAN SACHS GROUP INC,Director,2022-05-20,Sale,19.26,"242,472","4,670,011","2,787,207",May 24 06:42 PM
GOLDMAN SACHS GROUP INC,Director,2022-05-19,Sale,19.16,"123,843","2,372,832","2,977,489",May 20 04:43 PM
GOLDMAN SACHS GROUP INC,Director,2022-05-18,Sale,19.11,"18,443","352,446","3,127,592",May 20 04:43 PM
GOLDMAN SACHS GROUP INC,Director,2022-05-17,Sale,19.16,"90,427","1,732,581","3,130,987",May 19 08:46 PM
SOLOMON DAVID M,Chairman of the Board and CEO,2022-04-19,Sale,334.57,"9,768","3,268,080","96,467",Apr 21 04:30 PM
