Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Banks Margaret Katherine,Director,2022-08-01,Option Exercise,0.00,"2,007",0,"20,625",Aug 01 12:18 PM
GERBER MURRY,Director,2022-08-01,Option Exercise,0.00,"3,063",0,"554,974",Aug 01 12:19 PM
Malone Robert A,Director,2022-08-01,Option Exercise,0.00,"3,063",0,"61,781",Aug 01 12:18 PM
Rainey Joe D,"Pres., Eastern Hemisphere",2022-06-08,Sale,42.73,"20,000","854,600","310,014",Jun 10 01:37 PM
Pope Lawrence J,EVP Administration & CHRO,2022-06-01,Sale,40.95,"10,000","409,500","273,342",Jun 02 04:19 PM
Pope Lawrence J,EVP Administration & CHRO,2022-05-26,Sale,39.95,"10,000","399,500","283,342",May 27 12:01 PM
Loeffler Lance,EVP & Chief Financial Officer,2022-04-18,Option Exercise,34.48,"27,912","962,406","163,593",Apr 19 01:22 PM
Loeffler Lance,EVP & Chief Financial Officer,2022-04-18,Sale,42.0,"27,912","1,172,304","135,681",Apr 19 01:22 PM
McKeon Timothy,Senior VP and Treasurer,2022-04-14,Option Exercise,36.31,"4,900","177,919","48,682",Apr 18 10:46 AM
McKeon Timothy,Senior VP and Treasurer,2022-04-14,Sale,41.0,"4,900","200,900","43,782",Apr 18 10:46 AM
Jones Myrtle L,Senior Vice Pres - Tax,2022-04-12,Option Exercise,31.44,"4,965","156,100","70,079",Apr 13 03:07 PM
Miller Jeffrey Allen,"Director, President & CEO",2022-04-12,Sale,40.0,"58,600","2,344,000","850,421",Apr 13 03:16 PM
Rainey Joe D,"Pres., Eastern Hemisphere",2022-04-12,Sale,40.73,"20,000","814,600","351,299",Apr 13 03:12 PM
Jones Myrtle L,Senior Vice Pres - Tax,2022-04-12,Sale,40.0,"4,965","198,600","65,369",Apr 13 03:07 PM
Jones Myrtle L,Senior Vice Pres - Tax,2022-04-08,Option Exercise,31.44,"3,735","117,428","68,849",Apr 12 02:45 PM
Pope Lawrence J,EVP Administration & CHRO,2022-04-08,Option Exercise,33.5,"38,500","1,289,750","352,580",Apr 12 02:49 PM
Richard Mark,President - Western Hemisphere,2022-04-08,Sale,40.0,"7,500","300,000","252,633",Apr 12 02:51 PM
Pope Lawrence J,EVP Administration & CHRO,2022-04-08,Sale,39.95,"48,500","1,937,575","314,080",Apr 12 02:49 PM
Jones Myrtle L,Senior Vice Pres - Tax,2022-04-08,Sale,40.0,"3,735","149,400","65,114",Apr 12 02:45 PM
Rainey Joe D,"Pres., Eastern Hemisphere",2022-03-08,Option Exercise,33.5,"37,933","1,270,756","409,232",Mar 10 09:46 AM
Loeffler Lance,EVP & Chief Financial Officer,2022-03-08,Option Exercise,31.44,"51,100","1,606,584","186,781",Mar 10 09:44 AM
Rainey Joe D,"Pres., Eastern Hemisphere",2022-03-08,Sale,37.49,"37,933","1,422,108","371,299",Mar 10 09:46 AM
Loeffler Lance,EVP & Chief Financial Officer,2022-03-08,Sale,38.0,"51,100","1,941,800","135,681",Mar 10 09:44 AM
Richard Mark,President - Western Hemisphere,2022-03-07,Sale,35.0,"7,500","262,500","259,812",Mar 08 04:49 PM
Carre Eric,"EVP, Global Business Lines",2022-03-07,Sale,34.9,"21,841","762,251","134,990",Mar 08 04:47 PM
Geer Charles Jr.,SVP & Chief Accounting Officer,2022-03-07,Sale,35.0,"3,500","122,500","49,738",Mar 08 04:48 PM
Beckwith Van H.,"EVP, Secretary and CLO",2022-03-07,Sale,34.75,"4,205","146,124","260,335",Mar 08 04:47 PM
Sharp Jill D.,SVP Internal Assurance Svcs.,2022-03-01,Option Exercise,26.09,"56,663","1,478,232","85,028",Mar 03 03:42 PM
Sharp Jill D.,SVP Internal Assurance Svcs.,2022-03-01,Sale,34.0,"65,121","2,214,114","54,574",Mar 03 03:42 PM
Geer Charles Jr.,SVP & Chief Accounting Officer,2022-03-01,Sale,34.0,"3,500","119,000","53,238",Mar 03 03:29 PM
Hall Patricia Hemingway,Director,2022-02-28,Option Exercise,0.0,762,0,"6,299",Mar 01 03:46 PM
Banks Margaret Katherine,Director,2022-02-28,Option Exercise,0.0,762,0,"18,618",Mar 01 03:41 PM
Sharp Jill D.,SVP Internal Assurance Svcs.,2022-02-22,Option Exercise,31.58,"1,119","35,338","64,151",Feb 24 04:38 PM
Geer Charles Jr.,SVP & Chief Accounting Officer,2022-02-22,Sale,33.15,"7,000","232,050","56,738",Feb 24 04:01 PM
Sharp Jill D.,SVP Internal Assurance Svcs.,2022-02-22,Sale,33.15,"19,119","633,795","63,032",Feb 24 04:38 PM
Richard Mark,President - Western Hemisphere,2022-02-22,Sale,33.15,"16,318","540,942","267,312",Feb 24 04:15 PM
Jones Myrtle L,Senior Vice Pres - Tax,2022-02-22,Sale,33.15,"14,134","468,542","65,114",Feb 24 04:08 PM
Loeffler Lance,EVP & Chief Financial Officer,2022-01-25,Sale,30.0,"24,061","721,830","135,681",Jan 26 04:38 PM
Miller Jeffrey Allen,"Director, President & CEO",2022-01-25,Sale,30.0,"33,333","999,990","907,928",Jan 26 04:22 PM
Rainey Joe D,"Pres., Eastern Hemisphere",2022-01-14,Sale,28.5,"14,000","399,000","371,299",Jan 18 03:03 PM
GERBER MURRY,Director,2021-12-02,Option Exercise,0.0,"12,319",0,"551,911",Dec 03 04:47 PM
Banks Margaret Katherine,Director,2021-12-02,Option Exercise,0.0,"12,319",0,"17,856",Dec 03 04:43 PM
Malone Robert A,Director,2021-12-02,Option Exercise,0.0,"12,319",0,"58,718",Dec 03 04:34 PM
Miller Jeffrey Allen,"Director, President & CEO",2021-10-11,Sale,25.0,"33,333","833,325","859,489",Oct 13 01:35 PM
GERBER MURRY,Director,2021-09-20,Sale,19.33,"44,590","861,782","539,592",Sep 21 04:28 PM
Banks Margaret Katherine,Director,2021-08-02,Option Exercise,0.0,"2,007",0,"5,537",Aug 03 12:17 PM
GERBER MURRY,Director,2021-08-02,Option Exercise,0.0,"4,130",0,"584,182",Aug 03 12:16 PM
Malone Robert A,Director,2021-08-02,Option Exercise,0.0,"4,130",0,"46,399",Aug 03 11:48 AM
Hall Patricia Hemingway,Director,2021-08-02,Option Exercise,0.0,"2,007",0,"5,537",Aug 03 11:55 AM
