Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SCHUYLER MATTHEW W,See Remarks,2022-07-18,Sale,120.00,"3,000","360,000","253,714",Jul 19 05:47 PM
SCHUYLER MATTHEW W,See Remarks,2022-06-15,Sale,121.31,"3,000","363,930","256,714",Jun 16 04:04 PM
STEENLAND DOUGLAS M,Director,2022-05-24,Buy,127.69,"1,967","251,156","24,053",May 24 06:15 PM
SCHUYLER MATTHEW W,See Remarks,2022-05-16,Sale,134.03,"3,000","402,077","259,714",May 17 05:40 PM
SCHUYLER MATTHEW W,See Remarks,2022-04-18,Sale,157.32,"3,000","471,967","262,714",Apr 19 06:26 PM
SCHUYLER MATTHEW W,See Remarks,2022-03-15,Sale,144.08,"3,000","432,246","265,714",Mar 16 04:56 PM
Mabus Raymond E,Director,2022-03-11,Buy,144.7,700,"101,290","9,295",Mar 11 04:59 PM
Duffy Michael W,See Remarks,2022-03-09,Option Exercise,45.46,"3,654","166,111","29,696",Mar 09 06:08 PM
Duffy Michael W,See Remarks,2022-03-09,Sale,138.5,"3,654","506,079","26,042",Mar 09 06:08 PM
Duffy Michael W,See Remarks,2022-03-08,Sale,136.73,"4,800","656,304","26,042",Mar 09 06:08 PM
Jacobs Kevin J,See Remarks,2022-03-07,Sale,130.37,3,391,"134,997",Mar 07 05:43 PM
SCHUYLER MATTHEW W,See Remarks,2022-02-15,Sale,157.71,"3,000","473,130","259,953",Feb 16 06:10 PM
SCHUYLER MATTHEW W,See Remarks,2022-01-18,Sale,145.19,"3,000","435,583","262,953",Jan 19 06:03 PM
SCHUYLER MATTHEW W,See Remarks,2021-12-15,Sale,139.33,"3,000","417,977","265,953",Dec 16 05:39 PM
SCHUYLER MATTHEW W,See Remarks,2021-11-15,Sale,143.43,"3,000","430,276","268,953",Nov 16 05:09 PM
Campbell Kristin Ann,See Remarks,2021-11-05,Option Exercise,83.48,"28,067","2,342,941","241,730",Nov 08 06:48 PM
SCHUYLER MATTHEW W,See Remarks,2021-11-05,Sale,152.19,"10,000","1,521,900","271,953",Nov 08 06:49 PM
Campbell Kristin Ann,See Remarks,2021-11-05,Sale,151.21,"28,067","4,244,095","213,663",Nov 08 06:48 PM
Jacobs Kevin J,See Remarks,2021-11-03,Option Exercise,62.66,"195,722","12,263,178","310,624",Nov 05 05:21 PM
Jacobs Kevin J,See Remarks,2021-11-03,Sale,145.12,"195,722","28,402,753","114,902",Nov 05 05:21 PM
SCHUYLER MATTHEW W,See Remarks,2021-10-15,Sale,144.82,"3,000","434,454","281,953",Oct 18 05:55 PM
SCHUYLER MATTHEW W,See Remarks,2021-09-15,Sale,130.01,"3,000","390,030","284,953",Sep 17 04:51 PM
SCHUYLER MATTHEW W,See Remarks,2021-08-16,Sale,121.42,"3,000","364,267","287,953",Aug 17 07:03 PM
