Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Sprecher Jeffrey C,Chief Executive Officer,2022-05-26,Option Exercise,41.8,"65,431","2,734,791","1,360,901",May 27 05:00 PM
Sprecher Jeffrey C,Chief Executive Officer,2022-05-26,Sale,98.97,"83,621","8,275,739","1,277,280",May 27 05:00 PM
Sprecher Jeffrey C,Chief Executive Officer,2022-05-25,Sale,97.63,"10,000","976,304","3,011,705",May 27 05:00 PM
Hague William Jefferson,Director,2022-05-24,Sale,97.66,583,"56,936","16,127",May 25 04:39 PM
Foley Douglas,"SVP, HR & Administration",2022-05-23,Sale,99.08,"1,600","158,528","24,002",May 25 04:38 PM
Edmonds Christopher Scott,Chief Development Officer,2022-05-19,Sale,93.61,492,"46,056","14,119",May 23 04:34 PM
Wassersug Mark,Chief Operating Officer,2022-04-11,Option Exercise,57.31,"11,000","630,410","38,229",Apr 12 04:33 PM
Wassersug Mark,Chief Operating Officer,2022-04-11,Sale,128.53,"11,000","1,413,884","27,229",Apr 12 04:33 PM
Edmonds Christopher Scott,Chief Development Officer,2022-04-06,Option Exercise,76.16,"1,313","99,998","11,958",Apr 06 04:46 PM
Edmonds Christopher Scott,Chief Development Officer,2022-04-04,Option Exercise,67.0,"1,492","99,964","10,645",Apr 06 04:46 PM
Wassersug Mark,Chief Operating Officer,2022-03-10,Option Exercise,53.35,"11,000","586,880","38,229",Mar 11 04:34 PM
Wassersug Mark,Chief Operating Officer,2022-03-10,Sale,126.6,"11,000","1,392,600","27,229",Mar 11 04:34 PM
Goone David S,Chief Strategic Officer,2022-03-04,Option Exercise,41.59,"36,570","1,520,946","224,150",Mar 08 04:32 PM
Goone David S,Chief Strategic Officer,2022-03-04,Sale,135.02,"36,570","4,937,641","187,580",Mar 08 04:32 PM
Martin Lynn C,"President, NYSE Group",2022-02-24,Option Exercise,50.01,"4,340","217,043","51,904",Feb 25 04:37 PM
Martin Lynn C,"President, NYSE Group",2022-02-24,Sale,120.95,"5,471","661,717","46,433",Feb 25 04:37 PM
Gardiner Warren,Chief Financial Officer,2022-02-24,Sale,120.95,"2,034","246,012","16,164",Feb 25 04:34 PM
Sprecher Jeffrey C,Chief Executive Officer,2022-02-22,Sale,123.11,"10,000","1,231,127","3,021,705",Feb 23 04:47 PM
Wassersug Mark,Chief Operating Officer,2022-02-10,Option Exercise,50.01,"11,022","551,210","29,973",Feb 17 06:46 PM
Wassersug Mark,Chief Operating Officer,2022-02-10,Sale,127.0,"11,022","1,399,794","18,951",Feb 17 06:46 PM
CRISP CHARLES R,Director,2022-02-09,Sale,129.7,"3,127","405,581","35,475",Feb 10 04:49 PM
Wassersug Mark,Chief Operating Officer,2021-12-10,Sale,135.2,"1,072","144,934","18,846",Dec 10 04:34 PM
Sprecher Jeffrey C,Chief Executive Officer,2021-12-09,Option Exercise,41.59,"2,400","99,816","1,261,400",Dec 10 04:34 PM
Sprecher Jeffrey C,Chief Executive Officer,2021-12-09,Sale,134.75,"60,000","8,084,799","3,031,705",Dec 10 04:34 PM
Goone David S,Chief Strategic Officer,2021-12-06,Option Exercise,67.0,"1,492","99,964","190,564",Dec 08 05:12 PM
Surdykowski Andrew J,General Counsel,2021-11-10,Option Exercise,45.4,"4,570","207,496","43,149",Nov 12 04:33 PM
Surdykowski Andrew J,General Counsel,2021-11-10,Sale,135.08,"4,500","607,860","38,649",Nov 12 04:33 PM
Wassersug Mark,Chief Operating Officer,2021-11-10,Sale,135.08,"2,000","270,160","19,918",Nov 12 04:33 PM
Gardiner Warren,Chief Financial Officer,2021-11-10,Sale,135.08,"1,300","175,604","15,150",Nov 12 04:32 PM
Jackson Benjamin,President,2021-11-08,Option Exercise,41.37,"2,770","114,595","99,583",Nov 10 04:32 PM
Namkung James W,Chief Accounting Officer,2021-10-29,Sale,135.09,"1,559","210,605","15,784",Nov 02 04:31 PM
Farooqui Duriya M,Director,2021-10-29,Sale,135.09,"1,979","267,343","9,393",Nov 02 04:30 PM
Martin Lynn C,"President, Fixed Income & Data",2021-10-18,Sale,131.0,"2,500","327,500","32,389",Oct 20 05:08 PM
Wassersug Mark,Chief Operating Officer,2021-10-08,Sale,126.74,"2,000","253,480","21,918",Oct 12 04:32 PM
Martin Lynn C,"President, Fixed Income & Data",2021-10-07,Sale,125.0,"2,500","312,500","34,889",Oct 12 04:31 PM
Sprecher Jeffrey C,Chief Executive Officer,2021-09-22,Option Exercise,24.45,"89,537","2,189,197","1,435,537",Sep 24 04:44 PM
Sprecher Jeffrey C,Chief Executive Officer,2021-09-22,Sale,117.03,"60,000","7,022,089","3,091,705",Sep 24 04:44 PM
Sprecher Jeffrey C,Chief Executive Officer,2021-09-22,Sale,117.03,"109,037","12,760,428","1,326,500",Sep 24 04:44 PM
Wassersug Mark,Chief Operating Officer,2021-09-10,Sale,120.0,"2,000","240,000","23,918",Sep 14 04:31 PM
Surdykowski Andrew J,General Counsel,2021-08-26,Sale,117.48,"1,758","206,530","38,579",Aug 27 04:33 PM
Wassersug Mark,Chief Operating Officer,2021-08-10,Sale,120.22,"2,000","240,440","25,918",Aug 12 04:38 PM
Namkung James W,Chief Accounting Officer,2021-07-21,Sale,120.0,"1,887","226,440","17,343",Jul 22 05:15 PM
