Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Curet Myriam,EVP & Chief Medical Officer,2022-07-27,Option Exercise,139.52,"9,000","1,255,680","9,217",Jul 28 06:41 PM
Curet Myriam,EVP & Chief Medical Officer,2022-07-27,Sale,225.00,"9,000","2,025,000",217,Jul 28 06:41 PM
GUTHART GARY S,President & CEO,2022-07-26,Option Exercise,57.48,"126,000","7,242,341","134,019",Jul 27 06:49 PM
GUTHART GARY S,President & CEO,2022-07-26,Sale,216.3,"79,412","17,177,054","54,607",Jul 27 06:49 PM
DeSantis Robert,EVP & Chief Product Officer,2022-05-11,Option Exercise,0.0,363,0,"6,937",May 13 05:15 PM
Curet Myriam,EVP & Chief Medical Officer,2022-04-26,Option Exercise,139.52,"6,000","837,120","6,361",Apr 27 06:28 PM
DeSantis Robert,EVP & Chief Product Officer,2022-04-26,Option Exercise,222.43,"1,611","358,331","7,150",Apr 27 08:45 PM
Curet Myriam,EVP & Chief Medical Officer,2022-04-26,Sale,252.51,"6,000","1,515,058",361,Apr 27 06:28 PM
DeSantis Robert,EVP & Chief Product Officer,2022-04-26,Sale,253.04,"1,611","407,647","6,355",Apr 27 08:45 PM
Reed Monica P,Director,2022-04-22,Option Exercise,0.0,555,0,555,Apr 26 12:44 PM
RUBASH MARK J,Director,2022-04-22,Option Exercise,0.0,555,0,"15,000",Apr 26 12:43 PM
Leonard Keith R,Director,2022-04-22,Option Exercise,0.0,555,0,"3,102",Apr 26 12:42 PM
Beery Joseph C,Director,2022-04-22,Option Exercise,0.0,555,0,"1,320",Apr 26 12:41 PM
KANIA DON R,Director,2022-04-22,Option Exercise,0.0,555,0,"2,787",Apr 26 12:39 PM
NACHTSHEIM JAMI K,Director,2022-04-22,Option Exercise,0.0,555,0,"4,581",Apr 26 12:40 PM
BARRATT CRAIG H,Director,2022-04-22,Option Exercise,0.0,753,0,"24,696",Apr 26 12:38 PM
Ladd Amy L,Director,2022-04-22,Option Exercise,0.0,555,0,"1,320",Apr 26 12:37 PM
LEVY ALAN J,Director,2022-04-22,Option Exercise,0.0,555,0,"24,837",Apr 26 12:36 PM
Johnson Amal M,Director,2022-04-22,Option Exercise,0.0,555,0,"11,224",Apr 26 12:36 PM
