Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Herkes Claire,"EVP, Conferences",2022-07-15,Option Exercise,0.00,395,0,"4,398",Jul 19 04:57 PM
FUCHS ANNE SUTHERLAND,Director,2022-06-08,Sale,267.28,250,"66,820","19,205",Jun 09 04:41 PM
FUCHS ANNE SUTHERLAND,Director,2022-06-07,Sale,266.71,224,"59,743","19,455",Jun 09 04:41 PM
FERGUSON DIANA SUE,Director,2022-06-03,Option Exercise,0.0,660,0,710,Jun 03 05:20 PM
SMITH JAMES C,Director,2022-06-03,Option Exercise,0.0,"1,029",0,"708,737",Jun 03 05:15 PM
PAGLIUCA STEPHEN G,Director,2022-06-03,Option Exercise,0.0,"1,029",0,"65,363",Jun 03 05:14 PM
GRABE WILLIAM O,Director,2022-06-03,Option Exercise,0.0,"1,029",0,"1,099",Jun 03 05:13 PM
FUCHS ANNE SUTHERLAND,Director,2022-06-03,Option Exercise,0.0,"1,029",0,"19,679",Jun 03 05:12 PM
CESAN RAUL E,Director,2022-06-03,Option Exercise,0.0,"1,029",0,"74,429",Jun 03 05:10 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-05-27,Sale,260.0,"1,000","260,000","44,096",May 31 04:58 PM
Kranich Robin B,EVP & CHRO,2022-05-26,Sale,256.95,"1,321","339,431","9,717",May 31 04:59 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-05-26,Sale,255.0,500,"127,500","45,096",May 31 04:58 PM
Genovese Yvonne,"EVP, Global Product Management",2022-05-26,Sale,255.47,590,"150,727","1,979",May 31 04:57 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-05-23,Sale,250.82,500,"125,410","45,596",May 25 04:34 PM
Allard Kenneth,EVP & CMO,2022-05-08,Option Exercise,0.0,"1,028",0,"4,988",May 10 05:02 PM
Serra Eileen,Director,2022-05-06,Buy,251.99,700,"176,393",700,May 10 05:04 PM
Kaufman Jules,"EVP, GC",2022-05-04,Sale,271.27,"4,541","1,231,837","4,641",May 06 05:01 PM
Allard Kenneth,EVP & CMO,2022-04-30,Option Exercise,0.0,206,0,"4,074",May 03 05:10 PM
Kranich Robin B,EVP & CHRO,2022-03-02,Sale,284.22,"1,548","439,973","11,038",Mar 04 04:49 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-03-02,Sale,283.28,993,"281,297","46,096",Mar 04 04:47 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-03-01,Sale,273.41,"1,000","273,410","47,089",Mar 02 05:11 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-02-15,Sale,297.08,"1,000","297,080","48,067",Feb 17 07:32 PM
Genovese Yvonne,"EVP, Global Product Management",2022-02-10,Option Exercise,0.0,"1,938",0,"3,168",Feb 11 05:17 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-02-10,Option Exercise,0.0,"3,667",0,"50,537",Feb 11 05:19 PM
Hensel Scott,EVP Global Services & Delivery,2022-02-10,Option Exercise,0.0,"3,667",0,"11,376",Feb 11 05:12 PM
Herkes Claire,"EVP, Conferences",2022-02-10,Option Exercise,0.0,"1,938",0,"4,612",Feb 11 05:10 PM
