Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
VanHimbergen Robert M,VP Corporate Controller,2022-02-25,Option Exercise,33.39,"5,683","189,755","45,301",Feb 28 10:42 AM
VanHimbergen Robert M,VP Corporate Controller,2022-02-25,Sale,64.44,"5,683","366,213","39,618",Feb 28 10:42 AM
VanHimbergen Robert M,VP Corporate Controller,2022-02-03,Option Exercise,41.75,"8,573","357,923","48,191",Feb 04 10:43 AM
VanHimbergen Robert M,VP Corporate Controller,2022-02-03,Sale,69.63,"8,573","596,938","39,618",Feb 04 10:43 AM
Leng Visal,"VP & Pres, APAC BTS",2022-01-12,Option Exercise,33.39,600,"20,034","110,019",Jan 13 04:07 PM
Leng Visal,"VP & Pres, APAC BTS",2022-01-12,Sale,81.0,600,"48,600","109,419",Jan 13 04:07 PM
Leng Visal,"VP & Pres, APAC BTS",2022-01-07,Option Exercise,33.39,"33,723","1,126,011","143,142",Jan 10 03:24 PM
Leng Visal,"VP & Pres, APAC BTS",2022-01-07,Sale,80.13,"33,723","2,702,224","109,419",Jan 10 03:24 PM
MANNING NATHAN D,"VP & Pres, North America",2021-12-14,Sale,78.47,"5,144","403,650","89,257",Dec 14 06:01 PM
Donofrio John,Exec VP & General Counsel,2021-12-13,Sale,78.9,"31,784","2,507,670","35,306",Dec 13 05:54 PM
MANNING NATHAN D,"VP & Pres, North America",2021-12-13,Sale,79.47,"4,086","324,714","94,401",Dec 13 05:53 PM
Williams Jeffrey M,VP & Pres G Prod Bldg Tech Sol,2021-12-10,Sale,78.96,"25,076","1,980,001","69,331",Dec 10 06:05 PM
Oliver George,Chairman & CEO,2021-08-03,Option Exercise,71.88,"176,752","12,704,934","1,315,838",Aug 04 04:42 PM
Oliver George,Chairman & CEO,2021-08-03,Sale,71.88,"176,752","12,705,398","1,139,086",Aug 04 04:42 PM
Oliver George,Chairman & CEO,2021-07-06,Option Exercise,68.17,"176,754","12,049,320","1,315,387",Jul 07 04:51 PM
Oliver George,Chairman & CEO,2021-07-06,Sale,68.17,"176,754","12,048,740","1,138,633",Jul 07 04:51 PM
