Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Mobassaly Robert,SVP General Counsel,2022-07-23,Option Exercise,0.00,"17,000",0,"31,936",Jul 25 04:00 PM
Mobassaly Robert,SVP General Counsel,2022-07-17,Option Exercise,0.0,"3,135",0,"16,491",Jul 18 04:36 PM
Austin Thomas A,GVP Corp Controller & CAO,2022-07-17,Option Exercise,0.0,"3,300",0,"23,886",Jul 18 04:36 PM
Austin Thomas A,GVP Corp Controller & CAO,2022-07-16,Option Exercise,0.0,"4,080",0,"21,784",Jul 18 04:36 PM
Mobassaly Robert,SVP General Counsel,2022-07-16,Option Exercise,0.0,"3,195",0,"14,941",Jul 18 04:36 PM
rahim rami,Chief Executive Officer,2022-06-15,Sale,28.54,"5,555","158,559","857,485",Jun 15 05:56 PM
rahim rami,Chief Executive Officer,2022-06-14,Sale,28.38,"5,555","157,643","863,040",Jun 15 05:56 PM
rahim rami,Chief Executive Officer,2022-06-13,Sale,28.15,"5,555","156,378","868,595",Jun 15 05:56 PM
KRIENS SCOTT,Director,2022-05-10,Option Exercise,0.0,"10,761",0,"20,623",May 12 05:40 PM
DOLCE JAMES A JR,Director,2022-05-10,Option Exercise,0.0,"10,761",0,"67,206",May 12 05:17 PM
Daichendt Gary James,Director,2022-05-10,Option Exercise,0.0,"10,761",0,"75,769",May 12 05:17 PM
Gorjanc Christine Marie,Director,2022-05-10,Option Exercise,0.0,"10,761",0,"29,336",May 12 05:17 PM
DelSanto Anne,Director,2022-05-10,Option Exercise,0.0,"10,761",0,"29,336",May 12 05:17 PM
DENUCCIO KEVIN A,Director,2022-05-10,Option Exercise,0.0,"10,761",0,"20,761",May 12 05:15 PM
HAUGEN JANET BRUTSCHEA,Director,2022-05-10,Option Exercise,0.0,"10,761",0,"29,336",May 12 05:15 PM
STENSRUD WILLIAM,Director,2022-05-10,Option Exercise,0.0,"10,761",0,"10,761",May 12 05:14 PM
Merchant Rahul N,Director,2022-05-10,Option Exercise,0.0,"10,761",0,"54,195",May 12 05:14 PM
Leelanivas Manoj,EVP Chief Operating Officer,2022-05-06,Sale,32.15,"8,274","266,040","100,230",May 10 04:24 PM
rahim rami,Chief Executive Officer,2022-05-06,Sale,32.01,"5,555","177,800","874,150",May 06 05:53 PM
rahim rami,Chief Executive Officer,2022-05-05,Sale,32.03,"5,555","177,946","879,705",May 06 05:53 PM
rahim rami,Chief Executive Officer,2022-05-04,Sale,32.62,"5,555","181,191","885,260",May 06 05:53 PM
Miller Kenneth Bradley,EVP CFO,2022-05-02,Sale,31.84,"6,000","191,040","171,835",May 03 04:41 PM
Leelanivas Manoj,EVP Chief Operating Officer,2022-03-31,Sale,38.0,"13,366","507,908","108,504",Mar 31 04:39 PM
Mobassaly Robert,SVP General Counsel,2022-03-18,Option Exercise,0.0,"7,933",0,"15,680",Mar 21 06:47 PM
rahim rami,Chief Executive Officer,2022-03-18,Option Exercise,0.0,"49,095",0,"49,095",Mar 21 06:47 PM
Austin Thomas A,VP Corp Controller & CAO,2022-03-18,Option Exercise,0.0,"4,684",0,"19,071",Mar 21 06:47 PM
Athreya Anand,EVP Chief Development Officer,2022-03-18,Option Exercise,0.0,"14,280",0,"201,321",Mar 21 06:46 PM
Miller Kenneth Bradley,EVP CFO,2022-03-18,Option Exercise,0.0,"17,183",0,"186,355",Mar 21 06:46 PM
Jewell Marcus,EVP Chief Revenue Officer,2022-03-18,Option Exercise,0.0,"16,126",0,"56,561",Mar 21 06:46 PM
Leelanivas Manoj,EVP Chief Operating Officer,2022-03-18,Option Exercise,0.0,"16,412",0,"130,008",Mar 21 06:46 PM
Leelanivas Manoj,EVP Chief Operating Officer,2022-03-17,Sale,34.51,"10,934","377,307","113,596",Mar 21 06:46 PM
Jewell Marcus,EVP Chief Revenue Officer,2022-03-16,Sale,34.01,"2,852","97,001","40,435",Mar 17 11:51 AM
Jewell Marcus,EVP Chief Revenue Officer,2022-03-15,Option Exercise,0.0,"18,282",0,"43,287",Mar 17 11:51 AM
rahim rami,Chief Executive Officer,2022-03-15,Option Exercise,0.0,"51,562",0,"51,562",Mar 17 11:50 AM
Mobassaly Robert,SVP General Counsel,2022-03-15,Option Exercise,0.0,"2,970",0,"9,220",Mar 17 11:50 AM
Miller Kenneth Bradley,EVP CFO,2022-03-15,Option Exercise,0.0,"20,955",0,"179,562",Mar 17 11:50 AM
Leelanivas Manoj,EVP Chief Operating Officer,2022-03-15,Option Exercise,0.0,"14,883",0,"131,909",Mar 17 11:51 AM
Athreya Anand,EVP Chief Development Officer,2022-03-15,Option Exercise,0.0,"17,292",0,"195,615",Mar 17 11:51 AM
