Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
LILLY ENDOWMENT INC,10% Owner,2022-07-28,Sale,332.85,"89,458","29,776,514","103,875,441",Jul 29 11:43 AM
LILLY ENDOWMENT INC,10% Owner,2022-07-26,Sale,332.52,"1,601","532,371","103,964,899",Jul 27 10:26 AM
LILLY ENDOWMENT INC,10% Owner,2022-07-15,Sale,332.76,"17,310","5,760,013","103,966,500",Jul 18 01:50 PM
LILLY ENDOWMENT INC,10% Owner,2022-07-06,Sale,330.28,"177,243","58,539,296","103,983,810",Jul 07 12:03 PM
LILLY ENDOWMENT INC,10% Owner,2022-06-28,Sale,329.01,900,"296,109","104,161,053",Jun 29 11:31 AM
LILLY ENDOWMENT INC,10% Owner,2022-06-27,Sale,329.05,"41,857","13,772,837","104,161,953",Jun 28 01:54 PM
LILLY ENDOWMENT INC,10% Owner,2022-06-24,Sale,324.31,"215,000","69,726,324","104,203,810",Jun 27 01:45 PM
LILLY ENDOWMENT INC,10% Owner,2022-06-23,Sale,311.05,"205,000","63,764,750","104,418,810",Jun 24 01:36 PM
LILLY ENDOWMENT INC,10% Owner,2022-06-22,Sale,306.84,"210,000","64,435,611","104,623,810",Jun 23 02:50 PM
Rau Diogo,SVP & CIDO,2022-06-01,Option Exercise,0.0,"7,560",0,"7,560",Jun 02 06:41 PM
Zakrowski Donald A,Chief Accounting Officer,2022-06-01,Sale,313.44,"1,000","313,440","6,274",Jun 02 06:43 PM
LILLY ENDOWMENT INC,10% Owner,2022-05-27,Sale,318.98,"200,000","63,796,661","104,833,810",May 31 02:44 PM
LILLY ENDOWMENT INC,10% Owner,2022-05-26,Sale,311.27,"178,390","55,526,821","105,033,810",May 27 10:58 AM
LILLY ENDOWMENT INC,10% Owner,2022-05-25,Sale,308.95,"41,610","12,855,267","105,212,200",May 26 11:40 AM
LILLY ENDOWMENT INC,10% Owner,2022-05-24,Sale,305.98,"100,000","30,597,961","105,253,810",May 25 11:37 AM
LILLY ENDOWMENT INC,10% Owner,2022-05-23,Sale,302.73,"118,856","35,981,664","105,353,810",May 24 12:51 PM
LILLY ENDOWMENT INC,10% Owner,2022-05-18,Sale,302.0,700,"211,400","105,472,666",May 19 10:08 AM
LILLY ENDOWMENT INC,10% Owner,2022-05-17,Sale,302.26,"19,683","5,949,343","105,473,366",May 18 01:11 PM
LILLY ENDOWMENT INC,10% Owner,2022-05-16,Sale,302.53,"80,761","24,432,993","105,493,049",May 17 11:03 AM
LILLY ENDOWMENT INC,10% Owner,2022-04-08,Sale,310.79,"139,045","43,213,795","105,573,810",Apr 11 02:26 PM
LILLY ENDOWMENT INC,10% Owner,2022-04-07,Sale,309.82,"70,955","21,982,985","105,712,855",Apr 08 03:20 PM
LILLY ENDOWMENT INC,10% Owner,2022-04-06,Sale,300.92,"51,851","15,603,021","105,783,810",Apr 07 12:44 PM
LILLY ENDOWMENT INC,10% Owner,2022-04-05,Sale,293.86,"113,756","33,428,339","105,835,661",Apr 06 02:35 PM
LILLY ENDOWMENT INC,10% Owner,2022-04-04,Sale,293.15,"39,393","11,548,137","105,949,417",Apr 05 02:31 PM
LILLY ENDOWMENT INC,10% Owner,2022-04-01,Sale,292.38,"165,376","48,352,781","105,988,810",Apr 04 02:34 PM
LILLY ENDOWMENT INC,10% Owner,2022-03-30,Sale,292.03,"2,500","730,075","106,154,186",Mar 31 12:51 PM
LILLY ENDOWMENT INC,10% Owner,2022-03-29,Sale,292.39,"4,341","1,269,254","106,156,686",Mar 30 04:37 PM
LILLY ENDOWMENT INC,10% Owner,2022-03-28,Sale,292.15,"7,538","2,202,264","106,161,027",Mar 29 02:14 PM
LILLY ENDOWMENT INC,10% Owner,2022-03-21,Sale,292.43,"35,245","10,306,604","106,168,565",Mar 22 03:41 PM
LILLY ENDOWMENT INC,10% Owner,2022-03-18,Sale,288.18,"210,000","60,518,363","106,203,810",Mar 21 01:12 PM
Jonsson Patrik,"SVP&Pres, LLY Imm, LLY USA&CCO",2022-03-17,Sale,277.2,673,"186,556","31,362",Mar 17 04:12 PM
