Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Rapino Michael,President & CEO,2022-05-06,Option Exercise,8.77,"100,000","877,000","3,414,520",May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-06,Sale,93.08,"78,000","7,260,613","3,336,520",May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-05,Option Exercise,8.77,"100,000","877,000","3,392,520",May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-05,Sale,95.2,"78,000","7,425,598","3,314,520",May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-04,Option Exercise,8.77,"100,000","877,000","3,370,520",May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-04,Sale,96.63,"78,000","7,537,476","3,292,520",May 06 07:33 PM
Rapino Michael,President & CEO,2022-04-29,Option Exercise,8.77,"100,000","877,000","3,348,520",Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-29,Sale,106.46,"78,000","8,303,950","3,270,520",Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-28,Option Exercise,8.77,"100,000","877,000","3,326,520",Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-28,Sale,106.87,"78,000","8,335,795","3,248,520",Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-27,Option Exercise,8.77,"100,000","877,000","3,304,520",Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-27,Sale,106.73,"78,000","8,324,715","3,226,520",Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-22,Option Exercise,8.77,"100,000","877,000","3,282,520",Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-22,Sale,106.41,"78,000","8,299,611","3,204,520",Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-21,Option Exercise,8.77,"100,000","877,000","3,260,520",Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-21,Sale,108.8,"78,000","8,486,404","3,182,520",Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-20,Option Exercise,8.77,"100,000","877,000","3,238,520",Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-20,Sale,113.16,"78,000","8,826,121","3,160,520",Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-14,Option Exercise,8.77,"100,000","877,000","3,216,520",Apr 15 04:04 PM
Rapino Michael,President & CEO,2022-04-14,Sale,112.49,"78,000","8,774,075","3,138,520",Apr 15 04:04 PM
Rapino Michael,President & CEO,2022-04-13,Option Exercise,8.77,"100,000","877,000","3,194,520",Apr 15 04:04 PM
Rapino Michael,President & CEO,2022-04-13,Sale,112.26,"78,000","8,756,633","3,116,520",Apr 15 04:04 PM
Rapino Michael,President & CEO,2022-04-08,Option Exercise,8.77,"100,000","877,000","3,172,520",Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-08,Sale,108.75,"78,000","8,482,655","3,094,520",Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-07,Option Exercise,8.77,"100,000","877,000","3,150,520",Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-07,Sale,108.85,"78,000","8,490,613","3,072,520",Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-06,Option Exercise,8.77,"100,000","877,000","3,128,520",Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-06,Sale,109.78,"78,000","8,562,916","3,050,520",Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-01,Option Exercise,8.77,"100,000","877,000","3,106,520",Apr 01 07:15 PM
Rapino Michael,President & CEO,2022-04-01,Sale,115.92,"78,000","9,041,406","3,028,520",Apr 01 07:15 PM
Rapino Michael,President & CEO,2022-03-31,Option Exercise,8.77,"100,000","877,000","3,114,241",Apr 01 07:15 PM
