Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Mastercard Foundation,10% Owner,2022-05-13,Sale,333.03,"106,330","35,411,388","103,629,316",May 13 04:26 PM
Mastercard Foundation,10% Owner,2022-05-12,Sale,320.16,"106,326","34,041,821","103,735,646",May 13 04:26 PM
Mastercard Foundation,10% Owner,2022-05-11,Sale,327.74,"106,326","34,847,188","103,841,972",May 11 04:31 PM
Mastercard Foundation,10% Owner,2022-05-10,Sale,326.59,"106,326","34,725,253","103,948,298",May 11 04:31 PM
Mastercard Foundation,10% Owner,2022-05-09,Sale,329.93,"106,326","35,080,297","104,054,624",May 11 04:31 PM
Seshadri Raj,"President, Data & Services",2022-04-29,Option Exercise,112.31,"7,000","786,170","17,439",May 03 04:30 PM
Murphy Timothy H,Chief Administrative Officer,2022-04-29,Option Exercise,173.49,"14,669","2,544,925","50,145",May 03 04:28 PM
Murphy Timothy H,Chief Administrative Officer,2022-04-29,Sale,367.95,"14,924","5,491,293","35,221",May 03 04:28 PM
Seshadri Raj,"President, Data & Services",2022-04-29,Sale,367.68,"7,000","2,573,770","10,439",May 03 04:30 PM
Vosburg Craig,Chief Product Officer,2022-03-29,Sale,365.0,"1,561","569,766","41,314",Mar 30 08:21 PM
Mastercard Foundation,10% Owner,2022-02-16,Sale,380.33,"155,061","58,974,676","104,160,950",Feb 16 04:14 PM
Mastercard Foundation,10% Owner,2022-02-15,Sale,379.77,"155,060","58,886,547","104,316,011",Feb 16 04:14 PM
Mastercard Foundation,10% Owner,2022-02-14,Sale,372.93,"155,060","57,826,371","104,471,071",Feb 14 04:57 PM
Mastercard Foundation,10% Owner,2022-02-10,Sale,377.13,"155,060","58,477,437","104,781,191",Feb 14 04:57 PM
Mastercard Foundation,10% Owner,2022-02-09,Sale,383.74,"155,060","59,503,453","104,936,251",Feb 09 04:40 PM
Mastercard Foundation,10% Owner,2022-02-08,Sale,374.7,"155,060","58,100,563","105,091,311",Feb 09 04:40 PM
Mastercard Foundation,10% Owner,2022-02-07,Sale,377.5,"155,060","58,535,615","105,246,371",Feb 09 04:40 PM
Vosburg Craig,Chief Product Officer,2022-01-28,Option Exercise,90.1,"5,684","512,128","46,133",Jan 31 04:26 PM
McLaughlin Edward Grunde,"President, Operations & Tech",2022-01-28,Option Exercise,90.1,"6,912","622,771","35,013",Jan 31 04:27 PM
Arkell Sandra A,Controller,2022-01-28,Sale,375.0,872,"327,000","2,608",Jan 31 04:27 PM
McLaughlin Edward Grunde,"President, Operations & Tech",2022-01-28,Sale,360.26,"15,310","5,515,514","19,703",Jan 31 04:27 PM
Vosburg Craig,Chief Product Officer,2022-01-28,Sale,365.0,"5,684","2,074,660","40,449",Jan 31 04:26 PM
Mastercard Foundation,10% Owner,2021-12-02,Sale,315.33,"91,004","28,695,845","105,401,431",Dec 03 09:05 AM
Mastercard Foundation,10% Owner,2021-12-01,Sale,315.3,"90,994","28,690,690","105,492,435",Dec 03 09:05 AM
Mastercard Foundation,10% Owner,2021-11-30,Sale,314.07,"90,994","28,578,749","105,583,429",Nov 30 04:36 PM
Mastercard Foundation,10% Owner,2021-11-29,Sale,322.13,"90,994","29,311,870","105,674,423",Nov 30 04:36 PM
Mastercard Foundation,10% Owner,2021-11-26,Sale,323.1,"90,994","29,399,961","105,765,417",Nov 30 04:36 PM
Mastercard Foundation,10% Owner,2021-11-24,Sale,331.84,"90,994","30,195,886","105,856,411",Nov 24 04:24 PM
Mastercard Foundation,10% Owner,2021-11-23,Sale,324.56,"90,994","29,532,985","105,947,405",Nov 24 04:24 PM
Mastercard Foundation,10% Owner,2021-11-22,Sale,327.91,"90,994","29,837,833","106,038,399",Nov 24 04:24 PM
Mastercard Foundation,10% Owner,2021-11-19,Sale,344.48,"90,994","31,346,023","106,129,393",Nov 19 04:14 PM
Mastercard Foundation,10% Owner,2021-11-18,Sale,350.36,"90,994","31,880,339","106,220,387",Nov 19 04:14 PM
Mastercard Foundation,10% Owner,2021-11-17,Sale,354.4,"90,994","32,248,729","106,311,381",Nov 19 04:14 PM
Miebach Michael,President & CEO,2021-11-15,Option Exercise,112.31,"6,500","730,015","38,531",Nov 16 04:33 PM
Miebach Michael,President & CEO,2021-11-15,Sale,370.0,"10,670","3,947,900","27,861",Nov 16 04:33 PM
Mastercard Foundation,10% Owner,2021-08-16,Sale,358.9,"78,985","28,348,025","106,402,375",Aug 16 04:42 PM
Mastercard Foundation,10% Owner,2021-08-13,Sale,361.7,"78,973","28,564,732","106,481,360",Aug 16 04:42 PM
