Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Borden Ian Frederick,"President, International",2022-08-01,Option Exercise,94.00,"5,320","500,080","12,451",Aug 01 06:01 PM
Borden Ian Frederick,"President, International",2022-08-01,Sale,265.00,"5,320","1,409,800","7,131",Aug 01 06:01 PM
HERNANDEZ ENRIQUE JR,Non-Exec Chairman of the Board,2022-07-29,Sale,264.02,"4,500","1,188,090",0,Aug 01 05:58 PM
Hoovel Catherine A.,SVP - Corporate Controller,2022-07-27,Option Exercise,94.89,"2,371","224,984","3,555",Jul 29 01:20 PM
Hoovel Catherine A.,SVP - Corporate Controller,2022-07-27,Sale,255.62,"2,371","606,075","1,184",Jul 29 01:20 PM
Borden Ian Frederick,"President, International",2022-07-27,Sale,255.80,"8,000","2,046,400","7,131",Jul 29 01:17 PM
CAPOZZI HEIDI B,EVP - Chief People Officer,2022-05-28,Option Exercise,0.0,"17,221",0,"19,482",Jun 01 04:48 PM
Ralls-Morrison Desiree,"EVP, Gen Counsel and Secretary",2022-05-17,Option Exercise,0.0,"5,396",0,"5,396",May 19 04:33 PM
Erlinger Joseph M.,"President, McDonald's USA",2022-05-04,Option Exercise,97.15,"4,000","388,600","14,079",May 06 04:03 PM
Erlinger Joseph M.,"President, McDonald's USA",2022-05-04,Sale,249.23,"5,892","1,468,440","8,187",May 06 04:03 PM
Engelbert Catherine M.,Director,2022-02-28,Buy,244.18,"1,000","244,180","2,041",Mar 02 02:34 PM
Steijaert Manuel JM,EVP - Chief Customer Officer,2022-02-14,Option Exercise,0.0,815,0,"1,202",Feb 16 05:36 PM
OZAN KEVIN M,EVP & CFO,2022-02-14,Option Exercise,0.0,"6,048",0,"23,802",Feb 16 05:31 PM
Kempczinski Christopher J,President and CEO,2022-02-14,Option Exercise,0.0,"4,652",0,"20,303",Feb 16 05:28 PM
Hoovel Catherine A.,SVP - Corporate Controller,2022-02-14,Option Exercise,0.0,410,0,"1,301",Feb 16 05:25 PM
Henry Daniel,EVP - Chief Info. Officer,2022-02-14,Option Exercise,0.0,"2,327",0,"5,480",Feb 16 05:23 PM
Erlinger Joseph M.,"President, McDonald's USA",2022-02-14,Option Exercise,0.0,"3,164",0,"11,351",Feb 16 05:17 PM
DeBiase Francesca A.,EVP-Gl. Chief Sup. Chain Off.,2022-02-14,Option Exercise,0.0,"2,327",0,"21,313",Feb 16 05:15 PM
Borden Ian Frederick,"President, International",2022-02-14,Option Exercise,0.0,"2,791",0,"16,521",Feb 16 05:09 PM
Fallon Katherine Beirne,EVP - Chief Gl. Impact Officer,2021-11-18,Option Exercise,0.0,"2,900",0,"2,900",Nov 19 04:03 PM
Erlinger Joseph M.,"President, McDonald's USA",2021-10-29,Option Exercise,97.15,"4,324","420,077","12,511",Oct 29 05:05 PM
Erlinger Joseph M.,"President, McDonald's USA",2021-10-29,Sale,245.41,"4,324","1,061,153","8,187",Oct 29 05:05 PM
Borden Ian Frederick,"President, International",2021-10-28,Option Exercise,100.05,"5,948","595,097","19,678",Oct 29 05:02 PM
Borden Ian Frederick,"President, International",2021-10-28,Sale,243.4,"5,948","1,447,743","13,730",Oct 29 05:02 PM
Hoovel Catherine A.,SVP - Corporate Controller,2021-07-29,Option Exercise,94.0,"2,261","212,534","3,384",Jul 30 02:39 PM
OZAN KEVIN M,EVP & CFO,2021-07-29,Option Exercise,96.61,"47,649","4,603,497","68,803",Jul 30 02:45 PM
OZAN KEVIN M,EVP & CFO,2021-07-29,Sale,243.9,"47,649","11,621,591","21,154",Jul 30 02:45 PM
Hoovel Catherine A.,SVP - Corporate Controller,2021-07-29,Sale,243.45,"2,493","606,922",891,Jul 30 02:39 PM
