Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
MOORTHY GANESH,President & CEO,2022-06-17,Buy,57.29,"8,000","458,301","720,313",Jun 21 09:19 AM
SIMONCIC RICHARD J,"Senior VP, Analog/Intrfce BU",2022-06-01,Option Exercise,71.16,196,"13,947","116,693",Jun 03 04:51 PM
MOORTHY GANESH,President & CEO,2022-06-01,Option Exercise,71.16,650,"46,254","712,593",Jun 03 04:49 PM
SANGHI STEVE,Executive Chair,2022-06-01,Option Exercise,71.16,"2,742","195,121","9,955,230",Jun 03 04:50 PM
LITTLE MITCHELL R,"Senior VP, WW Client Engagemnt",2022-06-01,Option Exercise,71.16,262,"18,644","13,318",Jun 03 04:48 PM
Bjornholt James Eric,Senior VP and CFO,2022-06-01,Option Exercise,71.16,180,"12,809","34,387",Jun 03 04:46 PM
DREHOBL STEPHEN V,"Senior VP, MCU8/MCU16 BU",2022-06-01,Option Exercise,71.16,240,"17,078","56,720",Jun 03 04:47 PM
CHAPMAN MATTHEW W,Director,2022-05-23,Sale,66.66,"1,000","66,655","36,386",May 24 05:03 PM
Bjornholt James Eric,Senior VP and CFO,2022-05-23,Sale,66.66,"2,326","155,040","34,207",May 24 05:01 PM
LITTLE MITCHELL R,"Senior VP, WW Client Engagemnt",2022-05-23,Sale,66.66,"3,674","244,890","13,056",May 24 05:02 PM
LITTLE MITCHELL R,"Senior VP, WW Client Engagemnt",2022-05-19,Sale,66.29,"1,970","130,591","16,730",May 20 05:51 PM
SIMONCIC RICHARD J,"Senior VP, Analog/Intrfce BU",2022-05-15,Option Exercise,65.93,"6,164","406,393","116,906",May 18 04:44 PM
LITTLE MITCHELL R,"Senior VP, WW Client Engagemnt",2022-05-15,Option Exercise,65.93,"7,352","484,717","19,611",May 18 04:45 PM
MOORTHY GANESH,President & CEO,2022-05-15,Option Exercise,65.93,"18,592","1,225,771","714,450",May 18 04:42 PM
SANGHI STEVE,Executive Chair,2022-05-15,Option Exercise,65.93,"38,772","2,556,238","9,952,488",May 18 04:43 PM
DREHOBL STEPHEN V,"Senior VP, MCU8/MCU16 BU",2022-05-15,Option Exercise,65.93,"8,728","575,437","57,585",May 18 04:41 PM
Bjornholt James Eric,Senior VP and CFO,2022-05-15,Option Exercise,65.93,"5,936","391,360","37,010",May 18 04:39 PM
Johnson Karlton D,Director,2022-05-13,Sale,67.35,594,"40,006",0,May 16 05:19 PM
LITTLE MITCHELL R,"Senior VP, WW Client Engagemnt",2022-02-22,Sale,70.93,"3,613","256,270","14,442",Feb 23 04:58 PM
CHAPMAN MATTHEW W,Director,2022-02-22,Sale,70.93,"1,000","70,930","37,386",Feb 23 04:59 PM
Bjornholt James Eric,Senior VP and CFO,2022-02-22,Sale,70.93,"1,885","133,703","32,657",Feb 23 04:57 PM
MOORTHY GANESH,President & CEO,2022-02-15,Option Exercise,74.98,"18,454","1,383,681","702,987",Feb 17 05:56 PM
SANGHI STEVE,Executive Chair,2022-02-15,Option Exercise,74.98,"40,854","3,063,233","9,913,190",Feb 17 05:56 PM
SIMONCIC RICHARD J,"Senior VP, Analog/Intrfce BU",2022-02-15,Option Exercise,74.98,"6,130","459,627","111,937",Feb 17 05:54 PM
LITTLE MITCHELL R,"Senior VP, WW Client Engagemnt",2022-02-15,Option Exercise,74.98,"7,356","551,553","18,954",Feb 17 05:54 PM
DREHOBL STEPHEN V,"Senior VP, MCU8/MCU16 BU",2022-02-15,Option Exercise,74.98,"8,482","635,980","50,956",Feb 17 05:52 PM
Bjornholt James Eric,Senior VP and CFO,2022-02-15,Option Exercise,74.98,"5,442","408,041","35,236",Feb 17 05:51 PM
SANGHI STEVE,Executive Chair,2021-12-22,Sale,84.47,"45,340","3,829,870","9,872,336",Dec 23 07:28 PM
SANGHI STEVE,Executive Chair,2021-12-16,Sale,87.14,"41,510","3,617,181","9,917,676",Dec 17 05:30 PM
SANGHI STEVE,Executive Chair,2021-12-09,Sale,86.71,"45,128","3,913,049","9,959,186",Dec 13 05:20 PM
