Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
TYLER BRIAN S.,Chief Executive Officer,2022-06-21,Sale,305.2,"1,535","468,482","75,737",Jun 22 12:32 PM
TYLER BRIAN S.,Chief Executive Officer,2022-06-16,Sale,305.39,"4,767","1,455,794","77,272",Jun 17 01:04 PM
TYLER BRIAN S.,Chief Executive Officer,2022-06-13,Sale,308.31,"3,232","996,458","82,039",Jun 14 05:48 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-06-06,Sale,316.42,160,"50,627","3,844",Jun 07 02:41 PM
Vitalone Britt J.,EVP & CFO,2022-06-03,Option Exercise,144.43,"6,324","913,375","18,256",Jun 07 02:41 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-06-03,Option Exercise,0.0,"1,073",0,"4,435",Jun 07 02:41 PM
Vitalone Britt J.,EVP & CFO,2022-06-03,Sale,320.02,"1,761","563,559","11,932",Jun 07 02:41 PM
Flores Nancy,"EVP, CIO & CTO",2022-05-31,Sale,330.69,732,"242,065","4,726",Jun 01 06:06 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-31,Sale,330.69,"5,380","1,779,112",0,Jun 01 06:04 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-31,Sale,330.69,"5,488","1,814,827",120,Jun 01 06:04 PM
Flores Nancy,"EVP, CIO & CTO",2022-05-27,Sale,334.07,"1,329","443,979","5,458",Jun 01 06:06 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-27,Sale,334.07,"2,599","868,248","5,380",Jun 01 06:04 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-27,Sale,334.07,"1,350","450,994",120,Jun 01 06:04 PM
Vitalone Britt J.,EVP & CFO,2022-05-27,Sale,333.16,"27,281","9,088,988","13,693",May 31 06:25 PM
Flores Nancy,"EVP, CIO & CTO",2022-05-26,Option Exercise,0.0,"1,207",0,"7,262",May 27 06:09 PM
TYLER BRIAN S.,Chief Executive Officer,2022-05-26,Option Exercise,0.0,"10,278",0,"89,410",May 27 06:10 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-26,Option Exercise,0.0,"2,328",0,"26,617",May 27 06:09 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-26,Option Exercise,0.0,"1,564",0,"10,780",May 27 06:08 PM
Vitalone Britt J.,EVP & CFO,2022-05-26,Option Exercise,0.0,"2,905",0,"42,118",May 27 06:09 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-26,Sale,330.27,"24,169","7,982,296","1,470",May 27 06:09 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-26,Sale,330.27,"2,185","721,640","7,979",May 27 06:08 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-05-26,Sale,330.27,527,"174,052","3,362",May 27 06:10 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-25,Option Exercise,0.0,"4,288",0,"9,715",May 27 06:08 PM
Vitalone Britt J.,EVP & CFO,2022-05-25,Option Exercise,0.0,"19,486",0,"44,500",May 27 06:09 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-25,Option Exercise,0.0,"18,877",0,"29,946",May 27 06:09 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-05-25,Option Exercise,0.0,884,0,"4,237",May 27 06:10 PM
Flores Nancy,"EVP, CIO & CTO",2022-05-25,Option Exercise,0.0,986,0,"6,443",May 27 06:09 PM
TYLER BRIAN S.,Chief Executive Officer,2022-05-25,Option Exercise,0.0,"26,923",0,"82,533",May 27 06:10 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-05-24,Sale,326.9,209,"68,322","3,353",May 25 06:41 PM
Vitalone Britt J.,EVP & CFO,2022-05-24,Sale,325.16,"4,192","1,363,055","27,395",May 25 06:40 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-24,Sale,326.9,"1,433","468,448","6,617",May 25 06:36 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-24,Sale,326.9,"1,500","490,350","12,841",May 25 06:33 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-21,Option Exercise,0.0,"2,707",0,"2,827",May 24 04:45 PM
