Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Tulenko Stephen T,"President, Moody's Analytics",2022-05-18,Sale,280.99,"1,100","309,086","6,024",May 19 04:00 PM
Tulenko Stephen T,"President, Moody's Analytics",2022-05-17,Option Exercise,170.63,"2,363","403,208","8,342",May 18 04:00 PM
Tulenko Stephen T,"President, Moody's Analytics",2022-05-17,Sale,292.63,"3,885","1,136,872","7,124",May 18 04:00 PM
MCDANIEL RAYMOND W,Director,2022-05-06,Sale,299.41,"10,000","2,994,112","57,503",May 09 04:01 PM
Kaye Mark,EVP & Chief Financial Officer,2022-03-02,Sale,325.24,"3,702","1,204,038","5,384",Mar 03 04:00 PM
Fauber Robert,President and CEO,2022-03-01,Sale,321.29,447,"143,617","61,245",Mar 02 04:01 PM
Fauber Robert,President and CEO,2022-02-01,Sale,343.98,447,"153,759","51,520",Feb 02 04:00 PM
Fauber Robert,President and CEO,2022-01-03,Sale,391.74,447,"175,108","51,967",Jan 04 04:00 PM
Fauber Robert,President and CEO,2021-12-01,Sale,394.62,447,"176,395","52,414",Dec 02 04:00 PM
Kaye Mark,EVP & Chief Financial Officer,2021-11-18,Sale,398.28,316,"125,856","4,585",Nov 19 04:00 PM
West Michael L,"President, Moody's Investors",2021-11-16,Sale,399.92,180,"71,985","6,321",Nov 17 04:00 PM
Fauber Robert,President and CEO,2021-11-01,Sale,406.82,447,"181,849","53,022",Nov 02 04:00 PM
Fauber Robert,President and CEO,2021-10-01,Sale,357.5,447,"159,802","53,469",Oct 04 04:01 PM
Fauber Robert,President and CEO,2021-09-01,Sale,380.31,447,"169,999","53,916",Sep 02 04:00 PM
Kaye Mark,EVP & Chief Financial Officer,2021-08-16,Option Exercise,279.85,"2,090","584,878","6,635",Aug 17 04:01 PM
Tulenko Stephen T,"President, Moody's Analytics",2021-08-16,Option Exercise,192.75,"3,009","579,989","6,800",Aug 17 04:36 PM
Tulenko Stephen T,"President, Moody's Analytics",2021-08-16,Sale,383.23,"3,009","1,153,151","5,582",Aug 17 04:36 PM
Kaye Mark,EVP & Chief Financial Officer,2021-08-16,Sale,379.69,"3,133","1,189,569","4,901",Aug 17 04:01 PM
Hughes Melanie,SVP & Chief HR Officer,2021-08-12,Sale,378.07,"1,559","589,413","3,763",Aug 13 04:00 PM
West Michael L,"President, Moody's Investors",2021-08-09,Sale,382.35,680,"259,998","6,501",Aug 10 04:00 PM
Fauber Robert,President and CEO,2021-07-01,Sale,362.5,447,"162,038","54,810",Jul 02 04:00 PM
Fauber Robert,President and CEO,2021-07-01,Sale,378.57,447,"169,221","54,363",Aug 03 04:00 PM
