Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Hargrove Robin S.,"EVP, Res, Dev & Qlty",2022-05-11,Sale,65.86,"30,500","2,008,730","32,024",May 12 08:30 AM
Brusadelli Maurizio,EVP  and President AMEA,2022-02-25,Sale,65.09,"26,500","1,724,885","169,655",Feb 28 04:08 PM
Gruber Vinzenz P.,"EVP and President, Europe",2021-12-14,Sale,63.3,"15,000","949,500","107,233",Dec 15 04:25 PM
Reynolds Fredric G,Director,2021-12-14,Sale,63.29,"90,000","5,696,415","62,848",Dec 27 04:08 PM
MAY PETER W,Director,2021-12-08,Sale,60.74,"650,000","39,482,409","434,028",Dec 09 05:19 PM
MAY PETER W,Director,2021-12-07,Sale,61.71,"847,696","52,310,896","1,084,028",Dec 09 05:19 PM
MAY PETER W,Director,2021-11-30,Sale,60.1,"150,000","9,015,000","1,931,724",Dec 01 05:01 PM
MAY PETER W,Director,2021-11-29,Sale,60.32,"431,000","25,999,041","2,081,724",Dec 01 05:01 PM
Walter Glen,"EVP & President, North America",2021-11-29,Sale,60.36,"18,000","1,086,480","59,535",Nov 29 04:24 PM
Walter Glen,"EVP & President, North America",2021-11-19,Sale,62.49,"6,304","393,937","77,535",Nov 19 04:18 PM
MAY PETER W,Director,2021-11-18,Sale,62.27,"669,062","41,661,487","2,512,724",Nov 18 05:19 PM
MAY PETER W,Director,2021-11-17,Sale,62.2,"3,550,000","220,811,065","3,181,786",Nov 18 05:19 PM
MAY PETER W,Director,2021-11-16,Sale,62.66,"1,250,000","78,328,500","6,731,786",Nov 18 05:19 PM
BUNCH CHARLES E,Director,2021-11-05,Buy,62.46,"1,000","62,460","36,894",Nov 09 04:06 PM
MAY PETER W,Director,2021-08-30,Sale,61.99,"399,654","24,776,030","7,981,786",Aug 30 05:32 PM
MAY PETER W,Director,2021-08-27,Sale,62.06,"79,346","4,924,475","8,381,440",Aug 30 05:32 PM
MAY PETER W,Director,2021-08-10,Sale,62.2,"161,316","10,034,646","8,460,786",Aug 12 05:19 PM
