Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Roupie Christophe Pierre Danie,Head of EMEA and APAC,2022-06-07,Sale,285.03,"1,740","495,952","5,318",Jun 09 04:15 PM
Prager Richard Leon,Director,2022-04-22,Buy,271.25,"1,000","271,245","2,149",Apr 25 04:38 PM
Themelis Nicholas,Chief Information Officer,2022-03-07,Sale,364.89,"2,000","729,777","8,544",Mar 09 04:15 PM
Themelis Nicholas,Chief Information Officer,2021-12-07,Sale,370.08,"2,000","740,165","9,587",Dec 09 04:30 PM
McPherson Kevin M,Global Head of Sales,2021-11-16,Option Exercise,103.3,936,"96,689","72,024",Nov 18 04:14 PM
McPherson Kevin M,Global Head of Sales,2021-11-16,Sale,391.72,936,"366,650","71,088",Nov 18 04:14 PM
Themelis Nicholas,Chief Information Officer,2021-09-07,Sale,461.54,"2,000","923,075","11,587",Sep 09 04:15 PM
McPherson Kevin M,Global Head of Sales,2021-08-20,Option Exercise,103.3,"4,864","502,451","75,952",Aug 23 04:38 PM
McPherson Kevin M,Global Head of Sales,2021-08-20,Sale,476.11,"4,864","2,315,806","71,088",Aug 23 04:38 PM
McPherson Kevin M,Global Head of Sales,2021-08-19,Option Exercise,103.3,535,"55,266","71,623",Aug 23 04:38 PM
McPherson Kevin M,Global Head of Sales,2021-08-19,Sale,474.02,535,"253,601","71,088",Aug 23 04:38 PM
DELISE ANTONIO L,Global Head of Corp. Dev.,2021-08-13,Sale,464.47,"1,500","696,709","27,099",Aug 17 04:15 PM
Themelis Nicholas,Chief Information Officer,2021-08-11,Option Exercise,103.3,"6,433","664,529","20,020",Aug 12 04:39 PM
Themelis Nicholas,Chief Information Officer,2021-08-11,Sale,462.7,"6,433","2,976,555","13,587",Aug 12 04:39 PM
DELISE ANTONIO L,Global Head of Corp. Dev.,2021-08-10,Option Exercise,121.16,"4,639","562,051","33,238",Aug 12 04:37 PM
McPherson Kevin M,Global Head of Sales,2021-08-10,Option Exercise,103.3,"5,000","516,500","76,088",Aug 12 04:39 PM
McPherson Kevin M,Global Head of Sales,2021-08-10,Sale,476.53,"5,000","2,382,627","71,088",Aug 12 04:39 PM
DELISE ANTONIO L,Global Head of Corp. Dev.,2021-08-10,Sale,477.81,"4,639","2,216,580","28,599",Aug 12 04:37 PM
McVey Richard M,Chairman & CEO,2021-08-10,Sale,482.53,"1,300","627,285","761,643",Aug 11 04:38 PM
Pintoff Scott,General Counsel and Secretary,2021-08-09,Sale,487.05,250,"121,762","5,973",Aug 11 04:39 PM
McVey Richard M,Chairman & CEO,2021-08-09,Sale,484.74,"12,117","5,873,590","762,943",Aug 11 04:38 PM
