Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
South Martin,"President & CEO, Marsh",2022-04-25,Sale,169.26,"2,950","499,311","1,301",Apr 26 04:02 PM
Beswick Paul,"SVP, Chief Information Officer",2022-03-29,Sale,171.21,"1,791","306,637","9,289",Mar 30 04:02 PM
Ferland Martine,"President and CEO, Mercer",2022-03-18,Sale,158.28,"4,797","759,269","2,458",Mar 21 04:32 PM
Ferland Martine,"President and CEO, Mercer",2022-03-15,Option Exercise,0.0,"10,733",0,"13,191",Mar 17 05:27 PM
MCGIVNEY MARK C,Chief Financial Officer,2022-03-04,Sale,155.0,"7,695","1,192,725","33,678",Mar 08 04:11 PM
Glaser Daniel S,"President and CEO, MMC",2022-03-04,Sale,154.6,"32,322","4,996,981","101,074",Mar 08 04:10 PM
Mills Stacy,Vice President and Controller,2022-03-04,Sale,155.0,"1,488","230,640","2,923",Mar 08 04:09 PM
Ferland Martine,"President and CEO, Mercer",2022-03-04,Sale,155.0,"5,621","871,255","2,458",Mar 08 04:06 PM
Beshar Peter J,EVP and General Counsel,2022-02-28,Option Exercise,0.0,"14,149",0,"512,536",Mar 02 04:50 PM
Beswick Paul,"SVP, Chief Information Officer",2022-02-28,Option Exercise,0.0,"1,052",0,"11,547",Mar 02 04:30 PM
Doyle John Q,Group President and COO,2022-02-28,Option Exercise,0.0,"17,608",0,"52,897",Mar 02 04:28 PM
Ferland Martine,"President and CEO, Mercer",2022-02-28,Option Exercise,0.0,"12,577",0,"15,035",Mar 02 04:27 PM
Fernandez Carmen,"SVP, Chief People Officer",2022-02-28,Option Exercise,0.0,"2,009",0,"2,957",Mar 02 04:25 PM
Glaser Daniel S,"President and CEO, MMC",2022-02-28,Option Exercise,0.0,"72,312",0,"173,386",Mar 02 04:23 PM
Klisura Dean Michael,"President & CEO, Guy Carpenter",2022-02-28,Option Exercise,0.0,"8,226",0,"33,841",Mar 02 04:20 PM
MCGIVNEY MARK C,Chief Financial Officer,2022-02-28,Option Exercise,0.0,"15,721",0,"49,399",Mar 02 04:18 PM
South Martin,"President & CEO, Marsh",2022-02-28,Option Exercise,0.0,"9,450",0,"9,479",Mar 02 04:15 PM
Studer Nicholas Mark,President and CEO of OWG,2022-02-28,Option Exercise,0.0,"3,464",0,"3,464",Mar 02 04:14 PM
Mills Stacy,Vice President and Controller,2022-02-28,Option Exercise,0.0,"3,180",0,"6,103",Mar 02 04:12 PM
MCGIVNEY MARK C,Chief Financial Officer,2021-12-03,Option Exercise,0.0,"58,295",0,"91,973",Dec 06 04:06 PM
OKEN MARC D,Director,2021-12-03,Buy,167.46,"5,000","837,290","53,823",Dec 07 04:03 PM
MCGIVNEY MARK C,Chief Financial Officer,2021-12-03,Sale,167.69,"58,295","9,775,302","33,678",Dec 06 04:06 PM
Ferland Martine,"President and CEO, Mercer",2021-12-02,Option Exercise,0.0,"9,192",0,"11,955",Dec 06 04:08 PM
Ferland Martine,"President and CEO, Mercer",2021-12-02,Sale,167.12,"9,192","1,536,204","2,763",Dec 06 04:08 PM
Glaser Daniel S,"President and CEO, MMC",2021-11-29,Option Exercise,0.0,"237,110",0,"338,184",Nov 30 04:00 PM
Glaser Daniel S,"President and CEO, MMC",2021-11-29,Sale,167.63,"237,110","39,746,488","101,074",Nov 30 04:00 PM
SCHAPIRO MORTON O,Director,2021-08-31,Sale,157.18,"9,078","1,426,930",0,Sep 01 04:03 PM
