Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Reinseth Theresa E,Senior Vice President/CAO,2022-08-01,Option Exercise,101.49,795,"80,685","2,398",Aug 02 09:55 AM
Reinseth Theresa E,Senior Vice President/CAO,2022-08-01,Sale,143.32,795,"113,939","1,603",Aug 02 09:55 AM
Patolawala Monish D,"EVP, CFO & Transformation Off",2022-07-05,Option Exercise,128.49,"6,013","772,610","9,362",Jul 06 09:08 AM
Poul Mojdeh,Group President,2022-05-17,Option Exercise,101.49,"1,634","165,835","9,271",May 18 11:52 AM
Poul Mojdeh,Group President,2022-05-17,Sale,151.68,"1,634","247,845","7,637",May 18 11:52 AM
Roman Michael F,Chairman and CEO,2022-05-03,Option Exercise,101.49,"10,610","1,076,809","100,971",May 04 10:49 AM
Roman Michael F,Chairman and CEO,2022-05-03,Sale,146.21,"10,610","1,551,288","90,361",May 04 10:49 AM
Rhodes Kevin H,EVP & Chief Legal Officer,2022-02-04,Option Exercise,160.73,167,"26,842",496,Feb 07 10:54 AM
Reinseth Theresa E,Senior Vice President/CAO,2022-02-04,Option Exercise,160.73,269,"43,236","1,695",Feb 07 10:49 AM
Chavez Rodriguez Beatriz Karin,Senior Vice President,2022-02-04,Option Exercise,160.73,671,"107,850","3,505",Feb 07 10:44 AM
Lavers Jeffrey R,Group President,2021-08-11,Option Exercise,101.49,"6,025","611,477","10,973",Aug 12 11:51 AM
Lavers Jeffrey R,Group President,2021-08-11,Sale,200.0,"6,025","1,205,000","4,948",Aug 12 11:51 AM
Banovetz John Patrick,Executive Vice President,2021-08-10,Option Exercise,87.89,"3,236","284,412","13,749",Aug 11 10:05 AM
Banovetz John Patrick,Executive Vice President,2021-08-10,Sale,197.93,"3,236","640,498","10,513",Aug 11 10:05 AM
Ashish Khandpur K,Group President,2021-08-09,Option Exercise,101.49,"6,505","660,192","26,855",Aug 10 10:02 AM
Ashish Khandpur K,Group President,2021-08-09,Sale,196.86,"6,505","1,280,582","20,350",Aug 10 10:02 AM
Hammes Eric D.,Group President,2021-08-03,Option Exercise,87.89,"1,139","100,107","7,270",Aug 04 10:43 AM
Hammes Eric D.,Group President,2021-08-03,Sale,201.83,"1,765","356,145","6,131",Aug 04 10:43 AM
Rutherford Denise R,Senior Vice President,2021-08-02,Sale,198.17,"3,135","621,270","8,222",Aug 03 09:59 AM
Patolawala Monish D,Executive VP and CFO,2021-07-01,Option Exercise,199.09,"6,013","1,197,128","6,013",Jul 06 01:21 PM
