Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SACKS RODNEY C,Chairman and Co-CEO,2022-06-08,Sale,90.25,"65,682","5,927,800","244,562",Jun 09 09:31 PM
SCHLOSBERG HILTON H,Vice Chairman and Co-CEO,2022-06-08,Sale,90.25,"65,682","5,927,800","244,562",Jun 09 09:33 PM
Carling Guy,President of EMEA,2022-06-07,Option Exercise,47.42,"34,667","1,643,870","52,200",Jun 09 09:35 PM
Carling Guy,President of EMEA,2022-06-07,Sale,90.73,"26,299","2,386,108","25,901",Jun 09 09:35 PM
SCHLOSBERG HILTON H,Vice Chairman and Co-CEO,2022-06-07,Sale,91.0,"50,000","4,550,000","310,244",Jun 09 09:33 PM
SACKS RODNEY C,Chairman and Co-CEO,2022-06-07,Sale,91.0,"50,000","4,550,000","310,244",Jun 09 09:31 PM
Tirre Emelie,President of the Americas,2022-05-13,Option Exercise,43.78,"40,729","1,782,919","60,255",May 17 06:43 PM
Tirre Emelie,President of the Americas,2022-05-13,Sale,88.06,"40,729","3,586,780","19,526",May 17 06:43 PM
Tirre Emelie,President of the Americas,2021-08-18,Option Exercise,43.99,"2,271","99,901","15,340",Aug 18 08:29 PM
Tirre Emelie,President of the Americas,2021-08-16,Option Exercise,43.99,"42,000","1,847,580","55,069",Aug 18 08:29 PM
Tirre Emelie,President of the Americas,2021-08-16,Sale,98.24,"42,000","4,126,080","13,069",Aug 18 08:29 PM
