Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
WOLF DALE B,Director,2022-06-07,Option Exercise,33.02,"2,000","66,040","11,630",Jun 07 08:59 PM
ROMNEY RONNA,Director,2022-05-06,Sale,307.94,200,"61,588","16,657",May 06 07:42 PM
ROMNEY RONNA,Director,2022-03-15,Sale,314.36,200,"62,872","16,695",Mar 16 06:55 PM
ORLANDO STEVEN J,Director,2022-03-08,Sale,311.0,591,"183,801","20,409",Mar 08 07:57 PM
Barlow Jeff D.,Chief Legal Officer,2022-03-04,Sale,315.0,"5,000","1,575,000","81,158",Mar 04 06:56 PM
ROMNEY RONNA,Director,2022-02-23,Sale,307.97,105,"32,337","16,895",Feb 23 06:49 PM
ROMNEY RONNA,Director,2022-02-22,Sale,313.21,195,"61,076","17,000",Feb 23 06:49 PM
COOPERMAN DANIEL,Director,2021-11-15,Option Exercise,33.02,"5,000","165,100","9,081",Nov 16 07:52 PM
COOPERMAN DANIEL,Director,2021-11-15,Sale,309.13,"5,000","1,545,650","4,081",Nov 16 07:52 PM
ROMNEY RONNA,Director,2021-11-08,Sale,305.01,300,"91,503","17,022",Nov 09 07:25 PM
ROMNEY RONNA,Director,2021-08-09,Sale,265.16,300,"79,548","17,119",Aug 11 08:13 PM
WOLF DALE B,Director,2021-08-03,Option Exercise,33.02,"2,500","82,550","11,592",Aug 05 07:53 PM
WOLF DALE B,Director,2021-08-03,Sale,277.19,"2,500","692,975","9,092",Aug 05 07:53 PM
