Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Bancel Stephane,Chief Executive Officer,2022-07-28,Option Exercise,0.99,"40,000","39,600","5,451,946",Jul 29 04:46 PM
Bancel Stephane,Chief Executive Officer,2022-07-28,Sale,157.00,"10,000","1,570,000","6,784,880",Jul 29 04:46 PM
Bancel Stephane,Chief Executive Officer,2022-07-28,Sale,156.73,"40,000","6,269,397","5,411,946",Jul 29 04:46 PM
Bancel Stephane,Chief Executive Officer,2022-07-27,Option Exercise,0.99,"40,000","39,600","5,451,946",Jul 29 04:46 PM
Andres Juan,See remarks,2022-07-27,Option Exercise,20.93,"2,000","41,860","12,367",Jul 29 04:47 PM
AFEYAN NOUBAR,Director,2022-07-27,Sale,161.00,"10,000","1,610,000","2,477,209",Jul 29 07:30 PM
Andres Juan,See remarks,2022-07-27,Sale,161.00,"2,000","322,000","10,367",Jul 29 04:47 PM
Bancel Stephane,Chief Executive Officer,2022-07-27,Sale,156.32,"40,000","6,252,642","5,411,946",Jul 29 04:46 PM
Hoge Stephen,President,2022-07-25,Option Exercise,10.9,"10,000","109,000","1,634,231",Jul 26 05:32 PM
Hoge Stephen,President,2022-07-25,Sale,162.75,"10,000","1,627,500","1,624,231",Jul 26 05:32 PM
Bancel Stephane,Chief Executive Officer,2022-07-21,Option Exercise,0.99,"40,000","39,600","5,451,946",Jul 22 04:42 PM
Bancel Stephane,Chief Executive Officer,2022-07-21,Sale,168.11,"40,000","6,724,218","5,411,946",Jul 22 04:42 PM
Bancel Stephane,Chief Executive Officer,2022-07-21,Sale,165.36,"10,000","1,653,600","6,794,880",Jul 22 04:42 PM
Bancel Stephane,Chief Executive Officer,2022-07-20,Option Exercise,0.99,"40,000","39,600","5,451,946",Jul 22 04:42 PM
Andres Juan,See remarks,2022-07-20,Option Exercise,20.93,"2,000","41,860","12,367",Jul 22 04:40 PM
Bancel Stephane,Chief Executive Officer,2022-07-20,Sale,166.92,"40,000","6,676,906","5,411,946",Jul 22 04:42 PM
