Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Whitehead Dane E,Executive VP and CFO,2022-05-18,Sale,28.03,"30,291","849,042","290,934",May 20 04:31 PM
Whitehead Dane E,Executive VP and CFO,2022-05-16,Option Exercise,14.52,"79,711","1,157,404","400,936",May 18 04:45 PM
Whitehead Dane E,Executive VP and CFO,2022-05-16,Sale,28.18,"79,711","2,246,399","321,225",May 18 04:45 PM
WAGNER PATRICK,See Remarks,2022-03-31,Option Exercise,14.52,"65,218","946,965","244,784",Apr 01 04:31 PM
WAGNER PATRICK,See Remarks,2022-03-31,Sale,25.63,"65,218","1,671,609","179,566",Apr 01 04:31 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-03-25,Option Exercise,16.79,"270,588","4,543,173","1,340,676",Mar 29 04:30 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-03-25,Sale,26.09,"270,588","7,059,830","1,070,088",Mar 29 04:30 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-03-22,Option Exercise,15.76,"242,473","3,821,374","1,312,561",Mar 24 04:31 PM
Henderson Michael A,"Executive VP, Operations",2022-03-22,Option Exercise,13.37,"51,306","685,877","213,027",Mar 24 04:32 PM
Henderson Michael A,"Executive VP, Operations",2022-03-22,Sale,24.73,"91,306","2,257,879","185,250",Mar 24 04:32 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-03-22,Sale,25.04,"242,473","6,071,936","1,070,088",Mar 24 04:31 PM
WAGNER PATRICK,See Remarks,2022-03-21,Sale,24.89,"13,537","336,936","179,566",Mar 23 05:16 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-03-08,Option Exercise,14.52,"298,914","4,340,231","1,369,002",Mar 10 04:30 PM
Whitehead Dane E,Executive VP and CFO,2022-03-08,Option Exercise,10.47,"43,403","454,429","364,628",Mar 10 04:31 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-03-08,Sale,24.95,"298,914","7,456,559","1,070,088",Mar 10 04:30 PM
WAGNER PATRICK,See Remarks,2022-03-08,Sale,25.45,"21,673","551,579","193,103",Mar 10 04:32 PM
Whitehead Dane E,Executive VP and CFO,2022-03-08,Sale,25.36,"86,331","2,189,059","321,225",Mar 10 04:31 PM
Henderson Michael A,"Executive VP, Operations",2022-03-07,Option Exercise,14.52,"27,174","394,566","252,424",Mar 09 06:33 PM
Henderson Michael A,"Executive VP, Operations",2022-03-07,Sale,24.11,"27,174","655,193","225,250",Mar 09 06:33 PM
White Rob L.,"VP, Controller & CAO",2022-03-03,Sale,23.0,"8,700","200,100","43,377",Mar 04 04:31 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-03-02,Sale,23.11,"54,151","1,251,375","1,070,088",Mar 04 04:30 PM
WILSON GARY EUGENE,"VP, Controller & CAO",2022-02-28,Option Exercise,16.79,"5,883","98,776","117,389",Mar 02 04:44 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-02-28,Sale,22.39,"99,698","2,232,148","1,028,312",Mar 02 04:38 PM
WILSON GARY EUGENE,"VP, Controller & CAO",2022-02-28,Sale,22.27,"5,883","130,985","111,506",Mar 02 04:44 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-02-22,Option Exercise,10.47,"159,722","1,672,289","1,352,417",Feb 23 04:21 PM
WAGNER PATRICK,See Remarks,2022-02-22,Option Exercise,10.47,"34,722","363,539","239,579",Feb 23 04:24 PM
WILSON GARY EUGENE,"VP, Controller & CAO",2022-02-22,Option Exercise,13.82,"22,181","306,584","126,486",Feb 23 04:26 PM
WILSON GARY EUGENE,"VP, Controller & CAO",2022-02-22,Sale,22.06,"22,181","489,209","114,722",Feb 23 04:26 PM
WAGNER PATRICK,See Remarks,2022-02-22,Sale,21.3,"66,497","1,416,444","204,857",Feb 23 04:24 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-02-22,Sale,22.2,"159,722","3,546,515","1,192,695",Feb 23 04:21 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-02-18,Option Exercise,10.47,"159,722","1,672,289","1,352,417",Feb 23 04:21 PM
Whitehead Dane E,Executive VP and CFO,2022-02-18,Option Exercise,10.47,"43,402","454,419","385,170",Feb 23 04:22 PM
Whitehead Dane E,Executive VP and CFO,2022-02-18,Sale,21.88,"89,033","1,948,242","341,768",Feb 23 04:22 PM
TILLMAN LEE M,"Chairman, President and CEO",2022-02-18,Sale,21.98,"324,693","7,138,171","1,192,695",Feb 23 04:21 PM
WILSON GARY EUGENE,"VP, Controller & CAO",2021-12-07,Option Exercise,10.8,"99,174","1,071,004","151,066",Dec 09 05:00 PM
WILSON GARY EUGENE,"VP, Controller & CAO",2021-12-07,Sale,16.37,"99,174","1,623,213","103,066",Dec 09 05:00 PM
WAGNER PATRICK,See Remarks,2021-11-24,Option Exercise,10.47,"34,722","363,539","267,014",Nov 29 04:27 PM
WAGNER PATRICK,See Remarks,2021-11-24,Sale,16.83,"62,157","1,045,817","204,857",Nov 29 04:27 PM
