Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Filliol Olivier A,Director,2022-05-31,Option Exercise,244.99,"9,570","2,344,554","25,879",Jun 02 09:13 AM
Filliol Olivier A,Director,2022-05-31,Sale,1287.11,"9,570","12,317,597","16,309",Jun 02 09:13 AM
SPOERRY ROBERT F,Director,2022-05-27,Option Exercise,244.99,"2,290","561,027","8,702",Jun 01 11:53 AM
Chu Wah-Hui,Director,2022-05-27,Option Exercise,169.37,300,"50,811","3,775",Jun 01 11:56 AM
Aggersbjerg Peter,Head of Divisions,2022-05-27,Option Exercise,772.89,"1,797","1,388,887","1,797",Jun 01 11:55 AM
Aggersbjerg Peter,Head of Divisions,2022-05-27,Sale,1300.0,"1,797","2,336,100",0,Jun 01 11:55 AM
Chu Wah-Hui,Director,2022-05-27,Sale,1308.0,56,"73,248","3,719",Jun 01 11:56 AM
SPOERRY ROBERT F,Director,2022-05-27,Sale,1304.37,"2,290","2,987,000","6,412",Jun 01 11:53 AM
Vadala Shawn,Chief Financial Officer,2022-05-26,Option Exercise,263.62,400,"105,448","5,300",May 31 10:48 AM
Vadala Shawn,Chief Financial Officer,2022-05-26,Sale,1259.0,400,"503,600","4,900",May 31 10:48 AM
Filliol Olivier A,Director,2022-05-23,Option Exercise,244.99,"12,500","3,062,375","28,809",May 25 11:42 AM
Vadala Shawn,Chief Financial Officer,2022-05-23,Option Exercise,244.99,400,"97,996","5,300",May 25 11:43 AM
Vadala Shawn,Chief Financial Officer,2022-05-23,Sale,1245.0,400,"498,000","4,900",May 25 11:43 AM
Filliol Olivier A,Director,2022-05-23,Sale,1243.32,"12,500","15,541,447","16,309",May 25 11:42 AM
Chu Wah-Hui,Director,2022-05-19,Option Exercise,169.37,500,"84,685","3,575",May 23 01:01 PM
Chu Wah-Hui,Director,2022-05-19,Sale,1228.0,100,"122,800","3,475",May 23 01:01 PM
Filliol Olivier A,Director,2022-05-19,Sale,1217.3,"4,874","5,933,113","16,309",May 23 12:59 PM
Filliol Olivier A,Director,2022-05-16,Option Exercise,244.99,"12,500","3,062,375","33,683",May 18 11:27 AM
Filliol Olivier A,Director,2022-05-16,Sale,1237.68,"12,500","15,470,950","21,183",May 18 11:27 AM
Magloth Christian,Head of Human Resources,2022-05-13,Option Exercise,244.99,910,"222,941","1,348",May 17 10:10 AM
Chu Wah-Hui,Director,2022-05-13,Option Exercise,169.37,300,"50,811","3,375",May 16 11:08 AM
Chu Wah-Hui,Director,2022-05-13,Sale,1268.0,300,"380,400","3,075",May 16 11:08 AM
Magloth Christian,Head of Human Resources,2022-05-13,Sale,1251.59,910,"1,138,947",438,May 17 10:10 AM
Chu Wah-Hui,Director,2022-05-12,Option Exercise,169.37,308,"52,166","3,139",May 16 11:08 AM
Keller Gerry,Head of Process Analytics,2022-05-12,Option Exercise,595.31,948,"564,354","1,453",May 16 11:07 AM
Keller Gerry,Head of Process Analytics,2022-05-12,Sale,1195.6,948,"1,133,429",505,May 16 11:07 AM
Chu Wah-Hui,Director,2022-05-12,Sale,1208.0,64,"77,312","3,075",May 16 11:08 AM
Aggersbjerg Peter,Head of Divisions,2022-03-04,Option Exercise,595.31,"1,000","595,310","1,000",Mar 07 11:13 AM
Aggersbjerg Peter,Head of Divisions,2022-03-04,Sale,1386.53,"1,000","1,386,530",0,Mar 07 11:13 AM
Filliol Olivier A,Director,2022-03-02,Option Exercise,244.99,"12,500","3,062,375","33,683",Mar 04 09:52 AM
Filliol Olivier A,Director,2022-03-02,Sale,1390.27,"12,500","17,378,401","21,183",Mar 04 09:52 AM
