Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Beard Robert P,"SVP, General Counsel&Secretary",2022-07-26,Option Exercise,0.00,81,0,"11,138",Jul 26 06:00 PM
ARNZEN APRIL S,"SVP, Chief People Officer",2022-03-24,Sale,76.0,"5,600","425,600","89,172",Mar 28 05:04 PM
Beard Robert P,"SVP, General Counsel&Secretary",2022-03-15,Option Exercise,0.0,582,0,"11,270",Mar 15 08:11 PM
Beard Robert P,"SVP, General Counsel&Secretary",2022-02-16,Sale,96.17,266,"25,581","10,688",Feb 17 06:39 PM
MEHROTRA SANJAY,CEO and President,2022-01-14,Option Exercise,28.2,"100,000","2,820,000","776,301",Jan 19 07:33 PM
BHATIA MANISH H,"EVP, Global Operations",2022-01-14,Sale,96.02,"97,107","9,324,214","213,099",Jan 14 07:07 PM
MEHROTRA SANJAY,CEO and President,2022-01-14,Sale,97.16,"100,000","9,716,000","676,301",Jan 19 07:33 PM
Bokan Michael W,"SVP, Worldwide Sales",2022-01-11,Sale,93.83,"20,000","1,876,600","17,201",Jan 13 07:01 PM
Deboer Scott J,"EVP, Technology & Products",2021-12-22,Sale,90.0,"15,000","1,350,000","186,587",Dec 23 07:36 PM
ARNZEN APRIL S,"SVP, Chief People Officer",2021-12-20,Sale,82.09,"8,300","681,347","94,450",Dec 21 04:36 PM
Bokan Michael W,"SVP, WORLDWIDE SALES",2021-10-24,Option Exercise,0.0,"2,843",0,"120,123",Oct 26 07:10 PM
MEHROTRA SANJAY,CEO and President,2021-10-16,Option Exercise,0.0,"111,788",0,"953,568",Oct 19 06:33 PM
Bokan Michael W,"SVP, WORLDWIDE SALES",2021-10-16,Option Exercise,0.0,"12,110",0,"133,487",Oct 19 06:33 PM
ALLEN SCOTT R.,"CVP, Chief Accounting Officer",2021-10-16,Option Exercise,0.0,"6,612",0,"21,919",Oct 19 06:33 PM
ARNZEN APRIL S,"SVP, Chief People Officer",2021-10-16,Option Exercise,0.0,"12,110",0,"118,167",Oct 19 06:31 PM
Poppen Joel L,"SVP, General Counsel&Secretary",2021-10-16,Option Exercise,0.0,"13,973",0,"275,532",Oct 19 06:32 PM
BHATIA MANISH H,"EVP, Global Operations",2021-10-16,Option Exercise,0.0,"35,399",0,"349,914",Oct 19 06:33 PM
Sadana Sumit,"EVP, Chief Business Officer",2021-10-16,Option Exercise,0.0,"40,988",0,"248,971",Oct 19 06:31 PM
Zinsner David,EVP & Chief Financial Officer,2021-10-16,Option Exercise,0.0,"27,948",0,"214,154",Oct 19 06:31 PM
Deboer Scott J,"EVP, Technology & Products",2021-10-16,Option Exercise,0.0,"27,948",0,"232,981",Oct 19 06:31 PM
Zinsner David,EVP & Chief Financial Officer,2021-10-13,Option Exercise,0.0,"37,044",0,"133,748",Oct 18 06:01 AM
Bokan Michael W,"SVP, WORLDWIDE SALES",2021-10-13,Option Exercise,0.0,"18,603",0,"87,654",Oct 18 06:02 AM
Sadana Sumit,"EVP, Chief Business Officer",2021-10-13,Option Exercise,0.0,"50,796",0,"231,975",Oct 18 06:01 AM
Poppen Joel L,"SVP, General Counsel&Secretary",2021-10-13,Option Exercise,0.0,"16,669",0,"261,559",Oct 18 06:00 AM
MEHROTRA SANJAY,CEO and President,2021-10-13,Option Exercise,0.0,"138,692",0,"907,285",Oct 18 06:00 AM
BHATIA MANISH H,"EVP, Global Operations",2021-10-13,Option Exercise,0.0,"46,527",0,"314,515",Oct 18 06:02 AM
ARNZEN APRIL S,"SVP, Chief People Officer",2021-10-13,Option Exercise,0.0,"16,669",0,"81,156",Oct 18 06:00 AM
Deboer Scott J,"EVP, Technology & Products",2021-10-13,Option Exercise,0.0,"34,729",0,"220,289",Oct 18 06:01 AM
Poppen Joel L,"SVP, General Counsel&Secretary",2021-10-11,Option Exercise,18.18,"4,984","90,609","257,197",Oct 12 05:08 PM
Poppen Joel L,"SVP, General Counsel&Secretary",2021-10-11,Sale,69.85,"4,984","348,148","252,213",Oct 12 05:08 PM
ARNZEN APRIL S,"SVP, Chief People Officer",2021-09-24,Sale,73.32,"8,300","608,556","64,487",Sep 27 05:30 PM
Zinsner David,SVP & Chief Financial Officer,2021-09-15,Option Exercise,44.21,"8,050","355,890","125,375",Sep 16 04:08 PM
Zinsner David,SVP & Chief Financial Officer,2021-09-15,Sale,73.26,"8,050","589,712","117,325",Sep 16 04:08 PM
Poppen Joel L,"SVP, General Counsel&Secretary",2021-09-13,Option Exercise,18.18,"4,984","90,609","257,197",Sep 15 05:33 PM
Poppen Joel L,"SVP, General Counsel&Secretary",2021-09-13,Sale,74.39,"4,984","370,760","252,213",Sep 15 05:33 PM
Zinsner David,SVP & Chief Financial Officer,2021-08-16,Option Exercise,44.21,"8,050","355,890","125,375",Aug 18 05:21 PM
Zinsner David,SVP & Chief Financial Officer,2021-08-16,Sale,70.59,"8,050","568,222","117,325",Aug 18 05:21 PM
Poppen Joel L,"SVP, General Counsel&Secretary",2021-08-11,Option Exercise,18.18,"4,984","90,609","257,197",Aug 12 06:19 PM
