Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
HASTINGS REED,Co-CEO,2022-01-28,Buy,375.97,"4,540","1,706,910","5,158,941",Jan 28 07:25 PM
HASTINGS REED,Co-CEO,2022-01-27,Buy,390.08,"46,900","18,294,698","5,154,401",Jan 28 07:25 PM
HASTINGS REED,Co-CEO,2021-12-17,Option Exercise,12.95,"788,508","10,208,584","788,508",Dec 21 05:15 PM
Peters Gregory K,COO and Chief Product Officer,2021-11-17,Option Exercise,96.67,"7,058","682,297","20,148",Nov 18 06:35 PM
Peters Gregory K,COO and Chief Product Officer,2021-11-17,Sale,700.0,"7,058","4,940,600","13,090",Nov 18 06:35 PM
Hoag Jay C,Director,2021-11-17,Sale,700.19,"2,472","1,730,873","460,005",Nov 19 04:22 PM
Hoag Jay C,Director,2021-11-05,Option Exercise,102.26,"7,212","737,477","7,212",Nov 08 06:54 PM
Hoag Jay C,Director,2021-11-05,Sale,659.7,975,"643,206",0,Nov 08 06:54 PM
Hoag Jay C,Director,2021-11-05,Sale,654.51,"7,212","4,720,316",0,Nov 08 06:54 PM
Peters Gregory K,COO and Chief Product Officer,2021-10-25,Option Exercise,101.51,"6,721","682,249","19,811",Oct 26 07:15 PM
Peters Gregory K,COO and Chief Product Officer,2021-10-25,Sale,675.0,"6,721","4,536,675","13,090",Oct 26 07:15 PM
Peters Gregory K,COO and Chief Product Officer,2021-10-21,Option Exercise,93.11,"7,329","682,403","20,419",Oct 25 05:18 PM
Peters Gregory K,COO and Chief Product Officer,2021-10-21,Sale,650.0,"7,329","4,763,850","13,090",Oct 25 05:18 PM
Peters Gregory K,COO and Chief Product Officer,2021-10-04,Option Exercise,105.7,"6,455","682,294","19,545",Oct 06 05:16 PM
HYMAN DAVID A,Chief Legal Officer,2021-10-04,Option Exercise,58.65,"18,116","1,062,444","37,882",Oct 06 05:16 PM
SARANDOS THEODORE A,Co-CEO and Chief Content Offic,2021-10-04,Option Exercise,289.16,"69,707","20,156,581","11,091",Oct 06 05:17 PM
SARANDOS THEODORE A,Co-CEO and Chief Content Offic,2021-10-04,Sale,625.0,"69,707","43,566,875",0,Oct 06 05:17 PM
HYMAN DAVID A,Chief Legal Officer,2021-10-04,Sale,620.0,"18,116","11,231,920","31,610",Oct 06 05:16 PM
Peters Gregory K,COO and Chief Product Officer,2021-10-04,Sale,625.0,"6,455","4,034,375","13,090",Oct 06 05:16 PM
MATHER ANN,Director,2021-09-07,Option Exercise,57.76,809,"46,727",395,Sep 08 05:50 PM
Peters Gregory K,COO and Chief Product Officer,2021-09-07,Option Exercise,98.3,"6,941","682,300","20,031",Sep 08 05:51 PM
MATHER ANN,Director,2021-09-07,Sale,600.0,809,"485,400",0,Sep 08 05:50 PM
Hoag Jay C,Director,2021-09-07,Sale,600.35,"35,401","21,253,031","452,113",Sep 08 05:47 PM
Peters Gregory K,COO and Chief Product Officer,2021-09-07,Sale,600.0,"6,941","4,164,600","13,090",Sep 08 05:51 PM
Hoag Jay C,Director,2021-08-11,Option Exercise,16.74,"8,960","149,952","8,960",Aug 12 07:13 PM
Hoag Jay C,Director,2021-08-11,Sale,513.41,"8,960","4,600,145",0,Aug 12 07:13 PM
Hoag Jay C,Director,2021-08-03,Sale,510.16,939,"479,042",0,Aug 04 06:09 PM
