Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Matheson Monique S.,EVP: CHRO,2022-07-07,Option Exercise,56.40,"20,000","1,128,000","80,330",Jul 08 04:29 PM
Matheson Monique S.,EVP: CHRO,2022-07-07,Sale,107.19,"30,000","3,215,624","60,330",Jul 08 04:29 PM
Matheson Monique S.,EVP: CHRO,2022-07-06,Sale,104.25,"10,025","1,045,065","70,330",Jul 08 04:29 PM
Matheson Monique S.,EVP: CHRO,2022-07-05,Option Exercise,38.76,"9,500","368,220","89,855",Jul 06 04:34 PM
Matheson Monique S.,EVP: CHRO,2022-07-05,Sale,103.45,"19,500","2,017,346","80,355",Jul 06 04:34 PM
ROGERS JOHN W JR,Director,2022-06-30,Buy,102.96,"10,000","1,029,646","25,681",Jul 01 04:24 PM
Friend Matthew,EVP: CFO,2022-06-13,Sale,110.52,"9,032","998,217","51,581",Jun 15 04:24 PM
Campion Andrew,CHIEF OPERATING OFFICER,2022-06-03,Sale,120.61,"14,203","1,713,024","73,795",Jun 06 07:05 PM
PARKER MARK G,EXECUTIVE CHAIRMAN,2022-02-14,Option Exercise,23.27,"60,000","1,396,200","1,465,824",Feb 16 04:17 PM
PARKER MARK G,EXECUTIVE CHAIRMAN,2022-02-14,Sale,141.58,"60,000","8,494,621","1,405,824",Feb 16 04:17 PM
PARKER MARK G,EXECUTIVE CHAIRMAN,2022-01-26,Option Exercise,23.27,"100,000","2,327,000","1,505,824",Jan 27 07:02 PM
PARKER MARK G,EXECUTIVE CHAIRMAN,2022-01-26,Sale,146.39,"100,000","14,638,772","1,405,824",Jan 27 07:02 PM
PARKER MARK G,EXECUTIVE CHAIRMAN,2022-01-07,Option Exercise,23.27,"81,041","1,885,824","1,486,865",Jan 10 04:19 PM
PARKER MARK G,EXECUTIVE CHAIRMAN,2022-01-07,Sale,158.37,"81,041","12,834,657","1,405,824",Jan 10 04:19 PM
